rep,subs_rate,BFClust,CDHIT,PIRATE,PanX,Panaroo,Roary,UClust,,,,
1,1.00E-12,0.980730897,0.999003322,0.984053156,0.984717608,0.964451827,0.983056478,0.999335548,,,,
2,1.00E-12,0.977685687,1,0.981829774,0.98055467,0.959515461,0.977366911,0.999681224,,,,
3,1.00E-12,0.983384198,0.999660902,0.985757884,0.986096982,0.970498474,0.982706002,0.999321804,,,,
4,1.00E-12,0.979207921,1,0.983828383,0.983828383,0.970627063,0.982178218,1,,,,
1,2.00E-12,0.967565722,1,0.97234551,0.972004097,0.898941618,0.970638443,0.999317173,,,,
2,2.00E-12,0.962931034,0.999137931,0.965517241,0.965229885,0.884770115,0.962068966,0.999712644,,,,
3,2.00E-12,0.962134764,1,0.965116279,0.963923673,0.85509839,0.959451401,0.999105546,,,,
4,2.00E-12,0.968105066,0.999687305,0.971857411,0.971857411,0.892745466,0.965916198,0.999374609,,,,
1,5.00E-12,0.923970433,0.998944034,0.923970433,0.928194298,0.304470257,0.921858501,0.999296023,,,,
2,5.00E-12,0.941731223,0.999663186,0.942068036,0.951162007,0.427753452,0.943752105,0.999663186,,,,
3,5.00E-12,0.913776647,0.999681833,0.912503977,0.91823099,0.341393573,0.911231308,0.999045498,,,,
4,5.00E-12,0.937235772,1,0.940162602,0.941463415,0.415284553,0.934634146,0.998373984,,,,
1,1.00E-11,0.869960988,0.999024707,0.876788036,0.873211964,0.112483745,0.748049415,0.99869961,,,,
2,1.00E-11,0.89867526,0.999641962,0.904403867,0.904045829,0.121374866,0.694593627,0.998567848,,,,
3,1.00E-11,0.893085787,0.999359795,0.896286812,0.897567222,0.121959027,0.728233035,0.997759283,,,,
4,1.00E-11,0.869222869,0.999315303,0.876412188,0.874358097,0.109551523,0.718931873,0.998288257,,,,
1,2.00E-11,0.815487572,0.998087954,0.819630338,0.818355641,0.097833015,0.132249841,0.994901211,,,,
2,2.00E-11,0.760486322,0.998176292,0.767477204,0.762613982,0.09787234,0.124924012,0.996656535,,,,
3,2.00E-11,0.81595092,0.998195597,0.824251173,0.821364128,0.095272465,0.125586431,0.995669433,,,,
4,2.00E-11,0.800622084,0.998133748,0.80777605,0.803732504,0.100155521,0.138413686,0.99688958,,,,
1,5.00E-11,0.645085542,0.986581684,0.652130158,0.648104663,0.094599128,0.098289165,0.989265347,,,,
2,5.00E-11,0.633354154,0.988444722,0.635852592,0.641161774,0.099312929,0.100249844,0.989381636,,,,
3,5.00E-11,0.586345382,0.984270415,0.601405622,0.595716198,0.079986613,0.082663989,0.986613119,,,,
4,5.00E-11,0.65495935,0.985691057,0.665365854,0.662113821,0.09398374,0.095284553,0.98601626,,,,
1,1.00E-10,0.480803732,0.073555795,0.480803732,0.484391819,0.118765698,0.119124507,0.075708647,,,,
2,1.00E-10,0.322696093,0.049209663,0.326573218,0.326573218,0.090366836,0.090963316,0.048911423,,,,
3,1.00E-10,0.435022742,0.035412606,0.448018194,0.442820013,0.102014295,0.102664068,0.034762833,,,,
4,1.00E-10,0.496301278,0.049428379,0.503362475,0.50268998,0.113987895,0.11466039,0.053463349,,,,
1,2.00E-10,0.264396958,0.009416878,0.156465049,0.265121333,0.12749004,0.131836291,0.009779066,,,,
2,2.00E-10,0.233790293,0.011115228,0.151167099,0.233049278,0.128195628,0.128566136,0.011115228,,,,
3,2.00E-10,0.261198946,0.009552042,0.17687747,0.265151515,0.141633729,0.141633729,0.009222661,,,,
4,2.00E-10,0.219257896,0.008586323,0.13799448,0.221097823,0.116528672,0.116528672,0.008586323,,,,
1,5.00E-10,0.16881628,0.009458298,0.169676125,0.169102895,0.167096589,0.167096589,0.009458298,,,,
2,5.00E-10,0.226825843,0.008075843,0.230337079,0.227176966,0.221558989,0.221558989,0.007373596,,,,
3,5.00E-10,0.215686275,0.005602241,0.218487395,0.216736695,0.211134454,0.211134454,0.006302521,,,,
4,5.00E-10,0.22295082,0.007153502,0.221162444,0.223248882,0.216989568,0.217585693,0.007153502,,,,
1,1.00E-09,0.191062176,0.007772021,0.193329016,0,0.190414508,0.190414508,0.007772021,,,,
2,1.00E-09,0.205890846,0.004331504,0.211088651,0,0.20358071,0.20358071,0.004331504,,,,
3,1.00E-09,0.214007782,0.00565971,0.216483905,0,0.213300318,0.213300318,0.006013442,,,,
4,1.00E-09,0.23921131,0.004464286,0.2421875,0,0.238467262,0.238467262,0.00483631,,,,
1,1.00E-08,0.199204508,0,0.200861783,0,0.199204508,0.199204508,0,,,,
2,1.00E-08,0.192576142,0.009200508,0.198604061,0,0.192576142,0.192576142,0.009200508,,,,
3,1.00E-08,0.178312554,0.004059148,0.183821398,0,0.178022615,0.178022615,0.004059148,,,,
4,1.00E-08,0.190291262,0.004530744,0,0,0.190291262,0.190291262,0.004530744,,,,
1,1.00E-07,0.175407512,0.000708717,0,0,0.175407512,0.175407512,0.000708717,,,,
2,1.00E-07,0.179129844,0.007477906,0,0,0.179129844,0.179129844,0.007477906,,,,
3,1.00E-07,0.153980447,0.00349162,0,0,0.153980447,0.153980447,0.00349162,,,,
4,1.00E-07,0.165175719,0.004472843,0,0,0.165175719,0.165175719,0.004472843,,,,
