Genes,Strains,Type,Dataset,Method
2036,1,core,Maela,Roary
2098,1,core,Maela,Roary
2124,1,core,Maela,Roary
2103,1,core,Maela,Roary
2084,1,core,Maela,Roary
2077,1,core,Maela,Roary
2047,1,core,Maela,Roary
1994,1,core,Maela,Roary
2040,1,core,Maela,Roary
2000,1,core,Maela,Roary
1997,1,core,Maela,Roary
2102,1,core,Maela,Roary
2048,1,core,Maela,Roary
2080,1,core,Maela,Roary
2084,1,core,Maela,Roary
1994,1,core,Maela,Roary
1992,1,core,Maela,Roary
2082,1,core,Maela,Roary
2062,1,core,Maela,Roary
2147,1,core,Maela,Roary
1962,1,core,Maela,Roary
2054,1,core,Maela,Roary
2031,1,core,Maela,Roary
2025,1,core,Maela,Roary
2143,1,core,Maela,Roary
2031,1,core,Maela,Roary
2068,1,core,Maela,Roary
2108,1,core,Maela,Roary
1978,1,core,Maela,Roary
2285,1,core,Maela,Roary
939,39,core,Maela,Roary
932,39,core,Maela,Roary
954,39,core,Maela,Roary
942,39,core,Maela,Roary
945,39,core,Maela,Roary
981,39,core,Maela,Roary
956,39,core,Maela,Roary
970,39,core,Maela,Roary
992,39,core,Maela,Roary
940,39,core,Maela,Roary
908,39,core,Maela,Roary
942,39,core,Maela,Roary
919,39,core,Maela,Roary
955,39,core,Maela,Roary
959,39,core,Maela,Roary
961,39,core,Maela,Roary
979,39,core,Maela,Roary
967,39,core,Maela,Roary
974,39,core,Maela,Roary
947,39,core,Maela,Roary
896,39,core,Maela,Roary
918,39,core,Maela,Roary
940,39,core,Maela,Roary
980,39,core,Maela,Roary
937,39,core,Maela,Roary
938,39,core,Maela,Roary
931,39,core,Maela,Roary
959,39,core,Maela,Roary
947,39,core,Maela,Roary
980,39,core,Maela,Roary
984,77,core,Maela,Roary
973,77,core,Maela,Roary
993,77,core,Maela,Roary
959,77,core,Maela,Roary
933,77,core,Maela,Roary
960,77,core,Maela,Roary
942,77,core,Maela,Roary
974,77,core,Maela,Roary
979,77,core,Maela,Roary
946,77,core,Maela,Roary
968,77,core,Maela,Roary
953,77,core,Maela,Roary
967,77,core,Maela,Roary
964,77,core,Maela,Roary
989,77,core,Maela,Roary
956,77,core,Maela,Roary
971,77,core,Maela,Roary
944,77,core,Maela,Roary
950,77,core,Maela,Roary
957,77,core,Maela,Roary
971,77,core,Maela,Roary
972,77,core,Maela,Roary
943,77,core,Maela,Roary
967,77,core,Maela,Roary
991,77,core,Maela,Roary
968,77,core,Maela,Roary
975,77,core,Maela,Roary
989,77,core,Maela,Roary
961,77,core,Maela,Roary
982,77,core,Maela,Roary
987,116,core,Maela,Roary
984,116,core,Maela,Roary
990,116,core,Maela,Roary
989,116,core,Maela,Roary
978,116,core,Maela,Roary
953,116,core,Maela,Roary
975,116,core,Maela,Roary
957,116,core,Maela,Roary
957,116,core,Maela,Roary
942,116,core,Maela,Roary
977,116,core,Maela,Roary
966,116,core,Maela,Roary
941,116,core,Maela,Roary
954,116,core,Maela,Roary
964,116,core,Maela,Roary
973,116,core,Maela,Roary
988,116,core,Maela,Roary
975,116,core,Maela,Roary
986,116,core,Maela,Roary
980,116,core,Maela,Roary
956,116,core,Maela,Roary
953,116,core,Maela,Roary
984,116,core,Maela,Roary
980,116,core,Maela,Roary
972,116,core,Maela,Roary
951,116,core,Maela,Roary
959,116,core,Maela,Roary
948,116,core,Maela,Roary
967,116,core,Maela,Roary
951,116,core,Maela,Roary
972,154,core,Maela,Roary
988,154,core,Maela,Roary
983,154,core,Maela,Roary
982,154,core,Maela,Roary
976,154,core,Maela,Roary
966,154,core,Maela,Roary
969,154,core,Maela,Roary
973,154,core,Maela,Roary
967,154,core,Maela,Roary
953,154,core,Maela,Roary
989,154,core,Maela,Roary
980,154,core,Maela,Roary
966,154,core,Maela,Roary
971,154,core,Maela,Roary
960,154,core,Maela,Roary
970,154,core,Maela,Roary
953,154,core,Maela,Roary
971,154,core,Maela,Roary
980,154,core,Maela,Roary
968,154,core,Maela,Roary
967,154,core,Maela,Roary
981,154,core,Maela,Roary
957,154,core,Maela,Roary
977,154,core,Maela,Roary
999,154,core,Maela,Roary
964,154,core,Maela,Roary
981,154,core,Maela,Roary
978,154,core,Maela,Roary
958,154,core,Maela,Roary
964,154,core,Maela,Roary
982,193,core,Maela,Roary
972,193,core,Maela,Roary
967,193,core,Maela,Roary
984,193,core,Maela,Roary
954,193,core,Maela,Roary
984,193,core,Maela,Roary
974,193,core,Maela,Roary
974,193,core,Maela,Roary
985,193,core,Maela,Roary
976,193,core,Maela,Roary
960,193,core,Maela,Roary
960,193,core,Maela,Roary
992,193,core,Maela,Roary
966,193,core,Maela,Roary
970,193,core,Maela,Roary
978,193,core,Maela,Roary
970,193,core,Maela,Roary
963,193,core,Maela,Roary
972,193,core,Maela,Roary
952,193,core,Maela,Roary
988,193,core,Maela,Roary
988,193,core,Maela,Roary
996,193,core,Maela,Roary
974,193,core,Maela,Roary
977,193,core,Maela,Roary
970,193,core,Maela,Roary
960,193,core,Maela,Roary
987,193,core,Maela,Roary
981,193,core,Maela,Roary
970,193,core,Maela,Roary
979,231,core,Maela,Roary
974,231,core,Maela,Roary
975,231,core,Maela,Roary
966,231,core,Maela,Roary
973,231,core,Maela,Roary
968,231,core,Maela,Roary
973,231,core,Maela,Roary
976,231,core,Maela,Roary
965,231,core,Maela,Roary
978,231,core,Maela,Roary
968,231,core,Maela,Roary
968,231,core,Maela,Roary
970,231,core,Maela,Roary
984,231,core,Maela,Roary
986,231,core,Maela,Roary
979,231,core,Maela,Roary
981,231,core,Maela,Roary
978,231,core,Maela,Roary
990,231,core,Maela,Roary
989,231,core,Maela,Roary
988,231,core,Maela,Roary
980,231,core,Maela,Roary
970,231,core,Maela,Roary
981,231,core,Maela,Roary
966,231,core,Maela,Roary
984,231,core,Maela,Roary
959,231,core,Maela,Roary
984,231,core,Maela,Roary
963,231,core,Maela,Roary
969,231,core,Maela,Roary
974,270,core,Maela,Roary
968,270,core,Maela,Roary
977,270,core,Maela,Roary
977,270,core,Maela,Roary
969,270,core,Maela,Roary
978,270,core,Maela,Roary
984,270,core,Maela,Roary
975,270,core,Maela,Roary
965,270,core,Maela,Roary
987,270,core,Maela,Roary
969,270,core,Maela,Roary
973,270,core,Maela,Roary
977,270,core,Maela,Roary
976,270,core,Maela,Roary
979,270,core,Maela,Roary
973,270,core,Maela,Roary
978,270,core,Maela,Roary
974,270,core,Maela,Roary
978,270,core,Maela,Roary
971,270,core,Maela,Roary
994,270,core,Maela,Roary
977,270,core,Maela,Roary
972,270,core,Maela,Roary
977,270,core,Maela,Roary
978,270,core,Maela,Roary
969,270,core,Maela,Roary
969,270,core,Maela,Roary
979,270,core,Maela,Roary
990,270,core,Maela,Roary
972,270,core,Maela,Roary
972,308,core,Maela,Roary
973,308,core,Maela,Roary
970,308,core,Maela,Roary
979,308,core,Maela,Roary
981,308,core,Maela,Roary
974,308,core,Maela,Roary
982,308,core,Maela,Roary
980,308,core,Maela,Roary
976,308,core,Maela,Roary
971,308,core,Maela,Roary
981,308,core,Maela,Roary
971,308,core,Maela,Roary
976,308,core,Maela,Roary
979,308,core,Maela,Roary
980,308,core,Maela,Roary
972,308,core,Maela,Roary
980,308,core,Maela,Roary
975,308,core,Maela,Roary
977,308,core,Maela,Roary
986,308,core,Maela,Roary
983,308,core,Maela,Roary
968,308,core,Maela,Roary
980,308,core,Maela,Roary
976,308,core,Maela,Roary
974,308,core,Maela,Roary
974,308,core,Maela,Roary
976,308,core,Maela,Roary
985,308,core,Maela,Roary
974,308,core,Maela,Roary
969,308,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
975,347,core,Maela,Roary
2036,1,pan,Maela,Roary
2098,1,pan,Maela,Roary
2124,1,pan,Maela,Roary
2103,1,pan,Maela,Roary
2084,1,pan,Maela,Roary
2077,1,pan,Maela,Roary
2047,1,pan,Maela,Roary
1994,1,pan,Maela,Roary
2040,1,pan,Maela,Roary
2000,1,pan,Maela,Roary
1997,1,pan,Maela,Roary
2102,1,pan,Maela,Roary
2048,1,pan,Maela,Roary
2080,1,pan,Maela,Roary
2084,1,pan,Maela,Roary
1994,1,pan,Maela,Roary
1992,1,pan,Maela,Roary
2082,1,pan,Maela,Roary
2062,1,pan,Maela,Roary
2147,1,pan,Maela,Roary
1962,1,pan,Maela,Roary
2054,1,pan,Maela,Roary
2031,1,pan,Maela,Roary
2025,1,pan,Maela,Roary
2143,1,pan,Maela,Roary
2031,1,pan,Maela,Roary
2068,1,pan,Maela,Roary
2108,1,pan,Maela,Roary
1978,1,pan,Maela,Roary
2285,1,pan,Maela,Roary
6800,39,pan,Maela,Roary
7062,39,pan,Maela,Roary
6065,39,pan,Maela,Roary
6942,39,pan,Maela,Roary
6606,39,pan,Maela,Roary
6413,39,pan,Maela,Roary
6714,39,pan,Maela,Roary
6291,39,pan,Maela,Roary
6197,39,pan,Maela,Roary
6527,39,pan,Maela,Roary
7193,39,pan,Maela,Roary
7516,39,pan,Maela,Roary
6804,39,pan,Maela,Roary
6730,39,pan,Maela,Roary
7573,39,pan,Maela,Roary
6412,39,pan,Maela,Roary
6506,39,pan,Maela,Roary
6849,39,pan,Maela,Roary
6421,39,pan,Maela,Roary
6882,39,pan,Maela,Roary
6768,39,pan,Maela,Roary
6782,39,pan,Maela,Roary
6767,39,pan,Maela,Roary
5937,39,pan,Maela,Roary
7397,39,pan,Maela,Roary
6841,39,pan,Maela,Roary
6490,39,pan,Maela,Roary
7045,39,pan,Maela,Roary
6623,39,pan,Maela,Roary
6489,39,pan,Maela,Roary
7933,77,pan,Maela,Roary
8516,77,pan,Maela,Roary
7632,77,pan,Maela,Roary
8126,77,pan,Maela,Roary
8801,77,pan,Maela,Roary
9051,77,pan,Maela,Roary
9039,77,pan,Maela,Roary
8607,77,pan,Maela,Roary
8769,77,pan,Maela,Roary
8712,77,pan,Maela,Roary
8522,77,pan,Maela,Roary
