Genes,Strains,Type,Dataset,Method
2079,1,core,Maela,UCLUST
2080,1,core,Maela,UCLUST
1976,1,core,Maela,UCLUST
2080,1,core,Maela,UCLUST
2099,1,core,Maela,UCLUST
2119,1,core,Maela,UCLUST
2079,1,core,Maela,UCLUST
2044,1,core,Maela,UCLUST
2145,1,core,Maela,UCLUST
2156,1,core,Maela,UCLUST
2024,1,core,Maela,UCLUST
2010,1,core,Maela,UCLUST
2059,1,core,Maela,UCLUST
2013,1,core,Maela,UCLUST
2072,1,core,Maela,UCLUST
2038,1,core,Maela,UCLUST
2019,1,core,Maela,UCLUST
1957,1,core,Maela,UCLUST
2234,1,core,Maela,UCLUST
2095,1,core,Maela,UCLUST
2091,1,core,Maela,UCLUST
2042,1,core,Maela,UCLUST
2047,1,core,Maela,UCLUST
2200,1,core,Maela,UCLUST
2155,1,core,Maela,UCLUST
2197,1,core,Maela,UCLUST
2062,1,core,Maela,UCLUST
2262,1,core,Maela,UCLUST
2107,1,core,Maela,UCLUST
1987,1,core,Maela,UCLUST
1445,39,core,Maela,UCLUST
1472,39,core,Maela,UCLUST
1404,39,core,Maela,UCLUST
1454,39,core,Maela,UCLUST
1457,39,core,Maela,UCLUST
1449,39,core,Maela,UCLUST
1447,39,core,Maela,UCLUST
1455,39,core,Maela,UCLUST
1480,39,core,Maela,UCLUST
1466,39,core,Maela,UCLUST
1457,39,core,Maela,UCLUST
1465,39,core,Maela,UCLUST
1402,39,core,Maela,UCLUST
1453,39,core,Maela,UCLUST
1460,39,core,Maela,UCLUST
1423,39,core,Maela,UCLUST
1440,39,core,Maela,UCLUST
1450,39,core,Maela,UCLUST
1463,39,core,Maela,UCLUST
1464,39,core,Maela,UCLUST
1439,39,core,Maela,UCLUST
1432,39,core,Maela,UCLUST
1457,39,core,Maela,UCLUST
1440,39,core,Maela,UCLUST
1468,39,core,Maela,UCLUST
1421,39,core,Maela,UCLUST
1459,39,core,Maela,UCLUST
1485,39,core,Maela,UCLUST
1442,39,core,Maela,UCLUST
1468,39,core,Maela,UCLUST
1463,77,core,Maela,UCLUST
1472,77,core,Maela,UCLUST
1460,77,core,Maela,UCLUST
1467,77,core,Maela,UCLUST
1456,77,core,Maela,UCLUST
1453,77,core,Maela,UCLUST
1453,77,core,Maela,UCLUST
1463,77,core,Maela,UCLUST
1450,77,core,Maela,UCLUST
1448,77,core,Maela,UCLUST
1479,77,core,Maela,UCLUST
1456,77,core,Maela,UCLUST
1474,77,core,Maela,UCLUST
1443,77,core,Maela,UCLUST
1441,77,core,Maela,UCLUST
1469,77,core,Maela,UCLUST
1453,77,core,Maela,UCLUST
1442,77,core,Maela,UCLUST
1466,77,core,Maela,UCLUST
1459,77,core,Maela,UCLUST
1453,77,core,Maela,UCLUST
1460,77,core,Maela,UCLUST
1460,77,core,Maela,UCLUST
1474,77,core,Maela,UCLUST
1481,77,core,Maela,UCLUST
1457,77,core,Maela,UCLUST
1458,77,core,Maela,UCLUST
1472,77,core,Maela,UCLUST
1466,77,core,Maela,UCLUST
1476,77,core,Maela,UCLUST
1463,116,core,Maela,UCLUST
1438,116,core,Maela,UCLUST
1476,116,core,Maela,UCLUST
1455,116,core,Maela,UCLUST
1465,116,core,Maela,UCLUST
1468,116,core,Maela,UCLUST
1473,116,core,Maela,UCLUST
1468,116,core,Maela,UCLUST
1438,116,core,Maela,UCLUST
1462,116,core,Maela,UCLUST
1473,116,core,Maela,UCLUST
1473,116,core,Maela,UCLUST
1471,116,core,Maela,UCLUST
