Strains,Type,Genes
1,core,1927
1,core,1982
1,core,1968
1,core,1966
1,core,2114
1,core,2014
1,core,1968
1,core,2023
1,core,1910
1,core,2113
1,core,2053
1,core,2066
1,core,2015
1,core,1978
1,core,2042
1,core,1896
1,core,1944
1,core,2012
1,core,2037
1,core,1952
1,core,1995
1,core,1989
1,core,1998
1,core,1903
1,core,1979
1,core,2040
1,core,1976
1,core,1951
1,core,1997
1,core,2015
69,core,1329
69,core,1336
69,core,1321
69,core,1313
69,core,1315
69,core,1330
69,core,1314
69,core,1315
69,core,1337
69,core,1332
69,core,1347
69,core,1306
69,core,1320
69,core,1327
69,core,1309
69,core,1307
69,core,1313
69,core,1332
69,core,1330
69,core,1301
69,core,1334
69,core,1319
69,core,1265
69,core,1338
69,core,1309
69,core,1306
69,core,1326
69,core,1326
69,core,1312
69,core,1313
137,core,1322
137,core,1312
137,core,1320
137,core,1311
137,core,1321
137,core,1311
137,core,1306
137,core,1312
137,core,1315
137,core,1320
137,core,1316
137,core,1315
137,core,1315
137,core,1325
137,core,1300
137,core,1302
137,core,1321
137,core,1316
137,core,1303
137,core,1308
137,core,1316
137,core,1308
137,core,1318
137,core,1310
137,core,1319
137,core,1315
137,core,1318
137,core,1309
137,core,1315
137,core,1317
205,core,1321
205,core,1313
205,core,1315
205,core,1316
205,core,1301
205,core,1318
205,core,1325
205,core,1313
205,core,1323
205,core,1326
205,core,1321
205,core,1316
205,core,1314
205,core,1330
205,core,1317
205,core,1322
205,core,1326
205,core,1314
205,core,1318
205,core,1307
205,core,1320
205,core,1325
205,core,1320
205,core,1316
205,core,1313
205,core,1312
205,core,1333
205,core,1322
205,core,1325
205,core,1328
273,core,1309
273,core,1310
273,core,1320
273,core,1320
273,core,1314
273,core,1313
273,core,1310
273,core,1317
273,core,1315
273,core,1312
273,core,1322
273,core,1323
273,core,1326
273,core,1314
273,core,1327
273,core,1327
273,core,1315
273,core,1319
273,core,1328
273,core,1317
273,core,1316
273,core,1326
273,core,1316
273,core,1322
273,core,1310
273,core,1317
273,core,1317
273,core,1310
273,core,1311
273,core,1319
342,core,1319
342,core,1328
342,core,1317
342,core,1321
342,core,1314
342,core,1321
342,core,1319
342,core,1325
342,core,1324
342,core,1321
342,core,1315
342,core,1318
342,core,1325
342,core,1332
342,core,1321
342,core,1314
342,core,1315
342,core,1323
342,core,1316
342,core,1318
342,core,1319
342,core,1325
342,core,1326
342,core,1322
342,core,1317
342,core,1319
342,core,1314
342,core,1315
342,core,1322
342,core,1324
410,core,1318
410,core,1324
410,core,1323
410,core,1324
410,core,1316
410,core,1315
410,core,1322
410,core,1325
410,core,1317
410,core,1316
410,core,1319
410,core,1324
410,core,1321
410,core,1315
410,core,1321
410,core,1323
410,core,1324
410,core,1312
410,core,1316
410,core,1318
410,core,1320
410,core,1315
410,core,1323
410,core,1320
410,core,1314
410,core,1317
410,core,1314
410,core,1315
410,core,1316
410,core,1321
478,core,1317
478,core,1316
478,core,1316
478,core,1316
478,core,1314
478,core,1316
478,core,1317
478,core,1319
478,core,1322
478,core,1317
478,core,1315
478,core,1313
478,core,1316
478,core,1314
478,core,1316
478,core,1315
478,core,1318
478,core,1313
478,core,1317
478,core,1319
478,core,1316
478,core,1318
478,core,1317
478,core,1322
478,core,1319
478,core,1316
478,core,1320
478,core,1318
478,core,1319
478,core,1317
546,core,1317
546,core,1317
546,core,1321
546,core,1320
546,core,1319
546,core,1316
546,core,1321
546,core,1316
546,core,1317
546,core,1319
546,core,1318
546,core,1318
546,core,1321
546,core,1317
546,core,1318
546,core,1317
546,core,1319
546,core,1318
546,core,1321
546,core,1317
546,core,1320
546,core,1318
546,core,1317
546,core,1319
546,core,1317
546,core,1320
546,core,1318
546,core,1315
546,core,1317
546,core,1321
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
615,core,1316
1,pan,1927
1,pan,1982
1,pan,1968
1,pan,1966
1,pan,2114
1,pan,2014
1,pan,1968
1,pan,2023
1,pan,1910
1,pan,2113
1,pan,2053
1,pan,2066
1,pan,2015
1,pan,1978
1,pan,2042
1,pan,1896
1,pan,1944
1,pan,2012
1,pan,2037
1,pan,1952
1,pan,1995
1,pan,1989
1,pan,1998
1,pan,1903
1,pan,1979
1,pan,2040
1,pan,1976
1,pan,1951
1,pan,1997
1,pan,2015
