Strains,Type,Genes
1,core,2013
1,core,2055
1,core,2120
1,core,2120
1,core,2055
1,core,2003
1,core,2013
1,core,2063
1,core,2120
1,core,2113
1,core,2084
1,core,2071
1,core,1982
1,core,2071
1,core,2114
1,core,575
1,core,2120
1,core,0
1,core,2064
1,core,2072
1,core,0
1,core,2063
1,core,2084
1,core,2071
1,core,2047
1,core,2055
1,core,2113
1,core,1913
1,core,2072
1,core,2101
3,core,1714
3,core,1791
3,core,1738
3,core,1747
3,core,466
3,core,485
3,core,1738
3,core,0
3,core,472
3,core,1800
3,core,0
3,core,1782
3,core,1793
3,core,1810
3,core,1781
3,core,470
3,core,1818
3,core,0
3,core,0
3,core,1757
3,core,1723
3,core,1811
3,core,0
3,core,1737
3,core,1806
3,core,1791
3,core,1753
3,core,1762
3,core,0
3,core,1781
5,core,451
5,core,440
5,core,1647
5,core,453
5,core,1723
5,core,1674
5,core,442
5,core,465
5,core,446
5,core,1711
5,core,0
5,core,1731
5,core,1701
5,core,1682
5,core,1746
5,core,440
5,core,1700
5,core,1717
5,core,1668
5,core,0
5,core,1712
5,core,447
5,core,0
5,core,1696
5,core,1689
5,core,0
5,core,0
5,core,1723
5,core,1689
5,core,1734
8,core,0
8,core,1638
8,core,0
8,core,436
8,core,432
8,core,1661
8,core,0
8,core,1640
8,core,1647
8,core,1697
8,core,1686
8,core,0
8,core,1656
8,core,1685
8,core,1631
8,core,426
8,core,440
8,core,0
8,core,1620
8,core,0
8,core,1632
8,core,1658
8,core,0
8,core,0
8,core,0
8,core,1660
8,core,448
8,core,1590
8,core,439
8,core,1640
10,core,1595
10,core,0
10,core,1606
10,core,1624
10,core,422
10,core,1604
10,core,437
10,core,437
10,core,422
10,core,0
10,core,1598
10,core,0
10,core,1617
10,core,432
10,core,0
10,core,0
10,core,0
10,core,420
10,core,0
10,core,0
10,core,422
10,core,1625
10,core,0
10,core,1605
10,core,0
10,core,0
10,core,1649
10,core,1610
10,core,1583
10,core,423
13,core,0
13,core,1607
13,core,421
13,core,0
13,core,424
13,core,0
13,core,0
13,core,0
13,core,423
13,core,426
13,core,419
13,core,433
13,core,427
13,core,0
13,core,0
13,core,432
13,core,426
13,core,1592
13,core,1588
13,core,0
13,core,0
13,core,0
13,core,0
13,core,1566
13,core,427
13,core,0
13,core,426
13,core,1627
13,core,0
13,core,0
15,core,418
15,core,0
15,core,0
15,core,430
15,core,0
15,core,415
15,core,0
15,core,0
15,core,0
15,core,421
15,core,0
15,core,0
15,core,0
15,core,0
15,core,1558
15,core,1615
15,core,1589
15,core,421
15,core,0
15,core,416
15,core,0
15,core,0
15,core,0
15,core,0
15,core,1548
15,core,0
15,core,0
15,core,0
15,core,0
15,core,0
18,core,0
18,core,0
18,core,0
18,core,0
18,core,0
18,core,0
18,core,0
18,core,419
18,core,0
18,core,0
18,core,0
18,core,0
18,core,0
18,core,0
18,core,0
18,core,423
18,core,426
18,core,0
18,core,0
18,core,0
18,core,0
18,core,0
18,core,415
18,core,0
18,core,0
18,core,0
18,core,0
18,core,412
18,core,0
18,core,0
20,core,0
20,core,0
20,core,0
20,core,412
20,core,0
20,core,0
20,core,0
20,core,0
20,core,0
20,core,0
20,core,0
20,core,0
20,core,0
20,core,0
20,core,1544
20,core,0
20,core,0
20,core,0
20,core,0
20,core,0
20,core,0
20,core,0
20,core,0
20,core,413
20,core,0
20,core,0
20,core,0
20,core,0
20,core,413
20,core,0
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
23,core,412
1,pan,2013
1,pan,2055
1,pan,2120
1,pan,2120
1,pan,2055
1,pan,2003
1,pan,2013
1,pan,2063
1,pan,2120
1,pan,2113
1,pan,2084
1,pan,2071
1,pan,1982
1,pan,2071
1,pan,2114
1,pan,575
1,pan,2120
1,pan,0
1,pan,2064
1,pan,2072
1,pan,0
1,pan,2063
1,pan,2084
1,pan,2071
1,pan,2047
1,pan,2055
1,pan,2113
1,pan,1913
1,pan,2072
1,pan,2101
3,pan,2429
3,pan,2361
3,pan,2484
3,pan,2429
3,pan,2368
3,pan,2334
3,pan,2370
3,pan,2364
3,pan,2374
3,pan,2375
3,pan,2403
3,pan,2450
3,pan,2198
3,pan,2480
3,pan,2429
3,pan,2329
3,pan,2402
3,pan,2305
3,pan,2280
3,pan,2498
3,pan,2466
3,pan,2544
3,pan,2359
3,pan,2405
3,pan,2475
3,pan,2534
3,pan,2277
3,pan,2433
3,pan,2147
3,pan,2342
5,pan,2463
5,pan,2501
5,pan,2738
5,pan,2489
5,pan,2680
5,pan,2528
5,pan,2451
5,pan,2618
5,pan,2511
5,pan,2736
5,pan,2474
5,pan,2526
5,pan,2686
5,pan,2503
5,pan,2659
5,pan,2581
5,pan,2739
5,pan,2573
5,pan,2541
5,pan,2412
5,pan,2697
5,pan,2477
5,pan,2649
5,pan,2580
5,pan,2548
5,pan,2340
5,pan,2589
5,pan,2695
5,pan,2773
5,pan,2599
8,pan,2851
8,pan,2762
8,pan,2580
8,pan,2681
8,pan,2859
8,pan,2934
8,pan,2753
8,pan,2827
8,pan,2770
8,pan,2845
8,pan,2842
8,pan,2725
8,pan,2883
8,pan,2717
8,pan,2716
8,pan,2752
8,pan,2845
8,pan,2843
8,pan,2883
8,pan,2708
8,pan,2929
8,pan,2661
8,pan,2780
8,pan,2847
8,pan,2717
8,pan,2874
8,pan,2858
8,pan,2840
8,pan,2809
8,pan,2835
10,pan,2937
10,pan,2864
10,pan,2881
10,pan,3006
10,pan,2857
10,pan,3042
10,pan,2913
10,pan,2898
10,pan,3059
10,pan,2868
10,pan,3051
10,pan,2812
10,pan,3093
10,pan,2857
10,pan,2880
10,pan,2785
10,pan,2838
10,pan,3030
10,pan,2856
10,pan,2926
10,pan,2833
10,pan,2860
10,pan,2856
10,pan,2893
10,pan,2759
10,pan,2826
10,pan,3013
10,pan,2997
10,pan,3025
10,pan,2874
13,pan,3033
13,pan,3084
13,pan,3034
13,pan,2896
13,pan,2927
13,pan,3084
13,pan,2963
13,pan,3063
13,pan,2946
13,pan,3074
13,pan,3052
13,pan,3082
13,pan,3091
13,pan,3051
13,pan,2998
13,pan,3062
13,pan,3136
13,pan,3056
13,pan,3120
13,pan,2958
13,pan,3016
13,pan,3018
13,pan,2956
13,pan,3141
13,pan,3046
13,pan,3055
13,pan,3043
13,pan,3001
13,pan,3034
13,pan,2858
15,pan,2996
15,pan,2955
15,pan,3184
15,pan,3095
15,pan,3063
15,pan,3140
15,pan,3096
15,pan,3059
15,pan,3033
15,pan,3102
15,pan,3103
15,pan,3066
15,pan,3107
15,pan,3158
15,pan,3058
15,pan,3145
15,pan,3006
15,pan,3003
15,pan,3020
15,pan,3138
15,pan,3096
15,pan,3051
15,pan,3104
15,pan,2990
15,pan,3214
15,pan,3092
15,pan,3097
15,pan,3131
15,pan,3145
15,pan,2922
18,pan,3152
18,pan,3237
18,pan,3175
18,pan,3206
18,pan,3211
18,pan,3242
18,pan,3192
18,pan,3133
18,pan,3117
18,pan,3200
18,pan,3095
18,pan,3181
18,pan,3183
18,pan,3166
18,pan,3157
18,pan,3219
18,pan,3179
18,pan,3202
18,pan,3260
18,pan,3234
18,pan,3120
18,pan,3152
18,pan,3197
18,pan,3111
18,pan,3224
18,pan,3205
18,pan,3132
18,pan,3290
18,pan,3199
18,pan,3182
20,pan,3162
20,pan,3161
20,pan,3202
20,pan,3298
20,pan,3283
20,pan,3273
20,pan,3232
20,pan,3209
20,pan,3219
20,pan,3216
20,pan,3192
20,pan,3290
20,pan,3259
20,pan,3259
20,pan,3222
20,pan,3240
20,pan,3254
20,pan,3234
20,pan,3232
20,pan,3163
20,pan,3213
20,pan,3276
20,pan,3202
20,pan,3277
20,pan,3202
20,pan,3283
20,pan,3231
20,pan,3222
20,pan,3218
20,pan,3192
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
23,pan,3300
