Genes,Strains,Type,Dataset,Method
1980,1,core,MA,CD-HIT
1964,1,core,MA,CD-HIT
2040,1,core,MA,CD-HIT
1948,1,core,MA,CD-HIT
1953,1,core,MA,CD-HIT
1952,1,core,MA,CD-HIT
1978,1,core,MA,CD-HIT
1971,1,core,MA,CD-HIT
1936,1,core,MA,CD-HIT
1926,1,core,MA,CD-HIT
1991,1,core,MA,CD-HIT
1994,1,core,MA,CD-HIT
1952,1,core,MA,CD-HIT
2021,1,core,MA,CD-HIT
1916,1,core,MA,CD-HIT
1945,1,core,MA,CD-HIT
1937,1,core,MA,CD-HIT
1996,1,core,MA,CD-HIT
2019,1,core,MA,CD-HIT
1997,1,core,MA,CD-HIT
1992,1,core,MA,CD-HIT
1954,1,core,MA,CD-HIT
1988,1,core,MA,CD-HIT
1998,1,core,MA,CD-HIT
1941,1,core,MA,CD-HIT
1936,1,core,MA,CD-HIT
1996,1,core,MA,CD-HIT
1994,1,core,MA,CD-HIT
1913,1,core,MA,CD-HIT
2002,1,core,MA,CD-HIT
1467,69,core,MA,CD-HIT
1483,69,core,MA,CD-HIT
1470,69,core,MA,CD-HIT
1485,69,core,MA,CD-HIT
1452,69,core,MA,CD-HIT
1480,69,core,MA,CD-HIT
1483,69,core,MA,CD-HIT
1473,69,core,MA,CD-HIT
1446,69,core,MA,CD-HIT
1461,69,core,MA,CD-HIT
1477,69,core,MA,CD-HIT
1475,69,core,MA,CD-HIT
1478,69,core,MA,CD-HIT
1480,69,core,MA,CD-HIT
1485,69,core,MA,CD-HIT
1477,69,core,MA,CD-HIT
1483,69,core,MA,CD-HIT
1477,69,core,MA,CD-HIT
1479,69,core,MA,CD-HIT
1468,69,core,MA,CD-HIT
1482,69,core,MA,CD-HIT
1486,69,core,MA,CD-HIT
1483,69,core,MA,CD-HIT
1489,69,core,MA,CD-HIT
1491,69,core,MA,CD-HIT
1460,69,core,MA,CD-HIT
1474,69,core,MA,CD-HIT
1473,69,core,MA,CD-HIT
1481,69,core,MA,CD-HIT
1449,69,core,MA,CD-HIT
1467,137,core,MA,CD-HIT
1474,137,core,MA,CD-HIT
1476,137,core,MA,CD-HIT
1469,137,core,MA,CD-HIT
1480,137,core,MA,CD-HIT
1475,137,core,MA,CD-HIT
1476,137,core,MA,CD-HIT
1455,137,core,MA,CD-HIT
1484,137,core,MA,CD-HIT
1468,137,core,MA,CD-HIT
1460,137,core,MA,CD-HIT
1465,137,core,MA,CD-HIT
1464,137,core,MA,CD-HIT
1471,137,core,MA,CD-HIT
1475,137,core,MA,CD-HIT
1475,137,core,MA,CD-HIT
1470,137,core,MA,CD-HIT
1474,137,core,MA,CD-HIT
1469,137,core,MA,CD-HIT
1478,137,core,MA,CD-HIT
1467,137,core,MA,CD-HIT
1474,137,core,MA,CD-HIT
1469,137,core,MA,CD-HIT
1469,137,core,MA,CD-HIT
1462,137,core,MA,CD-HIT
1481,137,core,MA,CD-HIT
1477,137,core,MA,CD-HIT
1471,137,core,MA,CD-HIT
1464,137,core,MA,CD-HIT
1471,137,core,MA,CD-HIT
1473,205,core,MA,CD-HIT
1475,205,core,MA,CD-HIT
1477,205,core,MA,CD-HIT
1468,205,core,MA,CD-HIT
1469,205,core,MA,CD-HIT
1478,205,core,MA,CD-HIT
1470,205,core,MA,CD-HIT
1476,205,core,MA,CD-HIT
1478,205,core,MA,CD-HIT
1477,205,core,MA,CD-HIT
1479,205,core,MA,CD-HIT
1476,205,core,MA,CD-HIT
1482,205,core,MA,CD-HIT
1474,205,core,MA,CD-HIT
1473,205,core,MA,CD-HIT
1475,205,core,MA,CD-HIT
1484,205,core,MA,CD-HIT
1480,205,core,MA,CD-HIT
1472,205,core,MA,CD-HIT
1470,205,core,MA,CD-HIT
1476,205,core,MA,CD-HIT
1485,205,core,MA,CD-HIT
1472,205,core,MA,CD-HIT
1481,205,core,MA,CD-HIT
1471,205,core,MA,CD-HIT
1483,205,core,MA,CD-HIT
1470,205,core,MA,CD-HIT
1478,205,core,MA,CD-HIT
1477,205,core,MA,CD-HIT
1481,205,core,MA,CD-HIT
1474,273,core,MA,CD-HIT
1476,273,core,MA,CD-HIT
1476,273,core,MA,CD-HIT
1470,273,core,MA,CD-HIT
1473,273,core,MA,CD-HIT
1479,273,core,MA,CD-HIT
1475,273,core,MA,CD-HIT
1479,273,core,MA,CD-HIT
1473,273,core,MA,CD-HIT
1476,273,core,MA,CD-HIT
1476,273,core,MA,CD-HIT
1471,273,core,MA,CD-HIT
1467,273,core,MA,CD-HIT
1480,273,core,MA,CD-HIT
1478,273,core,MA,CD-HIT
1475,273,core,MA,CD-HIT
1466,273,core,MA,CD-HIT
1475,273,core,MA,CD-HIT
1470,273,core,MA,CD-HIT
1474,273,core,MA,CD-HIT
1475,273,core,MA,CD-HIT
1470,273,core,MA,CD-HIT
1471,273,core,MA,CD-HIT
1471,273,core,MA,CD-HIT
1479,273,core,MA,CD-HIT
1473,273,core,MA,CD-HIT
1476,273,core,MA,CD-HIT
1470,273,core,MA,CD-HIT
1475,273,core,MA,CD-HIT
1475,273,core,MA,CD-HIT
1483,342,core,MA,CD-HIT
1473,342,core,MA,CD-HIT
1476,342,core,MA,CD-HIT
1474,342,core,MA,CD-HIT
1481,342,core,MA,CD-HIT
1476,342,core,MA,CD-HIT
1476,342,core,MA,CD-HIT
1470,342,core,MA,CD-HIT
1474,342,core,MA,CD-HIT
1474,342,core,MA,CD-HIT
1471,342,core,MA,CD-HIT
1473,342,core,MA,CD-HIT
1478,342,core,MA,CD-HIT
1474,342,core,MA,CD-HIT
1475,342,core,MA,CD-HIT
1478,342,core,MA,CD-HIT
1476,342,core,MA,CD-HIT
1478,342,core,MA,CD-HIT
1475,342,core,MA,CD-HIT
1469,342,core,MA,CD-HIT
1476,342,core,MA,CD-HIT
1473,342,core,MA,CD-HIT
1480,342,core,MA,CD-HIT
1481,342,core,MA,CD-HIT
1477,342,core,MA,CD-HIT
1474,342,core,MA,CD-HIT
1473,342,core,MA,CD-HIT
1475,342,core,MA,CD-HIT
1476,342,core,MA,CD-HIT
1473,342,core,MA,CD-HIT
1478,410,core,MA,CD-HIT
1477,410,core,MA,CD-HIT
1478,410,core,MA,CD-HIT
1473,410,core,MA,CD-HIT
1472,410,core,MA,CD-HIT
1472,410,core,MA,CD-HIT
1476,410,core,MA,CD-HIT
1473,410,core,MA,CD-HIT
1474,410,core,MA,CD-HIT
1474,410,core,MA,CD-HIT
1473,410,core,MA,CD-HIT
1477,410,core,MA,CD-HIT
1470,410,core,MA,CD-HIT
1476,410,core,MA,CD-HIT
1475,410,core,MA,CD-HIT
1473,410,core,MA,CD-HIT
1480,410,core,MA,CD-HIT
1469,410,core,MA,CD-HIT
1470,410,core,MA,CD-HIT
1475,410,core,MA,CD-HIT
1480,410,core,MA,CD-HIT
1476,410,core,MA,CD-HIT
1477,410,core,MA,CD-HIT
1474,410,core,MA,CD-HIT
1477,410,core,MA,CD-HIT
1473,410,core,MA,CD-HIT
1472,410,core,MA,CD-HIT
1474,410,core,MA,CD-HIT
1476,410,core,MA,CD-HIT
1473,410,core,MA,CD-HIT
1475,478,core,MA,CD-HIT
1471,478,core,MA,CD-HIT
1471,478,core,MA,CD-HIT
1475,478,core,MA,CD-HIT
1474,478,core,MA,CD-HIT
1475,478,core,MA,CD-HIT
1471,478,core,MA,CD-HIT
1473,478,core,MA,CD-HIT
1472,478,core,MA,CD-HIT
1470,478,core,MA,CD-HIT
1472,478,core,MA,CD-HIT
1473,478,core,MA,CD-HIT
1472,478,core,MA,CD-HIT
1476,478,core,MA,CD-HIT
1468,478,core,MA,CD-HIT
1475,478,core,MA,CD-HIT
1471,478,core,MA,CD-HIT
1471,478,core,MA,CD-HIT
1473,478,core,MA,CD-HIT
1474,478,core,MA,CD-HIT
1470,478,core,MA,CD-HIT
1469,478,core,MA,CD-HIT
1477,478,core,MA,CD-HIT
1477,478,core,MA,CD-HIT
1471,478,core,MA,CD-HIT
1474,478,core,MA,CD-HIT
1472,478,core,MA,CD-HIT
1473,478,core,MA,CD-HIT
1473,478,core,MA,CD-HIT
1479,478,core,MA,CD-HIT
1475,546,core,MA,CD-HIT
1470,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1475,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1475,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1476,546,core,MA,CD-HIT
1477,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1473,546,core,MA,CD-HIT
1475,546,core,MA,CD-HIT
1471,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1473,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1472,546,core,MA,CD-HIT
1472,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1472,546,core,MA,CD-HIT
1471,546,core,MA,CD-HIT
1478,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1474,546,core,MA,CD-HIT
1475,546,core,MA,CD-HIT
1472,615,core,MA,CD-HIT
