Genes,Strains,Type,Dataset,Method
1820,1,core,Maela,BF-MCL
2011,1,core,Maela,BF-MCL
2018,1,core,Maela,BF-MCL
1885,1,core,Maela,BF-MCL
1871,1,core,Maela,BF-MCL
1925,1,core,Maela,BF-MCL
2041,1,core,Maela,BF-MCL
1947,1,core,Maela,BF-MCL
1874,1,core,Maela,BF-MCL
2003,1,core,Maela,BF-MCL
1874,1,core,Maela,BF-MCL
1864,1,core,Maela,BF-MCL
1969,1,core,Maela,BF-MCL
1877,1,core,Maela,BF-MCL
2047,1,core,Maela,BF-MCL
2270,1,core,Maela,BF-MCL
2043,1,core,Maela,BF-MCL
2049,1,core,Maela,BF-MCL
1950,1,core,Maela,BF-MCL
1786,1,core,Maela,BF-MCL
2037,1,core,Maela,BF-MCL
1852,1,core,Maela,BF-MCL
2080,1,core,Maela,BF-MCL
1851,1,core,Maela,BF-MCL
2012,1,core,Maela,BF-MCL
2065,1,core,Maela,BF-MCL
2014,1,core,Maela,BF-MCL
1976,1,core,Maela,BF-MCL
1844,1,core,Maela,BF-MCL
1955,1,core,Maela,BF-MCL
1543,39,core,Maela,BF-MCL
1488,39,core,Maela,BF-MCL
1553,39,core,Maela,BF-MCL
1546,39,core,Maela,BF-MCL
1563,39,core,Maela,BF-MCL
1566,39,core,Maela,BF-MCL
1516,39,core,Maela,BF-MCL
1568,39,core,Maela,BF-MCL
1555,39,core,Maela,BF-MCL
1554,39,core,Maela,BF-MCL
1563,39,core,Maela,BF-MCL
1575,39,core,Maela,BF-MCL
1546,39,core,Maela,BF-MCL
1558,39,core,Maela,BF-MCL
1575,39,core,Maela,BF-MCL
1544,39,core,Maela,BF-MCL
1563,39,core,Maela,BF-MCL
1537,39,core,Maela,BF-MCL
1561,39,core,Maela,BF-MCL
1559,39,core,Maela,BF-MCL
1498,39,core,Maela,BF-MCL
1495,39,core,Maela,BF-MCL
1562,39,core,Maela,BF-MCL
1551,39,core,Maela,BF-MCL
1564,39,core,Maela,BF-MCL
1524,39,core,Maela,BF-MCL
1556,39,core,Maela,BF-MCL
1561,39,core,Maela,BF-MCL
1570,39,core,Maela,BF-MCL
1542,39,core,Maela,BF-MCL
1552,77,core,Maela,BF-MCL
1560,77,core,Maela,BF-MCL
1535,77,core,Maela,BF-MCL
1567,77,core,Maela,BF-MCL
1551,77,core,Maela,BF-MCL
1555,77,core,Maela,BF-MCL
1553,77,core,Maela,BF-MCL
1568,77,core,Maela,BF-MCL
1571,77,core,Maela,BF-MCL
1566,77,core,Maela,BF-MCL
1569,77,core,Maela,BF-MCL
1561,77,core,Maela,BF-MCL
1573,77,core,Maela,BF-MCL
1565,77,core,Maela,BF-MCL
1556,77,core,Maela,BF-MCL
1541,77,core,Maela,BF-MCL
1548,77,core,Maela,BF-MCL
1572,77,core,Maela,BF-MCL
1539,77,core,Maela,BF-MCL
1560,77,core,Maela,BF-MCL
1560,77,core,Maela,BF-MCL
1565,77,core,Maela,BF-MCL
1542,77,core,Maela,BF-MCL
1558,77,core,Maela,BF-MCL
1566,77,core,Maela,BF-MCL
1570,77,core,Maela,BF-MCL
1558,77,core,Maela,BF-MCL
1567,77,core,Maela,BF-MCL
1571,77,core,Maela,BF-MCL
1565,77,core,Maela,BF-MCL
1566,116,core,Maela,BF-MCL
1568,116,core,Maela,BF-MCL
1560,116,core,Maela,BF-MCL
1559,116,core,Maela,BF-MCL
1558,116,core,Maela,BF-MCL
1575,116,core,Maela,BF-MCL
1560,116,core,Maela,BF-MCL
1560,116,core,Maela,BF-MCL
1556,116,core,Maela,BF-MCL
1564,116,core,Maela,BF-MCL
1563,116,core,Maela,BF-MCL
1569,116,core,Maela,BF-MCL
1556,116,core,Maela,BF-MCL
1574,116,core,Maela,BF-MCL
1560,116,core,Maela,BF-MCL
1558,116,core,Maela,BF-MCL
1564,116,core,Maela,BF-MCL
1564,116,core,Maela,BF-MCL
1570,116,core,Maela,BF-MCL
1565,116,core,Maela,BF-MCL
1560,116,core,Maela,BF-MCL
1560,116,core,Maela,BF-MCL
1567,116,core,Maela,BF-MCL
1561,116,core,Maela,BF-MCL
1560,116,core,Maela,BF-MCL
1568,116,core,Maela,BF-MCL
1560,116,core,Maela,BF-MCL
1558,116,core,Maela,BF-MCL
1558,116,core,Maela,BF-MCL
1571,116,core,Maela,BF-MCL
1565,154,core,Maela,BF-MCL
1569,154,core,Maela,BF-MCL
1556,154,core,Maela,BF-MCL
1564,154,core,Maela,BF-MCL
1561,154,core,Maela,BF-MCL
1561,154,core,Maela,BF-MCL
1568,154,core,Maela,BF-MCL
1573,154,core,Maela,BF-MCL
1569,154,core,Maela,BF-MCL
