Dataset, Software, Elapsed Time (s), Memory (Maximum resident set size (kb) 
M5, UClust,0.86,93236
M5, CDHIT,1.40,134464
M5, PanX,326.23,515828
M5, Roary,149.00,271836
M5, BFClust,2022.72,725632
M5, BFClust2,2184.66,747396
M5, PIRATE,167.35,107824
M5, Panaroo,50.78,149892
M25, UClust,1.83,124756
M25, CDHIT,5.10,58688
M25, PanX,960.74,2352856
M25, Roary,553.03,283380
M25, BFClust,11527.10,3599924
M25, BFClust2,15697,3673248
M25, PIRATE,504.18,166008
M25, Panaroo,150.32,258120
M50, UClust,2.72,150036
M50, CDHIT,10.18,86764
M50, PanX,2575.84,3956424
M50, Roary,1654.70,446060
M50, BFClust,18178.11,6613240
M50, BFClust2,40014,7034640
M50, PIRATE,895.65,219052
M50, Panaroo,263.83,283012
M100, UClust,3.85,201284
M100, CDHIT,21.23,145204
M100, PanX,3639,8969856
M100, Roary,2507.50,811200
M100, BFClust,47412.81,14458244
M100, BFClust2,68274,15685972
M100, PIRATE,1762.15,352448
M100, Panaroo,522.37,533720
M150, UClust,4.91,248928
M150, CDHIT,32.33,200644
M150, PanX,6407,8650616
M150, Roary,3771,1145868
M150, BFClust,63749.51,21810332
M150, BFClust2,,
M150, PIRATE,2619.10,514888
M150, Panaroo,827.82,703732
M200, UClust,6.20,304060
M200, CDHIT,45.29,259640
M200, PanX,10651, 10314044 
M200, Roary,2717.96,1519640
M200, BFClust,92066.10,34159404
M200, BFClust2,62092,2519724
M200, PIRATE,3625,678132
M200, Panaroo,1338.66,1009500
M250, UClust,6.58,348784
M250, CDHIT,56.35,313924
M250, PanX,15503,9518808
M250, Roary,2710,1859072
M250, BFClust,128947.67,40712408
M250, BFClust2,104469,2921376
M250, PIRATE,4844,835920
M250, Panaroo,1695.98,1199304
M300, UClust,,
M300, CDHIT,,
M300, PanX,,
M300, Roary,,
M300, BFClust,,
M300, PIRATE,,
M300, Panaroo,,
