Strains,Type,Genes
1,core,1772
1,core,1768
1,core,1775
1,core,1799
1,core,2680
1,core,2680
1,core,1765
1,core,1775
1,core,1768
1,core,1929
1,core,1715
1,core,1747
1,core,1715
1,core,1755
1,core,1770
1,core,1697
1,core,1761
1,core,1773
1,core,1782
1,core,2672
1,core,1929
1,core,1737
1,core,1765
1,core,1761
1,core,1768
1,core,1765
1,core,1773
1,core,1799
1,core,1799
1,core,1755
3,core,1261
3,core,1187
3,core,1298
3,core,1460
3,core,1192
3,core,1296
3,core,1177
3,core,1180
3,core,1316
3,core,1178
3,core,1232
3,core,1260
3,core,1285
3,core,1198
3,core,1249
3,core,1220
3,core,1195
3,core,1264
3,core,1293
3,core,1560
3,core,1258
3,core,1486
3,core,1234
3,core,1250
3,core,1237
3,core,1255
3,core,1548
3,core,1158
3,core,1153
3,core,1306
6,core,1104
6,core,1106
6,core,1110
6,core,1106
6,core,1218
6,core,1134
6,core,1209
6,core,1106
6,core,1151
6,core,1102
6,core,1231
6,core,1103
6,core,1102
6,core,1171
6,core,1157
6,core,1103
6,core,1100
6,core,1126
6,core,1164
6,core,1162
6,core,1089
6,core,1163
6,core,1117
6,core,1205
6,core,1163
6,core,1075
6,core,1072
6,core,1179
6,core,1101
6,core,1170
9,core,1136
9,core,1044
9,core,1132
9,core,1061
9,core,1057
9,core,1128
9,core,1066
9,core,1067
9,core,1060
9,core,1078
9,core,1102
9,core,1069
9,core,1077
9,core,1075
9,core,1054
9,core,1086
9,core,1085
9,core,1061
9,core,1071
9,core,1074
9,core,1037
9,core,1041
9,core,1090
9,core,1142
9,core,1064
9,core,1081
9,core,1063
9,core,1119
9,core,1073
9,core,1067
12,core,1010
12,core,1054
12,core,1046
12,core,1040
12,core,1016
12,core,1076
12,core,1013
12,core,1042
12,core,1136
12,core,1025
12,core,1062
12,core,1058
12,core,1090
12,core,1046
12,core,1027
12,core,1002
12,core,1020
12,core,1043
12,core,1027
12,core,1040
12,core,1026
