Strains,Type,Genes
1,core,1827
1,core,1808
1,core,1775
1,core,1880
1,core,1801
1,core,1774
1,core,1765
1,core,1821
1,core,1842
1,core,1851
1,core,1784
1,core,1797
1,core,1812
1,core,1819
1,core,1821
1,core,1782
1,core,1768
1,core,1775
1,core,1843
1,core,1779
1,core,1774
1,core,1807
1,core,1744
1,core,1758
1,core,1863
1,core,1849
1,core,1819
1,core,1778
1,core,1795
1,core,1789
69,core,1542
69,core,1554
69,core,1547
69,core,1551
69,core,1540
69,core,1547
69,core,1548
69,core,1548
69,core,1547
69,core,1547
69,core,1555
69,core,1550
69,core,1540
69,core,1546
69,core,1545
69,core,1546
69,core,1548
69,core,1550
69,core,1543
69,core,1535
69,core,1545
69,core,1514
69,core,1556
69,core,1532
69,core,1543
69,core,1549
69,core,1556
69,core,1547
69,core,1542
69,core,1559
137,core,1551
137,core,1551
137,core,1542
137,core,1548
137,core,1547
137,core,1552
137,core,1548
137,core,1543
137,core,1545
137,core,1545
137,core,1549
137,core,1556
137,core,1549
137,core,1545
137,core,1548
137,core,1543
137,core,1548
137,core,1550
137,core,1538
137,core,1548
137,core,1547
137,core,1548
137,core,1544
137,core,1544
137,core,1547
137,core,1550
137,core,1543
137,core,1550
137,core,1548
137,core,1537
205,core,1549
205,core,1548
205,core,1550
205,core,1552
205,core,1550
205,core,1548
205,core,1552
205,core,1550
205,core,1549
205,core,1551
205,core,1551
205,core,1547
205,core,1547
205,core,1550
205,core,1546
205,core,1554
205,core,1549
205,core,1548
205,core,1544
205,core,1549
205,core,1548
205,core,1552
205,core,1546
205,core,1548
205,core,1552
205,core,1551
205,core,1553
205,core,1546
205,core,1551
205,core,1552
273,core,1550
273,core,1548
273,core,1548
273,core,1551
273,core,1547
273,core,1556
273,core,1548
273,core,1545
273,core,1549
273,core,1548
273,core,1545
273,core,1546
273,core,1546
273,core,1548
273,core,1549
273,core,1544
273,core,1553
273,core,1551
273,core,1549
273,core,1548
273,core,1550
273,core,1549
273,core,1549
273,core,1549
273,core,1548
273,core,1548
273,core,1551
273,core,1549
273,core,1554
273,core,1551
342,core,1549
342,core,1548
342,core,1550
342,core,1547
342,core,1548
342,core,1551
342,core,1549
342,core,1549
342,core,1551
342,core,1548
342,core,1552
342,core,1550
342,core,1550
342,core,1549
342,core,1548
342,core,1549
342,core,1550
342,core,1547
342,core,1549
342,core,1548
342,core,1550
342,core,1552
342,core,1547
342,core,1551
342,core,1553
342,core,1549
342,core,1551
342,core,1549
342,core,1551
342,core,1549
410,core,1551
410,core,1548
410,core,1549
410,core,1550
410,core,1554
410,core,1550
410,core,1549
410,core,1550
410,core,1548
410,core,1549
410,core,1550
410,core,1550
410,core,1550
410,core,1549
410,core,1550
410,core,1549
410,core,1551
410,core,1551
410,core,1549
410,core,1550
410,core,1549
410,core,1551
410,core,1550
410,core,1549
410,core,1551
410,core,1549
410,core,1551
410,core,1550
410,core,1548
410,core,1550
478,core,1550
478,core,1549
478,core,1551
478,core,1549
478,core,1549
478,core,1549
478,core,1550
478,core,1550
478,core,1547
478,core,1549
478,core,1550
478,core,1550
478,core,1550
478,core,1551
478,core,1550
478,core,1548
478,core,1550
478,core,1550
478,core,1548
478,core,1549
478,core,1550
478,core,1550
478,core,1550
478,core,1550
478,core,1547
478,core,1550
478,core,1550
478,core,1550
478,core,1550
478,core,1550
546,core,1550
546,core,1550
546,core,1549
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1549
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1549
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1550
546,core,1551
546,core,1550
546,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
615,core,1550
1,pan,1827
1,pan,1808
1,pan,1775
1,pan,1880
1,pan,1801
1,pan,1774
1,pan,1765
1,pan,1821
1,pan,1842
1,pan,1851
1,pan,1784
1,pan,1797
1,pan,1812
1,pan,1819
1,pan,1821
1,pan,1782
1,pan,1768
1,pan,1775
1,pan,1843
1,pan,1779
1,pan,1774
1,pan,1807
1,pan,1744
1,pan,1758
1,pan,1863
1,pan,1849
1,pan,1819
1,pan,1778
1,pan,1795
1,pan,1789
69,pan,2851
69,pan,2693
69,pan,2852
69,pan,2871
69,pan,2799
69,pan,2743
69,pan,2808
69,pan,2824
69,pan,2777
69,pan,2880
69,pan,2808
69,pan,2840
69,pan,2748
69,pan,2847
69,pan,2804
69,pan,2847
69,pan,2837
69,pan,2814
69,pan,2829
69,pan,2744
69,pan,2800
69,pan,2849
69,pan,2825
69,pan,2799
69,pan,2859
69,pan,2807
69,pan,2769
69,pan,2729
69,pan,2868
69,pan,2766
137,pan,2897
137,pan,2865
137,pan,2986
137,pan,2940
137,pan,2935
137,pan,2940
137,pan,2934
137,pan,2942
137,pan,2933
137,pan,2973
137,pan,2868
137,pan,2863
137,pan,2974
137,pan,2949
137,pan,2917
137,pan,2932
137,pan,3009
137,pan,2918
137,pan,2917
137,pan,2940
137,pan,2928
137,pan,2981
137,pan,2954
137,pan,2936
137,pan,2821
137,pan,2866
137,pan,2877
137,pan,2953
137,pan,2923
137,pan,2969
205,pan,3025
205,pan,3021
205,pan,3031
205,pan,2997
205,pan,2991
205,pan,2990
205,pan,3002
205,pan,3013
205,pan,2964
205,pan,3020
205,pan,3016
205,pan,3030
205,pan,3038
205,pan,3000
205,pan,3007
205,pan,2905
205,pan,2968
205,pan,3018
205,pan,3026
205,pan,3048
205,pan,2982
205,pan,2965
205,pan,3015
205,pan,2996
205,pan,3028
205,pan,3028
205,pan,2961
205,pan,2996
205,pan,3045
205,pan,3009
273,pan,3063
273,pan,3082
273,pan,3082
273,pan,3022
273,pan,3012
273,pan,2998
273,pan,3061
273,pan,3050
273,pan,3043
273,pan,3053
273,pan,3000
273,pan,3030
273,pan,3118
273,pan,3028
273,pan,3029
273,pan,3031
273,pan,3032
273,pan,3089
273,pan,3045
273,pan,3078
273,pan,3029
273,pan,3043
273,pan,3040
273,pan,3022
273,pan,3065
273,pan,3051
273,pan,3057
273,pan,3060
273,pan,2949
273,pan,3054
342,pan,3032
342,pan,3118
342,pan,3068
342,pan,3048
342,pan,3051
342,pan,3122
342,pan,3097
342,pan,3090
342,pan,3110
342,pan,3067
342,pan,3094
342,pan,3072
342,pan,3072
342,pan,3088
342,pan,3079
342,pan,3108
342,pan,3075
342,pan,3100
342,pan,3081
342,pan,3113
342,pan,3094
342,pan,3049
342,pan,3084
342,pan,3072
342,pan,3088
342,pan,3073
342,pan,3102
342,pan,3067
342,pan,3102
342,pan,3055
410,pan,3099
410,pan,3117
410,pan,3115
410,pan,3144
410,pan,3093
410,pan,3104
410,pan,3116
410,pan,3094
410,pan,3103
410,pan,3113
410,pan,3113
410,pan,3109
410,pan,3117
410,pan,3104
410,pan,3068
410,pan,3107
410,pan,3106
410,pan,3120
410,pan,3112
410,pan,3116
410,pan,3130
410,pan,3113
410,pan,3147
410,pan,3114
410,pan,3098
410,pan,3095
410,pan,3101
410,pan,3106
410,pan,3088
410,pan,3099
478,pan,3131
478,pan,3123
478,pan,3119
478,pan,3151
478,pan,3114
478,pan,3157
478,pan,3140
478,pan,3155
478,pan,3156
478,pan,3125
478,pan,3132
478,pan,3152
478,pan,3136
478,pan,3135
478,pan,3115
478,pan,3135
478,pan,3134
478,pan,3151
478,pan,3153
478,pan,3109
478,pan,3130
478,pan,3132
478,pan,3119
478,pan,3123
478,pan,3148
478,pan,3142
478,pan,3103
478,pan,3119
478,pan,3146
478,pan,3152
546,pan,3151
546,pan,3164
546,pan,3166
546,pan,3154
546,pan,3155
546,pan,3163
546,pan,3145
546,pan,3163
546,pan,3145
546,pan,3153
546,pan,3164
546,pan,3160
546,pan,3157
546,pan,3142
546,pan,3146
546,pan,3144
546,pan,3147
546,pan,3159
546,pan,3158
546,pan,3144
546,pan,3143
546,pan,3162
546,pan,3165
546,pan,3160
546,pan,3147
546,pan,3151
546,pan,3162
546,pan,3166
546,pan,3150
546,pan,3156
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
615,pan,3169
