rep,subs_rate,BFClust2_ARI,BFClust2_JI,BFClust_ARI,BFClust_JI,CDHIT_ARI,CDHIT_JI,PIRATE_ARI,PIRATE_JI,PanX_ARI,PanX_JI,Panaroo_ARI,Panaroo_JI,Roary_ARI,Roary_JI,UClust_ARI,UClust_JI
1,1.00E-07,8.97E-05,0.173016428,8.98E-05,0.173016428,0,0.005242922,0,0,0,0,8.98E-05,0.173016428,8.98E-05,0.173016428,0,0.005242922
1,1.00E-08,7.92E-05,0.183673469,7.95E-05,0.183673469,0,0.004211208,0,0,0,0,7.93E-05,0.183673469,7.93E-05,0.183673469,0,0.004211208
1,1.00E-09,8.72E-05,0.223507346,0.000153703,0.223507346,0.066636358,0.007502344,0.000120598,0.227258518,0,0,8.78E-05,0.223507346,8.78E-05,0.223507346,0.065848064,0.007502344
1,1.00E-10,0.000854399,0.086519767,0.004106013,0.355152301,0.622099415,0.028515878,0.003748737,0.361309138,0.004120468,0.357096565,0.001025416,0.087167855,0.001025416,0.087167855,0.620633826,0.02786779
1,1.00E-11,0.005827681,0.103535354,0.028693724,0.871572872,0.950179115,0.999278499,0,0,0.030777189,0.879148629,0.027465552,0.707070707,0.027465552,0.707070707,0.950840705,0.998556999
1,1.00E-12,0.008522018,0.116237482,0.037268626,0.981759657,0.947701065,0.999642346,0.038062866,0.984263233,0.043859186,0.984620887,0.043892296,0.983547926,0.043892296,0.983547926,0.948460938,0.999642346
2,1.00E-07,8.24E-05,0.175407512,8.25E-05,0.175407512,0,0.000708717,0,0,0,0,8.25E-05,0.175407512,8.25E-05,0.175407512,0,0.000708717
2,1.00E-08,6.82E-05,0.199204508,8.01E-05,0.199204508,0.064141074,0,7.66E-05,0.200861783,0,0,6.79E-05,0.199204508,6.79E-05,0.199204508,0.06421072,0
2,1.00E-09,7.28E-05,0.190414508,8.64E-05,0.191062176,0.043635506,0.007772021,7.75E-05,0.193329016,0,0,7.25E-05,0.190414508,7.25E-05,0.190414508,0.043593452,0.007772021
2,1.00E-10,0.001200217,0.118765698,0.005292475,0.480803732,0.894305895,0.073555795,0.005210223,0.480803732,0.00531879,0.484391819,0.002332073,0.119124507,0.002332073,0.119124507,0.893379215,0.075708647
2,1.00E-11,0.004575605,0.104356307,0.025941794,0.869960988,0.959406709,0.999024707,0.023804111,0.876788036,0.027821276,0.873211964,0.025720497,0.748049415,0.025720497,0.748049415,0.958933727,0.99869961
2,1.00E-12,0.007521135,0.11461794,0.036463161,0.980730897,0.950729034,0.999003322,0.034879834,0.984053156,0.040988499,0.984717608,0.040991136,0.983056478,0.040991136,0.983056478,0.950112808,0.999335548
3,1.00E-07,7.67E-05,0.186657682,7.92E-05,0.186320755,0.008987068,0.001347709,7.73E-05,0.189016173,0,0,7.67E-05,0.185983827,7.67E-05,0.185983827,0.009287248,0.001347709
3,1.00E-08,8.55E-05,0.193619018,9.55E-05,0.193619018,0.000881443,0.005004692,8.79E-05,0.197372537,0,0,8.22E-05,0.193306225,8.22E-05,0.193306225,0.000923397,0.005004692
3,1.00E-09,6.64E-05,0.203505645,8.66E-05,0.205882353,0.163030262,0.009803922,8.35E-05,0.207961973,0,0,7.06E-05,0.203208556,7.06E-05,0.203208556,0.163030262,0.009803922
3,1.00E-10,0.000964391,0.104998323,0.004333286,0.469976518,0.712508056,0.050318685,0.004131939,0.477356592,0.004347861,0.474337471,0.001679092,0.108352902,0.001679092,0.108352902,0.71215578,0.051660517
3,1.00E-11,0.006244573,0.114986188,0.027588076,0.91781768,0.96425469,0.998964088,0.028813976,0.917472376,0.029427516,0.925414365,0.026739234,0.679558011,0.026739234,0.679558011,0.963780819,0.997928177
3,1.00E-12,0.009120676,0.115041209,0.041107718,0.979052198,0.961409077,1,0.041254824,0.982142857,0,0,0.048006574,0.977678571,0.048006574,0.977678571,0.960943387,0.998626374
4,1.00E-07,8.82E-05,0.179469748,8.83E-05,0.179129844,0,0.007477906,0,0,0,0,8.83E-05,0.179129844,8.83E-05,0.179129844,0,0.007477906
