Strains,Type,Genes
1,core,2045
1,core,2083
1,core,1984
1,core,1969
1,core,1935
1,core,2051
1,core,1990
1,core,2036
1,core,2058
1,core,1968
1,core,2084
1,core,2066
1,core,2056
1,core,2123
1,core,1998
1,core,1990
1,core,1984
1,core,2120
1,core,1927
1,core,2080
1,core,2038
1,core,1931
1,core,1986
1,core,2028
1,core,1953
1,core,1998
1,core,1919
1,core,1993
1,core,2081
1,core,2050
39,core,1459
39,core,1478
39,core,1480
39,core,1475
39,core,1494
39,core,1483
39,core,1470
39,core,1488
39,core,1475
39,core,1476
39,core,1462
39,core,1476
39,core,1463
39,core,1458
39,core,1490
39,core,1483
39,core,1474
39,core,1465
39,core,1455
39,core,1465
39,core,1474
39,core,1485
39,core,1473
39,core,1474
39,core,1481
39,core,1460
39,core,1480
39,core,1463
39,core,1464
39,core,1479
78,core,1477
78,core,1477
78,core,1479
78,core,1477
78,core,1480
78,core,1477
78,core,1477
78,core,1478
78,core,1477
78,core,1481
78,core,1487
78,core,1477
78,core,1481
78,core,1477
78,core,1478
78,core,1480
78,core,1480
78,core,1480
78,core,1480
78,core,1483
78,core,1481
78,core,1480
78,core,1463
78,core,1476
78,core,1474
78,core,1474
78,core,1482
78,core,1470
78,core,1479
78,core,1482
117,core,1486
117,core,1480
117,core,1477
117,core,1480
117,core,1477
117,core,1478
117,core,1483
117,core,1481
117,core,1473
117,core,1481
117,core,1474
117,core,1471
117,core,1472
117,core,1478
117,core,1480
117,core,1483
117,core,1475
117,core,1477
117,core,1477
117,core,1478
117,core,1481
117,core,1481
117,core,1476
117,core,1482
117,core,1480
117,core,1484
117,core,1474
117,core,1480
117,core,1475
117,core,1481
155,core,1481
155,core,1481
155,core,1477
155,core,1480
155,core,1484
155,core,1478
155,core,1482
155,core,1482
155,core,1481
155,core,1480
155,core,1480
155,core,1475
155,core,1482
155,core,1479
155,core,1480
155,core,1481
155,core,1485
155,core,1488
155,core,1482
155,core,1475
155,core,1479
155,core,1480
155,core,1495
155,core,1483
155,core,1479
155,core,1484
155,core,1475
155,core,1481
155,core,1480
155,core,1476
194,core,1482
194,core,1484
194,core,1474
194,core,1487
194,core,1477
194,core,1479
194,core,1476
194,core,1482
194,core,1484
194,core,1486
194,core,1488
194,core,1485
194,core,1476
194,core,1481
194,core,1479
194,core,1480
194,core,1482
194,core,1486
194,core,1483
194,core,1479
194,core,1482
194,core,1486
194,core,1480
194,core,1478
194,core,1484
194,core,1482
194,core,1485
194,core,1477
194,core,1480
194,core,1478
233,core,1477
233,core,1481
233,core,1481
233,core,1478
233,core,1478
233,core,1474
233,core,1474
233,core,1480
233,core,1486
233,core,1480
233,core,1482
233,core,1479
233,core,1479
233,core,1477
233,core,1474
233,core,1482
233,core,1484
233,core,1487
233,core,1482
233,core,1482
233,core,1483
233,core,1483
233,core,1480
233,core,1482
233,core,1483
233,core,1479
233,core,1478
233,core,1479
233,core,1478
233,core,1480
271,core,1481
271,core,1483
271,core,1483
271,core,1480
271,core,1480
271,core,1482
271,core,1481
271,core,1482
271,core,1482
271,core,1482
271,core,1480
271,core,1482
271,core,1480
271,core,1482
271,core,1483
271,core,1482
271,core,1481
271,core,1485
271,core,1482
271,core,1482
271,core,1478
271,core,1481
271,core,1483
271,core,1482
271,core,1487
271,core,1483
271,core,1480
271,core,1484
271,core,1481
271,core,1481
310,core,1485
310,core,1480
310,core,1482
310,core,1484
310,core,1480
310,core,1482
310,core,1481
310,core,1482
310,core,1482
310,core,1482
310,core,1484
310,core,1483
310,core,1480
310,core,1482
310,core,1481
310,core,1484
310,core,1481
310,core,1481
310,core,1481
310,core,1483
310,core,1482
310,core,1481
310,core,1483
310,core,1480
310,core,1482
310,core,1481
310,core,1481
310,core,1482
310,core,1483
310,core,1483
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
1,pan,2045
1,pan,2083
1,pan,1984
1,pan,1969
1,pan,1935
1,pan,2051
1,pan,1990
1,pan,2036
1,pan,2058
1,pan,1968
1,pan,2084
1,pan,2066
1,pan,2056
1,pan,2123
1,pan,1998
