Strains,Type,Genes
1,core,1886
1,core,1891
1,core,1937
1,core,1919
1,core,1888
1,core,1917
1,core,1991
1,core,1927
1,core,2000
1,core,1949
1,core,1878
1,core,2007
1,core,1964
1,core,1899
1,core,1930
1,core,1928
1,core,1953
1,core,1919
1,core,1830
1,core,1928
1,core,1870
1,core,1827
1,core,1904
1,core,1873
1,core,1909
1,core,1924
1,core,1972
1,core,1898
1,core,1962
1,core,1918
69,core,1600
69,core,1607
69,core,1595
69,core,1594
69,core,1593
69,core,1592
69,core,1591
69,core,1602
69,core,1597
69,core,1597
69,core,1584
69,core,1602
69,core,1595
69,core,1587
69,core,1589
69,core,1545
69,core,1604
69,core,1602
69,core,1599
69,core,1602
69,core,1595
69,core,1600
69,core,1591
69,core,1586
69,core,1599
69,core,1559
69,core,1604
69,core,1604
69,core,1596
69,core,1587
137,core,1586
137,core,1598
137,core,1592
137,core,1588
137,core,1592
137,core,1595
137,core,1592
137,core,1601
137,core,1595
137,core,1596
137,core,1598
137,core,1591
137,core,1601
137,core,1583
137,core,1594
137,core,1596
137,core,1584
137,core,1594
137,core,1590
137,core,1587
137,core,1590
137,core,1596
137,core,1593
137,core,1598
137,core,1598
137,core,1590
137,core,1590
137,core,1595
137,core,1597
137,core,1597
205,core,1596
205,core,1597
205,core,1594
205,core,1595
205,core,1598
205,core,1596
205,core,1599
205,core,1599
205,core,1598
205,core,1595
205,core,1599
205,core,1594
205,core,1593
205,core,1599
205,core,1598
205,core,1588
205,core,1595
205,core,1601
205,core,1599
205,core,1592
205,core,1591
205,core,1595
205,core,1600
205,core,1598
205,core,1595
205,core,1599
205,core,1595
205,core,1599
205,core,1599
205,core,1597
273,core,1599
273,core,1600
273,core,1590
273,core,1593
273,core,1595
273,core,1598
273,core,1594
273,core,1595
273,core,1596
273,core,1592
273,core,1598
273,core,1593
273,core,1589
273,core,1597
273,core,1596
273,core,1592
273,core,1595
273,core,1593
273,core,1595
273,core,1594
273,core,1594
273,core,1593
273,core,1597
273,core,1596
273,core,1597
273,core,1595
273,core,1599
273,core,1589
273,core,1594
273,core,1596
342,core,1598
342,core,1599
342,core,1596
342,core,1596
342,core,1595
342,core,1597
342,core,1596
342,core,1594
342,core,1596
342,core,1597
342,core,1597
342,core,1597
