Genes,Strains,Type,Dataset,Method
1893,1,core,RefSeq,panX
2027,1,core,RefSeq,panX
2004,1,core,RefSeq,panX
1769,1,core,RefSeq,panX
1958,1,core,RefSeq,panX
1949,1,core,RefSeq,panX
2089,1,core,RefSeq,panX
1769,1,core,RefSeq,panX
1949,1,core,RefSeq,panX
1769,1,core,RefSeq,panX
1973,1,core,RefSeq,panX
1955,1,core,RefSeq,panX
1955,1,core,RefSeq,panX
2058,1,core,RefSeq,panX
1941,1,core,RefSeq,panX
1930,1,core,RefSeq,panX
2004,1,core,RefSeq,panX
1977,1,core,RefSeq,panX
1930,1,core,RefSeq,panX
1973,1,core,RefSeq,panX
1949,1,core,RefSeq,panX
2027,1,core,RefSeq,panX
1769,1,core,RefSeq,panX
1941,1,core,RefSeq,panX
1973,1,core,RefSeq,panX
1958,1,core,RefSeq,panX
1769,1,core,RefSeq,panX
1941,1,core,RefSeq,panX
1930,1,core,RefSeq,panX
1963,1,core,RefSeq,panX
1686,3,core,RefSeq,panX
453,3,core,RefSeq,panX
455,3,core,RefSeq,panX
1595,3,core,RefSeq,panX
1610,3,core,RefSeq,panX
1640,3,core,RefSeq,panX
1642,3,core,RefSeq,panX
462,3,core,RefSeq,panX
1677,3,core,RefSeq,panX
1695,3,core,RefSeq,panX
1714,3,core,RefSeq,panX
1686,3,core,RefSeq,panX
1699,3,core,RefSeq,panX
1657,3,core,RefSeq,panX
1707,3,core,RefSeq,panX
426,3,core,RefSeq,panX
1622,3,core,RefSeq,panX
1688,3,core,RefSeq,panX
1701,3,core,RefSeq,panX
1697,3,core,RefSeq,panX
1735,3,core,RefSeq,panX
1650,3,core,RefSeq,panX
438,3,core,RefSeq,panX
451,3,core,RefSeq,panX
463,3,core,RefSeq,panX
1711,3,core,RefSeq,panX
1744,3,core,RefSeq,panX
1683,3,core,RefSeq,panX
1715,3,core,RefSeq,panX
1659,3,core,RefSeq,panX
1565,5,core,RefSeq,panX
413,5,core,RefSeq,panX
1565,5,core,RefSeq,panX
401,5,core,RefSeq,panX
1596,5,core,RefSeq,panX
1528,5,core,RefSeq,panX
1645,5,core,RefSeq,panX
1603,5,core,RefSeq,panX
1535,5,core,RefSeq,panX
1556,5,core,RefSeq,panX
1538,5,core,RefSeq,panX
1565,5,core,RefSeq,panX
1565,5,core,RefSeq,panX
1553,5,core,RefSeq,panX
1580,5,core,RefSeq,panX
1542,5,core,RefSeq,panX
1615,5,core,RefSeq,panX
1612,5,core,RefSeq,panX
1619,5,core,RefSeq,panX
1625,5,core,RefSeq,panX
432,5,core,RefSeq,panX
415,5,core,RefSeq,panX
1596,5,core,RefSeq,panX
1589,5,core,RefSeq,panX
1508,5,core,RefSeq,panX
