Strains,Type,Genes
1,core,1950
1,core,2031
1,core,2114
1,core,2018
1,core,1934
1,core,2084
1,core,1998
1,core,2155
1,core,2045
1,core,2059
1,core,2061
1,core,1996
1,core,2106
1,core,2038
1,core,2051
1,core,2099
1,core,2149
1,core,2076
1,core,2060
1,core,2105
1,core,2091
1,core,2145
1,core,2027
1,core,1925
1,core,2088
1,core,1924
1,core,2032
1,core,1930
1,core,1936
1,core,1996
39,core,1632
39,core,1618
39,core,1598
39,core,1625
39,core,1604
39,core,1599
39,core,1631
39,core,1616
39,core,1609
39,core,1614
39,core,1621
39,core,1617
39,core,1618
39,core,1619
39,core,1606
39,core,1620
39,core,1607
39,core,1602
39,core,1610
39,core,1614
39,core,1604
39,core,1616
39,core,1604
39,core,1621
39,core,1604
39,core,1600
39,core,1617
39,core,1618
39,core,1624
39,core,1613
78,core,1622
78,core,1617
78,core,1616
78,core,1616
78,core,1613
78,core,1606
78,core,1617
78,core,1615
78,core,1617
78,core,1616
78,core,1608
78,core,1611
78,core,1613
78,core,1616
78,core,1615
78,core,1605
78,core,1614
78,core,1616
78,core,1626
78,core,1611
78,core,1609
78,core,1603
78,core,1608
78,core,1614
78,core,1626
78,core,1613
78,core,1609
78,core,1614
78,core,1613
78,core,1621
117,core,1608
117,core,1618
117,core,1616
117,core,1629
117,core,1616
117,core,1613
117,core,1620
117,core,1609
117,core,1633
117,core,1618
117,core,1615
117,core,1617
117,core,1614
117,core,1611
117,core,1613
117,core,1615
117,core,1623
117,core,1610
117,core,1619
117,core,1629
117,core,1606
117,core,1622
117,core,1624
117,core,1620
117,core,1617
117,core,1608
117,core,1612
117,core,1616
117,core,1615
117,core,1624
155,core,1612
155,core,1614
155,core,1620
155,core,1618
155,core,1612
155,core,1617
155,core,1611
155,core,1622
155,core,1614
155,core,1613
155,core,1615
155,core,1619
155,core,1616
155,core,1611
155,core,1617
155,core,1616
155,core,1622
155,core,1615
155,core,1614
155,core,1613
155,core,1614
155,core,1625
155,core,1614
155,core,1610
155,core,1614
155,core,1615
155,core,1620
155,core,1614
155,core,1610
155,core,1616
194,core,1614
194,core,1612
194,core,1616
194,core,1612
194,core,1616
194,core,1615
194,core,1613
194,core,1618
194,core,1613
194,core,1620
194,core,1616
194,core,1611
194,core,1611
194,core,1614
194,core,1609
194,core,1608
194,core,1616
194,core,1614
194,core,1611
194,core,1613
194,core,1611
194,core,1613
194,core,1615
194,core,1615
194,core,1612
194,core,1615
194,core,1610
194,core,1609
194,core,1613
194,core,1610
233,core,1610
233,core,1614
233,core,1613
233,core,1614
233,core,1613
233,core,1609
233,core,1612
233,core,1618
233,core,1612
233,core,1617
233,core,1612
233,core,1614
233,core,1610
233,core,1612
233,core,1615
233,core,1610
233,core,1617
233,core,1615
233,core,1614
233,core,1616
233,core,1618
233,core,1623
233,core,1611
233,core,1612
233,core,1612
233,core,1614
233,core,1612
233,core,1613
233,core,1614
233,core,1611
271,core,1613
271,core,1610
271,core,1612
271,core,1612
271,core,1615
271,core,1612
271,core,1611
271,core,1612
271,core,1613
271,core,1619
271,core,1615
271,core,1610
271,core,1610
271,core,1611
271,core,1610
271,core,1610
271,core,1614
271,core,1611
271,core,1616
271,core,1612
271,core,1612
271,core,1612
271,core,1612
271,core,1612
271,core,1611
271,core,1613
271,core,1610
271,core,1613
271,core,1610
271,core,1620
310,core,1613
310,core,1612
310,core,1611
310,core,1612
310,core,1612
310,core,1614
310,core,1612
310,core,1615
310,core,1614
310,core,1610
310,core,1617
310,core,1610
310,core,1612
310,core,1612
310,core,1610
310,core,1613
310,core,1610
310,core,1612
310,core,1612
310,core,1614
310,core,1612
310,core,1612
310,core,1614
310,core,1609
310,core,1612
310,core,1616
310,core,1611
310,core,1613
310,core,1614
310,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
349,core,1612
1,pan,1950
1,pan,2031
1,pan,2114
1,pan,2018
1,pan,1934
1,pan,2084
1,pan,1998
1,pan,2155
1,pan,2045
1,pan,2059
1,pan,2061
1,pan,1996
1,pan,2106
1,pan,2038
1,pan,2051
1,pan,2099
1,pan,2149
1,pan,2076
1,pan,2060
1,pan,2105
1,pan,2091
1,pan,2145
1,pan,2027
1,pan,1925
1,pan,2088
1,pan,1924
1,pan,2032
1,pan,1930
1,pan,1936
1,pan,1996
39,pan,3419
39,pan,3536
39,pan,3481
39,pan,3262
39,pan,3478
39,pan,3304
39,pan,3397
39,pan,3437
39,pan,3564
39,pan,3391
39,pan,3422
39,pan,3300
39,pan,3377
39,pan,3394
39,pan,3418
39,pan,3477
39,pan,3382
39,pan,3409
39,pan,3495
39,pan,3420
39,pan,3649
39,pan,3330
39,pan,3544
39,pan,3452
39,pan,3440
39,pan,3553
39,pan,3318
39,pan,3438
39,pan,3456
39,pan,3475
78,pan,3639
78,pan,3615
78,pan,3615
78,pan,3678
78,pan,3695
78,pan,3694
78,pan,3675
78,pan,3679
78,pan,3568
78,pan,3662
78,pan,3813
78,pan,3706
78,pan,3789
78,pan,3673
78,pan,3702
78,pan,3786
78,pan,3656
78,pan,3626
78,pan,3643
78,pan,3854
78,pan,3722
78,pan,3643
78,pan,3761
78,pan,3541
78,pan,3528
78,pan,3790
78,pan,3708
78,pan,3633
78,pan,3719
78,pan,3697
117,pan,3959
117,pan,3742
117,pan,3851
117,pan,3830
117,pan,3849
117,pan,3853
117,pan,3835
117,pan,3800
117,pan,3796
117,pan,3739
117,pan,3824
117,pan,3903
117,pan,3871
117,pan,3890
117,pan,3821
117,pan,3893
117,pan,3742
117,pan,3840
117,pan,3903
117,pan,3870
117,pan,3919
117,pan,3799
117,pan,3950
117,pan,3830
117,pan,3818
117,pan,3809
117,pan,3889
117,pan,3764
117,pan,3825
117,pan,3646
155,pan,3874
155,pan,3888
155,pan,3934
155,pan,3806
155,pan,3886
155,pan,3857
155,pan,3985
155,pan,3944
155,pan,3980
155,pan,3966
155,pan,4027
155,pan,3934
155,pan,3923
155,pan,3913
155,pan,3968
155,pan,3982
155,pan,3972
155,pan,3940
155,pan,4028
155,pan,3912
155,pan,3926
155,pan,3997
155,pan,3985
155,pan,4009
155,pan,3852
155,pan,3978
155,pan,3891
155,pan,3951
155,pan,4090
155,pan,4012
194,pan,4073
194,pan,4033
194,pan,4103
194,pan,4064
194,pan,4111
194,pan,4097
194,pan,4155
194,pan,4058
194,pan,4082
194,pan,4128
194,pan,4057
194,pan,4095
194,pan,4130
194,pan,4084
194,pan,4155
194,pan,4063
194,pan,4043
194,pan,4080
194,pan,4065
194,pan,4148
194,pan,4081
194,pan,4136
194,pan,4170
194,pan,3974
194,pan,4135
194,pan,4028
194,pan,4080
194,pan,4101
194,pan,4128
194,pan,4097
233,pan,4085
233,pan,4180
233,pan,4264
233,pan,4159
233,pan,4202
233,pan,4132
233,pan,4265
233,pan,4126
233,pan,4194
233,pan,4283
233,pan,4145
233,pan,4089
233,pan,4258
233,pan,4214
233,pan,4219
233,pan,4195
233,pan,4203
233,pan,4223
233,pan,4246
233,pan,4197
233,pan,4193
233,pan,4129
233,pan,4190
233,pan,4107
233,pan,4172
233,pan,4110
233,pan,4106
233,pan,4142
233,pan,4258
233,pan,4193
271,pan,4240
271,pan,4314
271,pan,4250
271,pan,4261
271,pan,4219
271,pan,4259
271,pan,4103
271,pan,4216
271,pan,4322
271,pan,4192
271,pan,4317
271,pan,4254
271,pan,4265
271,pan,4299
271,pan,4297
271,pan,4303
271,pan,4317
271,pan,4300
271,pan,4225
271,pan,4327
271,pan,4206
271,pan,4298
271,pan,4311
271,pan,4281
271,pan,4122
271,pan,4307
271,pan,4273
271,pan,4300
271,pan,4278
271,pan,4210
310,pan,4324
310,pan,4371
310,pan,4354
310,pan,4260
310,pan,4345
310,pan,4368
310,pan,4362
310,pan,4367
310,pan,4349
310,pan,4354
310,pan,4334
310,pan,4350
310,pan,4362
310,pan,4364
310,pan,4334
310,pan,4339
310,pan,4373
310,pan,4372
310,pan,4337
310,pan,4346
310,pan,4372
310,pan,4342
310,pan,4374
310,pan,4383
310,pan,4299
310,pan,4358
310,pan,4310
310,pan,4342
310,pan,4351
310,pan,4359
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
349,pan,4406
