Genes,Strains,Type,Dataset,Method
1989,1,core,Maela,panX
2116,1,core,Maela,panX
2118,1,core,Maela,panX
2039,1,core,Maela,panX
1906,1,core,Maela,panX
2123,1,core,Maela,panX
1967,1,core,Maela,panX
2051,1,core,Maela,panX
2102,1,core,Maela,panX
2110,1,core,Maela,panX
1918,1,core,Maela,panX
2123,1,core,Maela,panX
1924,1,core,Maela,panX
2051,1,core,Maela,panX
1944,1,core,Maela,panX
1932,1,core,Maela,panX
2084,1,core,Maela,panX
2012,1,core,Maela,panX
1926,1,core,Maela,panX
2065,1,core,Maela,panX
2007,1,core,Maela,panX
2015,1,core,Maela,panX
1903,1,core,Maela,panX
1990,1,core,Maela,panX
1924,1,core,Maela,panX
2125,1,core,Maela,panX
2060,1,core,Maela,panX
1962,1,core,Maela,panX
1920,1,core,Maela,panX
2012,1,core,Maela,panX
1557,39,core,Maela,panX
1580,39,core,Maela,panX
1554,39,core,Maela,panX
1538,39,core,Maela,panX
1540,39,core,Maela,panX
1519,39,core,Maela,panX
1563,39,core,Maela,panX
1575,39,core,Maela,panX
1565,39,core,Maela,panX
1523,39,core,Maela,panX
1554,39,core,Maela,panX
1569,39,core,Maela,panX
1543,39,core,Maela,panX
1597,39,core,Maela,panX
1566,39,core,Maela,panX
1516,39,core,Maela,panX
1508,39,core,Maela,panX
1559,39,core,Maela,panX
1563,39,core,Maela,panX
1568,39,core,Maela,panX
1555,39,core,Maela,panX
1551,39,core,Maela,panX
1552,39,core,Maela,panX
1569,39,core,Maela,panX
1570,39,core,Maela,panX
1548,39,core,Maela,panX
1554,39,core,Maela,panX
1532,39,core,Maela,panX
1527,39,core,Maela,panX
1593,39,core,Maela,panX
1578,77,core,Maela,panX
1563,77,core,Maela,panX
1543,77,core,Maela,panX
1573,77,core,Maela,panX
1585,77,core,Maela,panX
1566,77,core,Maela,panX
1577,77,core,Maela,panX
1566,77,core,Maela,panX
1572,77,core,Maela,panX
1576,77,core,Maela,panX
1570,77,core,Maela,panX
1554,77,core,Maela,panX
1582,77,core,Maela,panX
1550,77,core,Maela,panX
1580,77,core,Maela,panX
1567,77,core,Maela,panX
1571,77,core,Maela,panX
1581,77,core,Maela,panX
1563,77,core,Maela,panX
1544,77,core,Maela,panX
1567,77,core,Maela,panX
1570,77,core,Maela,panX
1555,77,core,Maela,panX
1567,77,core,Maela,panX
1572,77,core,Maela,panX
1575,77,core,Maela,panX
1566,77,core,Maela,panX
1545,77,core,Maela,panX
1564,77,core,Maela,panX
1569,77,core,Maela,panX
1582,116,core,Maela,panX
1573,116,core,Maela,panX
1574,116,core,Maela,panX
1569,116,core,Maela,panX
1570,116,core,Maela,panX
1568,116,core,Maela,panX
1571,116,core,Maela,panX
1565,116,core,Maela,panX
1576,116,core,Maela,panX
1569,116,core,Maela,panX
1575,116,core,Maela,panX
1579,116,core,Maela,panX
1557,116,core,Maela,panX
1580,116,core,Maela,panX
1579,116,core,Maela,panX
1583,116,core,Maela,panX
1564,116,core,Maela,panX
1576,116,core,Maela,panX
1566,116,core,Maela,panX
1563,116,core,Maela,panX
1575,116,core,Maela,panX
1566,116,core,Maela,panX
1568,116,core,Maela,panX
1573,116,core,Maela,panX
1568,116,core,Maela,panX
1571,116,core,Maela,panX
1577,116,core,Maela,panX
1583,116,core,Maela,panX
1578,116,core,Maela,panX
1577,116,core,Maela,panX
1572,154,core,Maela,panX
1578,154,core,Maela,panX
1573,154,core,Maela,panX
1578,154,core,Maela,panX
1570,154,core,Maela,panX
1565,154,core,Maela,panX
1572,154,core,Maela,panX
1576,154,core,Maela,panX
1569,154,core,Maela,panX
1567,154,core,Maela,panX
1576,154,core,Maela,panX
1569,154,core,Maela,panX
1573,154,core,Maela,panX
1569,154,core,Maela,panX
1577,154,core,Maela,panX
1574,154,core,Maela,panX
1573,154,core,Maela,panX
1580,154,core,Maela,panX
1570,154,core,Maela,panX
1559,154,core,Maela,panX
1568,154,core,Maela,panX
