Strains,Type,Genes
1,core,1907
1,core,1881
1,core,1855
1,core,1978
1,core,1911
1,core,1894
1,core,1907
1,core,2002
1,core,1986
1,core,1960
1,core,1858
1,core,1904
1,core,1873
1,core,1953
1,core,1894
1,core,1932
1,core,1968
1,core,1914
1,core,1882
1,core,2007
1,core,1880
1,core,1856
1,core,1989
1,core,1986
1,core,1891
1,core,1922
1,core,1973
1,core,1921
1,core,1898
1,core,1863
69,core,1598
69,core,1603
69,core,1595
69,core,1594
69,core,1594
69,core,1588
69,core,1581
69,core,1594
69,core,1605
69,core,1588
69,core,1587
69,core,1604
69,core,1552
69,core,1606
69,core,1588
69,core,1603
69,core,1602
69,core,1587
69,core,1588
69,core,1596
69,core,1589
69,core,1594
69,core,1600
69,core,1610
69,core,1589
69,core,1611
69,core,1594
69,core,1593
69,core,1601
69,core,1591
137,core,1589
137,core,1594
137,core,1593
137,core,1593
137,core,1593
137,core,1594
137,core,1592
137,core,1596
137,core,1599
137,core,1597
137,core,1600
137,core,1588
137,core,1597
137,core,1595
137,core,1597
137,core,1596
137,core,1588
137,core,1591
137,core,1591
137,core,1590
137,core,1592
137,core,1595
137,core,1583
137,core,1587
137,core,1594
137,core,1586
137,core,1590
137,core,1598
137,core,1592
137,core,1595
205,core,1592
205,core,1601
205,core,1599
205,core,1596
205,core,1600
205,core,1591
205,core,1600
205,core,1596
205,core,1597
205,core,1599
205,core,1596
205,core,1591
205,core,1594
205,core,1594
205,core,1596
205,core,1598
205,core,1600
205,core,1600
205,core,1594
205,core,1594
205,core,1599
205,core,1601
205,core,1599
205,core,1598
205,core,1599
205,core,1593
205,core,1602
205,core,1596
205,core,1598
205,core,1591
273,core,1590
273,core,1593
273,core,1593
273,core,1596
273,core,1592
273,core,1595
273,core,1597
273,core,1598
273,core,1597
273,core,1597
273,core,1596
273,core,1595
273,core,1595
273,core,1595
273,core,1594
273,core,1599
273,core,1596
273,core,1599
273,core,1597
273,core,1597
273,core,1596
273,core,1599
273,core,1593
273,core,1596
273,core,1594
273,core,1595
273,core,1590
273,core,1594
273,core,1592
273,core,1596
342,core,1595
342,core,1594
342,core,1598
342,core,1593
342,core,1596
342,core,1602
342,core,1601
342,core,1596
342,core,1597
342,core,1593
342,core,1596
342,core,1597
342,core,1597
342,core,1598
342,core,1599
342,core,1594
342,core,1598
342,core,1595
342,core,1597
342,core,1598
342,core,1594
342,core,1598
342,core,1600
342,core,1595
342,core,1598
342,core,1599
342,core,1595
342,core,1598
342,core,1596
342,core,1598
410,core,1596
410,core,1597
410,core,1594
410,core,1595
410,core,1598
410,core,1593
410,core,1594
410,core,1599
410,core,1594
410,core,1597
410,core,1592
410,core,1593
410,core,1598
410,core,1597
410,core,1595
410,core,1599
410,core,1597
410,core,1597
410,core,1595
410,core,1599
410,core,1593
410,core,1597
410,core,1596
410,core,1598
410,core,1596
410,core,1597
410,core,1596
410,core,1594
410,core,1596
410,core,1596
478,core,1597
478,core,1597
478,core,1595
478,core,1595
478,core,1599
478,core,1596
478,core,1596
478,core,1596
478,core,1595
478,core,1595
478,core,1596
478,core,1595
478,core,1595
478,core,1595
478,core,1596
478,core,1597
478,core,1595
478,core,1595
478,core,1596
478,core,1596
478,core,1594
478,core,1597
478,core,1598
478,core,1596
478,core,1598
478,core,1596
478,core,1598
478,core,1598
478,core,1596
478,core,1597
546,core,1596
546,core,1596
546,core,1597
546,core,1598
546,core,1595
546,core,1594
546,core,1595
546,core,1598
546,core,1596
546,core,1597
546,core,1596
546,core,1595
546,core,1597
546,core,1598
546,core,1595
546,core,1597
546,core,1598
546,core,1597
546,core,1598
546,core,1596
546,core,1598
546,core,1596
546,core,1598
546,core,1597
546,core,1598
546,core,1597
546,core,1598
546,core,1598
546,core,1596
546,core,1596
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
615,core,1597
1,pan,1907
1,pan,1881
1,pan,1855
1,pan,1978
1,pan,1911
1,pan,1894
1,pan,1907
1,pan,2002
1,pan,1986
1,pan,1960
1,pan,1858
1,pan,1904
1,pan,1873
1,pan,1953
1,pan,1894
1,pan,1932
1,pan,1968
1,pan,1914
1,pan,1882
1,pan,2007
1,pan,1880
1,pan,1856
1,pan,1989
1,pan,1986
1,pan,1891
1,pan,1922
1,pan,1973
1,pan,1921
1,pan,1898
1,pan,1863
69,pan,3478
69,pan,3304
69,pan,3556
69,pan,3403
69,pan,3473
69,pan,3431
69,pan,3526
69,pan,3494
69,pan,3241
69,pan,3243
69,pan,3469
69,pan,3452
69,pan,3505
69,pan,3282
69,pan,3546
69,pan,3134
69,pan,3386
69,pan,3561
69,pan,3441
69,pan,3301
69,pan,3437
69,pan,3412
69,pan,3497
69,pan,3278
69,pan,3480
69,pan,3455
69,pan,3473
69,pan,3516
69,pan,3494
69,pan,3423
137,pan,3788
137,pan,3606
137,pan,3800
137,pan,3780
137,pan,3632
137,pan,3777
137,pan,3819
137,pan,3640
137,pan,3634
137,pan,3646
137,pan,3619
137,pan,3663
137,pan,3642
137,pan,3659
137,pan,3637
137,pan,3714
137,pan,3773
137,pan,3698
137,pan,3749
137,pan,3517
137,pan,3774
137,pan,3720
137,pan,3746
137,pan,3740
137,pan,3666
137,pan,3740
137,pan,3709
137,pan,3766
137,pan,3753
137,pan,3718
205,pan,3872
205,pan,3878
205,pan,3835
205,pan,3825
205,pan,3867
205,pan,3832
205,pan,3845
205,pan,3843
205,pan,3919
205,pan,3897
205,pan,3835
205,pan,3965
205,pan,3944
205,pan,3800
205,pan,3865
205,pan,3787
205,pan,3812
205,pan,3818
205,pan,3864
205,pan,3838
205,pan,3859
205,pan,3891
205,pan,3844
205,pan,3754
205,pan,3823
205,pan,3854
205,pan,3652
205,pan,3795
205,pan,3808
205,pan,3927
273,pan,3996
273,pan,3926
273,pan,3926
273,pan,3971
273,pan,3997
273,pan,3933
273,pan,3880
273,pan,3947
273,pan,3993
273,pan,3936
273,pan,3977
273,pan,4008
273,pan,3866
273,pan,3940
273,pan,3945
273,pan,3906
273,pan,3969
273,pan,3878
273,pan,3921
273,pan,3939
273,pan,3934
273,pan,3974
273,pan,3928
273,pan,3996
273,pan,3927
273,pan,3935
273,pan,3908
273,pan,4039
273,pan,3934
273,pan,3953
342,pan,4055
342,pan,4029
342,pan,4069
342,pan,4013
342,pan,4057
342,pan,4008
342,pan,4070
342,pan,4040
342,pan,4004
342,pan,3982
342,pan,4026
342,pan,4000
342,pan,3992
342,pan,4023
342,pan,4018
342,pan,3996
342,pan,4012
342,pan,4033
342,pan,3952
342,pan,4015
342,pan,4006
342,pan,3933
342,pan,4012
342,pan,4010
342,pan,4018
342,pan,4018
342,pan,4005
342,pan,4027
342,pan,4081
342,pan,3994
410,pan,4118
410,pan,4092
410,pan,4085
410,pan,4086
410,pan,4094
410,pan,4109
410,pan,4047
410,pan,4094
410,pan,4069
410,pan,4101
410,pan,4065
410,pan,4075
410,pan,4076
410,pan,4102
410,pan,4089
410,pan,4111
410,pan,4120
410,pan,4075
410,pan,4011
410,pan,4084
410,pan,4103
410,pan,4057
410,pan,4117
410,pan,4125
410,pan,4128
410,pan,4091
410,pan,4050
410,pan,4092
410,pan,4091
410,pan,4101
478,pan,4150
478,pan,4148
478,pan,4132
478,pan,4166
478,pan,4124
478,pan,4148
478,pan,4132
478,pan,4165
478,pan,4150
478,pan,4175
478,pan,4141
478,pan,4118
478,pan,4146
478,pan,4138
478,pan,4122
478,pan,4127
478,pan,4159
478,pan,4099
478,pan,4114
478,pan,4151
478,pan,4128
478,pan,4147
478,pan,4176
478,pan,4117
478,pan,4173
478,pan,4103
478,pan,4159
478,pan,4144
478,pan,4144
478,pan,4167
546,pan,4174
546,pan,4200
546,pan,4170
546,pan,4161
546,pan,4198
546,pan,4188
546,pan,4149
546,pan,4200
546,pan,4196
546,pan,4169
546,pan,4189
546,pan,4170
546,pan,4183
546,pan,4150
546,pan,4170
546,pan,4202
546,pan,4175
546,pan,4180
546,pan,4141
546,pan,4189
546,pan,4178
546,pan,4178
546,pan,4180
546,pan,4185
546,pan,4171
546,pan,4183
546,pan,4160
546,pan,4187
546,pan,4190
546,pan,4179
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
615,pan,4224
