Strains,Type,Genes
1,core,1692
1,core,1852
1,core,1690
1,core,1738
1,core,1775
1,core,1735
1,core,1769
1,core,1745
1,core,1697
1,core,1695
1,core,1778
1,core,1778
1,core,1813
1,core,1872
1,core,1729
1,core,1766
1,core,1748
1,core,1801
1,core,1722
1,core,1814
1,core,1806
1,core,1747
1,core,1806
1,core,1799
1,core,1771
1,core,1752
1,core,1740
1,core,1664
1,core,1775
1,core,1792
39,core,1470
39,core,1458
39,core,1473
39,core,1474
39,core,1483
39,core,1476
39,core,1479
39,core,1473
39,core,1468
39,core,1474
39,core,1471
39,core,1471
39,core,1463
39,core,1485
39,core,1469
39,core,1466
39,core,1481
39,core,1470
39,core,1483
39,core,1470
39,core,1469
39,core,1471
39,core,1467
39,core,1476
39,core,1477
39,core,1467
39,core,1492
39,core,1493
39,core,1466
39,core,1479
78,core,1484
78,core,1466
78,core,1470
78,core,1479
78,core,1467
78,core,1474
78,core,1474
78,core,1479
78,core,1485
78,core,1476
78,core,1467
78,core,1471
78,core,1462
78,core,1479
78,core,1488
78,core,1483
78,core,1470
78,core,1479
78,core,1474
78,core,1473
78,core,1478
78,core,1474
78,core,1466
78,core,1467
78,core,1464
78,core,1480
78,core,1486
78,core,1473
78,core,1463
78,core,1469
117,core,1473
117,core,1471
117,core,1478
117,core,1471
117,core,1476
117,core,1479
117,core,1473
117,core,1468
117,core,1477
117,core,1469
117,core,1470
117,core,1476
117,core,1469
117,core,1470
117,core,1479
117,core,1466
117,core,1463
117,core,1471
117,core,1469
117,core,1469
117,core,1474
117,core,1470
117,core,1474
117,core,1470
117,core,1471
117,core,1476
117,core,1480
117,core,1474
117,core,1472
117,core,1482
155,core,1473
155,core,1468
155,core,1467
155,core,1469
155,core,1470
155,core,1468
155,core,1475
155,core,1472
155,core,1478
155,core,1474
155,core,1475
155,core,1473
155,core,1474
155,core,1485
155,core,1471
155,core,1472
155,core,1469
155,core,1473
155,core,1476
155,core,1466
155,core,1477
155,core,1473
155,core,1475
155,core,1472
155,core,1470
155,core,1472
155,core,1466
155,core,1473
155,core,1468
155,core,1469
194,core,1475
194,core,1478
194,core,1476
194,core,1476
194,core,1473
194,core,1472
194,core,1473
194,core,1469
194,core,1470
194,core,1469
194,core,1480
194,core,1474
194,core,1474
194,core,1475
194,core,1475
194,core,1477
194,core,1472
194,core,1472
194,core,1471
194,core,1473
194,core,1479
194,core,1474
194,core,1478
194,core,1477
194,core,1476
194,core,1472
194,core,1481
194,core,1471
194,core,1475
194,core,1471
233,core,1470
233,core,1474
233,core,1471
233,core,1474
233,core,1471
233,core,1470
233,core,1474
233,core,1469
233,core,1471
233,core,1473
233,core,1470
233,core,1477
233,core,1473
233,core,1470
233,core,1475
233,core,1473
233,core,1482
233,core,1469
233,core,1473
233,core,1471
233,core,1474
233,core,1475
233,core,1474
233,core,1472
233,core,1474
233,core,1474
233,core,1471
233,core,1472
233,core,1472
233,core,1477
271,core,1476
271,core,1473
271,core,1472
271,core,1477
271,core,1477
271,core,1473
271,core,1472
271,core,1475
271,core,1474
271,core,1473
271,core,1472
271,core,1472
271,core,1472
271,core,1476
271,core,1478
271,core,1475
271,core,1474
271,core,1474
271,core,1473
271,core,1475
271,core,1475
271,core,1472
271,core,1474
271,core,1473
271,core,1475
271,core,1473
271,core,1472
271,core,1472
271,core,1471
271,core,1473
310,core,1474
310,core,1472
310,core,1473
310,core,1472
310,core,1475
310,core,1474
310,core,1473
310,core,1475
310,core,1473
310,core,1472
310,core,1475
310,core,1475
310,core,1475
310,core,1474
310,core,1471
310,core,1472
