Strains,Type,Genes
1,core,1876
1,core,1881
1,core,1872
1,core,1816
1,core,1868
1,core,1863
1,core,1837
1,core,1752
1,core,1837
1,core,1822
1,core,1854
1,core,1856
1,core,1832
1,core,1853
1,core,1879
1,core,1856
1,core,1885
1,core,1804
1,core,1853
1,core,1833
1,core,1876
1,core,1786
1,core,1941
1,core,1820
1,core,1850
1,core,1777
1,core,1821
1,core,1855
1,core,1870
1,core,1781
39,core,1561
39,core,1559
39,core,1554
39,core,1575
39,core,1559
39,core,1560
39,core,1566
39,core,1561
39,core,1561
39,core,1567
39,core,1550
39,core,1554
39,core,1572
39,core,1552
39,core,1565
39,core,1554
39,core,1571
39,core,1558
39,core,1569
39,core,1567
39,core,1556
39,core,1558
39,core,1557
39,core,1560
39,core,1549
39,core,1561
39,core,1581
39,core,1559
39,core,1570
39,core,1553
78,core,1571
78,core,1563
78,core,1565
78,core,1562
78,core,1569
78,core,1562
78,core,1564
78,core,1563
78,core,1563
78,core,1570
78,core,1563
78,core,1563
78,core,1567
78,core,1559
78,core,1565
78,core,1566
78,core,1557
78,core,1576
78,core,1569
78,core,1561
78,core,1572
78,core,1558
78,core,1560
78,core,1562
78,core,1568
78,core,1557
78,core,1558
78,core,1557
78,core,1564
78,core,1552
117,core,1561
117,core,1566
117,core,1559
117,core,1562
117,core,1566
117,core,1563
117,core,1559
117,core,1557
117,core,1558
117,core,1566
117,core,1555
117,core,1561
117,core,1569
117,core,1562
117,core,1572
117,core,1562
117,core,1567
117,core,1556
117,core,1568
117,core,1561
117,core,1573
117,core,1558
117,core,1564
117,core,1566
117,core,1569
117,core,1564
117,core,1558
117,core,1557
117,core,1562
117,core,1573
155,core,1569
155,core,1561
155,core,1565
155,core,1575
155,core,1563
155,core,1574
155,core,1562
155,core,1563
155,core,1563
155,core,1562
155,core,1560
155,core,1566
155,core,1559
155,core,1562
155,core,1565
155,core,1561
155,core,1566
155,core,1565
155,core,1573
155,core,1565
155,core,1562
155,core,1567
155,core,1565
155,core,1561
155,core,1556
155,core,1559
155,core,1560
155,core,1566
155,core,1556
155,core,1559
194,core,1558
194,core,1560
194,core,1566
194,core,1561
194,core,1558
194,core,1562
194,core,1563
194,core,1565
194,core,1565
194,core,1564
194,core,1572
194,core,1561
194,core,1555
194,core,1572
194,core,1567
194,core,1565
194,core,1565
194,core,1567
194,core,1563
194,core,1562
194,core,1560
194,core,1560
194,core,1566
194,core,1566
194,core,1569
194,core,1564
194,core,1561
194,core,1563
194,core,1564
194,core,1560
233,core,1561
233,core,1562
233,core,1567
233,core,1563
233,core,1556
233,core,1560
233,core,1564
233,core,1560
233,core,1561
233,core,1566
233,core,1561
233,core,1562
233,core,1565
233,core,1563
233,core,1562
233,core,1562
233,core,1562
233,core,1560
233,core,1565
233,core,1561
233,core,1560
233,core,1558
233,core,1564
233,core,1566
233,core,1564
233,core,1562
233,core,1568
233,core,1566
233,core,1566
233,core,1562
271,core,1562
271,core,1563
271,core,1562
271,core,1562
271,core,1562
271,core,1560
271,core,1561
271,core,1562
271,core,1564
271,core,1565
271,core,1567
271,core,1563
271,core,1560
271,core,1563
271,core,1564
271,core,1562
271,core,1565
271,core,1562
271,core,1561
271,core,1564
271,core,1564
271,core,1567
271,core,1562
271,core,1562
271,core,1561
271,core,1562
271,core,1563
271,core,1563
271,core,1564
271,core,1562
310,core,1563
310,core,1561
310,core,1564
310,core,1561
310,core,1564
310,core,1563
310,core,1561
310,core,1562
310,core,1562
310,core,1558
310,core,1566
310,core,1566
310,core,1564
310,core,1563
310,core,1564
310,core,1562
310,core,1563
310,core,1562
310,core,1563
310,core,1562
310,core,1562
310,core,1562
310,core,1563
310,core,1561
310,core,1562
310,core,1563
310,core,1563
310,core,1566
310,core,1565
310,core,1562
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
349,core,1563
1,pan,1876
1,pan,1881
1,pan,1872
