Strains,Type,Genes
1,core,1748
1,core,1967
1,core,1916
1,core,1910
1,core,1975
1,core,1925
1,core,2063
1,core,1929
1,core,1945
1,core,1874
1,core,1864
1,core,1918
1,core,1864
1,core,1909
1,core,1945
1,core,1925
1,core,2054
1,core,1967
1,core,2000
1,core,1920
1,core,1943
1,core,1864
1,core,2054
1,core,1864
1,core,2003
1,core,1748
1,core,2063
1,core,1909
1,core,1864
1,core,1909
3,core,1675
3,core,1677
3,core,1696
3,core,1637
3,core,1729
3,core,1689
3,core,1675
3,core,1551
3,core,1684
3,core,1634
3,core,1620
3,core,1558
3,core,1683
3,core,1692
3,core,1592
3,core,1587
3,core,1704
3,core,1638
3,core,1705
3,core,1598
3,core,1661
3,core,1698
3,core,1546
3,core,1702
3,core,1648
3,core,1620
3,core,1646
3,core,1695
3,core,1645
3,core,1678
5,core,1598
5,core,1586
5,core,1508
5,core,1627
5,core,1577
5,core,1580
5,core,1596
5,core,1605
5,core,1532
5,core,1585
5,core,1597
5,core,1524
5,core,1603
5,core,1630
5,core,1532
5,core,1600
5,core,1585
5,core,1521
5,core,1517
5,core,1541
5,core,1595
5,core,1471
5,core,1533
5,core,1569
5,core,1570
5,core,1537
5,core,1637
5,core,1630
5,core,1576
5,core,1594
8,core,1536
8,core,1491
8,core,1542
8,core,1471
8,core,1424
8,core,1426
8,core,1384
8,core,1440
8,core,1532
8,core,1532
8,core,1438
8,core,1468
8,core,1549
8,core,1464
8,core,1563
8,core,1439
8,core,1512
8,core,1532
8,core,1456
8,core,1429
8,core,1410
8,core,1486
8,core,1503
8,core,1441
8,core,1497
8,core,1431
8,core,1419
8,core,1436
8,core,1451
8,core,1547
10,core,1431
10,core,1439
10,core,1373
10,core,1361
10,core,1472
10,core,1466
10,core,1372
10,core,1472
10,core,1411
10,core,1464
10,core,1435
10,core,1360
10,core,1394
10,core,1530
10,core,1454
10,core,1507
10,core,1440
10,core,1445
10,core,1366
10,core,1458
10,core,1360
10,core,1476
10,core,1470
10,core,1491
10,core,1435
10,core,1475
10,core,1461
10,core,1395
10,core,1418
10,core,1365
12,core,1386
12,core,1396
12,core,1340
12,core,1350
12,core,1365
12,core,1395
12,core,1387
12,core,1374
12,core,1380
12,core,1441
12,core,1400
12,core,1368
12,core,1382
12,core,1352
12,core,1440
12,core,1370
12,core,1353
12,core,1459
12,core,1370
12,core,1372
12,core,1385
12,core,1474
12,core,1464
12,core,1412
12,core,1373
12,core,1421
12,core,1313
12,core,1376
12,core,1338
12,core,1352
15,core,1366
15,core,1298
15,core,1374
15,core,1314
15,core,1359
15,core,1381
15,core,1343
15,core,1325
15,core,1333
15,core,1300
15,core,1340
15,core,1353
15,core,1355
15,core,1389
15,core,1297
15,core,1371
15,core,1318
15,core,1347
15,core,1404
15,core,1311
15,core,1356
15,core,1377
15,core,1321
15,core,1352
15,core,1315
15,core,1296
15,core,1331
15,core,1351
15,core,1328
15,core,1396
17,core,1297
17,core,1319
17,core,1303
17,core,1313
17,core,1329
17,core,1346
17,core,1349
17,core,1392
17,core,1340
17,core,1293
17,core,1346
17,core,1318
17,core,1332
17,core,1306
17,core,1285
17,core,1333
17,core,1315
17,core,1347
17,core,1328
17,core,1277
17,core,1310
17,core,1301
17,core,1279
17,core,1307
17,core,1335
17,core,1293
17,core,1348
17,core,1347
17,core,1292
17,core,1355
19,core,1275
19,core,1262
19,core,1377
19,core,1308
19,core,1284
19,core,1293
19,core,1265
19,core,1307
19,core,1311
19,core,1304
19,core,1288
19,core,1273
19,core,1331
19,core,1328
19,core,1289
19,core,1284
19,core,1290
19,core,1282
19,core,1306
19,core,1354
19,core,1286
19,core,1279
19,core,1305
19,core,1263
19,core,1327
19,core,1340
19,core,1278
19,core,1295
19,core,1285
19,core,1283
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
22,core,1494
1,pan,1748
1,pan,1967
1,pan,1916
1,pan,1910
1,pan,1975
1,pan,1925
1,pan,2063
1,pan,1929
1,pan,1945
1,pan,1874
1,pan,1864
1,pan,1918
1,pan,1864
1,pan,1909
1,pan,1945
1,pan,1925
1,pan,2054
1,pan,1967
1,pan,2000
1,pan,1920
1,pan,1943
1,pan,1864
1,pan,2054
1,pan,1864
1,pan,2003
1,pan,1748
1,pan,2063
1,pan,1909
1,pan,1864
1,pan,1909
3,pan,2294
3,pan,2401
3,pan,2321
3,pan,2448
3,pan,2350
3,pan,2252
3,pan,2241
3,pan,2236
3,pan,2368
3,pan,2320
3,pan,2368
3,pan,2257
3,pan,2289
3,pan,2369
3,pan,2368
3,pan,2246
3,pan,2234
3,pan,2326
3,pan,2306
3,pan,2352
3,pan,2444
3,pan,2331
3,pan,2190
3,pan,2236
3,pan,2350
3,pan,2368
3,pan,2369
3,pan,2290
3,pan,2278
3,pan,2227
5,pan,2571
5,pan,2360
5,pan,2596
5,pan,2443
5,pan,2607
5,pan,2365
5,pan,2424
5,pan,2516
5,pan,2418
5,pan,2567
5,pan,2420
5,pan,2434
5,pan,2467
5,pan,2469
5,pan,2552
5,pan,2321
5,pan,2548
5,pan,2462
5,pan,2477
5,pan,2496
5,pan,2409
5,pan,2393
5,pan,2369
5,pan,2508
5,pan,2538
5,pan,2578
5,pan,2356
5,pan,2260
5,pan,2470
5,pan,2497
8,pan,2729
8,pan,2613
8,pan,2660
8,pan,2650
8,pan,2714
8,pan,2746
8,pan,2817
8,pan,2670
8,pan,2549
8,pan,2597
8,pan,2715
8,pan,2657
8,pan,2658
8,pan,2786
8,pan,2633
8,pan,2647
8,pan,2804
8,pan,2481
8,pan,2640
8,pan,2786
8,pan,2557
8,pan,2592
8,pan,2691
8,pan,2626
8,pan,2769
8,pan,2673
8,pan,2558
8,pan,2590
8,pan,2593
8,pan,2620
10,pan,2792
10,pan,2630
10,pan,2834
10,pan,2797
10,pan,2739
10,pan,2655
10,pan,2730
10,pan,2733
10,pan,2814
10,pan,2747
10,pan,2734
10,pan,2730
10,pan,2789
10,pan,2657
10,pan,2635
10,pan,2675
10,pan,2815
10,pan,2856
10,pan,2799
10,pan,2617
10,pan,2732
10,pan,2724
10,pan,2740
10,pan,2855
10,pan,2659
10,pan,2774
10,pan,2764
10,pan,2837
10,pan,2724
10,pan,2841
12,pan,2817
12,pan,2840
12,pan,2791
12,pan,2752
12,pan,2773
12,pan,2744
12,pan,2907
12,pan,2881
12,pan,2928
12,pan,2767
12,pan,2710
12,pan,2965
12,pan,2823
12,pan,2813
12,pan,2838
12,pan,2880
12,pan,2925
12,pan,2812
12,pan,2797
12,pan,2868
12,pan,2691
12,pan,2713
12,pan,2790
12,pan,2710
12,pan,2928
12,pan,2820
12,pan,2953
12,pan,2737
12,pan,2810
12,pan,2953
15,pan,2824
15,pan,2896
15,pan,2869
15,pan,2856
15,pan,2997
15,pan,3016
15,pan,2975
15,pan,2958
15,pan,2966
15,pan,2968
15,pan,2938
15,pan,2884
15,pan,2945
15,pan,2819
15,pan,2990
15,pan,2939
15,pan,3015
15,pan,3023
15,pan,2844
15,pan,2905
15,pan,2929
15,pan,2878
15,pan,2991
15,pan,3016
15,pan,2957
15,pan,2924
15,pan,2975
15,pan,2988
15,pan,2928
15,pan,2889
17,pan,3046
17,pan,3000
17,pan,2843
17,pan,2980
17,pan,3025
17,pan,3032
17,pan,2803
17,pan,2978
17,pan,2870
17,pan,2955
17,pan,2977
17,pan,3058
17,pan,2969
17,pan,2978
17,pan,3025
17,pan,2906
17,pan,2970
17,pan,2808
17,pan,2967
17,pan,3066
17,pan,3040
17,pan,3018
17,pan,3055
17,pan,2984
17,pan,3028
17,pan,3039
17,pan,3024
17,pan,2849
17,pan,3001
17,pan,2967
19,pan,3059
19,pan,3079
19,pan,2997
19,pan,3071
19,pan,2993
19,pan,3077
19,pan,3100
19,pan,2984
19,pan,3033
19,pan,2989
19,pan,3025
19,pan,3098
19,pan,2935
19,pan,2946
19,pan,2959
19,pan,3068
19,pan,3094
19,pan,3030
19,pan,3017
19,pan,2990
19,pan,2959
19,pan,2968
19,pan,3055
19,pan,3098
19,pan,2989
19,pan,3016
19,pan,3024
19,pan,3099
19,pan,3081
19,pan,3049
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
22,pan,3108
