Genes,Strains,Type,Dataset,Method
2005,1,core,RefSeq,CD-HIT
2035,1,core,RefSeq,CD-HIT
2005,1,core,RefSeq,CD-HIT
2066,1,core,RefSeq,CD-HIT
2121,1,core,RefSeq,CD-HIT
2090,1,core,RefSeq,CD-HIT
2016,1,core,RefSeq,CD-HIT
1989,1,core,RefSeq,CD-HIT
2152,1,core,RefSeq,CD-HIT
2002,1,core,RefSeq,CD-HIT
2152,1,core,RefSeq,CD-HIT
2040,1,core,RefSeq,CD-HIT
2009,1,core,RefSeq,CD-HIT
2040,1,core,RefSeq,CD-HIT
2040,1,core,RefSeq,CD-HIT
1785,1,core,RefSeq,CD-HIT
1943,1,core,RefSeq,CD-HIT
1943,1,core,RefSeq,CD-HIT
2090,1,core,RefSeq,CD-HIT
2090,1,core,RefSeq,CD-HIT
2002,1,core,RefSeq,CD-HIT
2139,1,core,RefSeq,CD-HIT
2132,1,core,RefSeq,CD-HIT
1989,1,core,RefSeq,CD-HIT
1991,1,core,RefSeq,CD-HIT
1989,1,core,RefSeq,CD-HIT
2035,1,core,RefSeq,CD-HIT
2139,1,core,RefSeq,CD-HIT
1785,1,core,RefSeq,CD-HIT
1943,1,core,RefSeq,CD-HIT
1535,3,core,RefSeq,CD-HIT
1668,3,core,RefSeq,CD-HIT
1690,3,core,RefSeq,CD-HIT
1698,3,core,RefSeq,CD-HIT
1690,3,core,RefSeq,CD-HIT
1703,3,core,RefSeq,CD-HIT
1577,3,core,RefSeq,CD-HIT
1648,3,core,RefSeq,CD-HIT
1615,3,core,RefSeq,CD-HIT
1536,3,core,RefSeq,CD-HIT
1612,3,core,RefSeq,CD-HIT
1624,3,core,RefSeq,CD-HIT
1643,3,core,RefSeq,CD-HIT
1590,3,core,RefSeq,CD-HIT
1696,3,core,RefSeq,CD-HIT
1608,3,core,RefSeq,CD-HIT
1703,3,core,RefSeq,CD-HIT
1561,3,core,RefSeq,CD-HIT
1691,3,core,RefSeq,CD-HIT
1583,3,core,RefSeq,CD-HIT
1704,3,core,RefSeq,CD-HIT
1657,3,core,RefSeq,CD-HIT
1701,3,core,RefSeq,CD-HIT
1611,3,core,RefSeq,CD-HIT
1737,3,core,RefSeq,CD-HIT
1612,3,core,RefSeq,CD-HIT
1679,3,core,RefSeq,CD-HIT
1626,3,core,RefSeq,CD-HIT
1676,3,core,RefSeq,CD-HIT
1538,3,core,RefSeq,CD-HIT
1505,5,core,RefSeq,CD-HIT
1499,5,core,RefSeq,CD-HIT
1490,5,core,RefSeq,CD-HIT
1568,5,core,RefSeq,CD-HIT
1544,5,core,RefSeq,CD-HIT
1548,5,core,RefSeq,CD-HIT
1602,5,core,RefSeq,CD-HIT
1565,5,core,RefSeq,CD-HIT
1457,5,core,RefSeq,CD-HIT
1548,5,core,RefSeq,CD-HIT
1470,5,core,RefSeq,CD-HIT
1600,5,core,RefSeq,CD-HIT
1577,5,core,RefSeq,CD-HIT
1572,5,core,RefSeq,CD-HIT
1511,5,core,RefSeq,CD-HIT
1417,5,core,RefSeq,CD-HIT
1544,5,core,RefSeq,CD-HIT
1529,5,core,RefSeq,CD-HIT
1546,5,core,RefSeq,CD-HIT
1481,5,core,RefSeq,CD-HIT
1631,5,core,RefSeq,CD-HIT
1561,5,core,RefSeq,CD-HIT
1495,5,core,RefSeq,CD-HIT
1478,5,core,RefSeq,CD-HIT
1422,5,core,RefSeq,CD-HIT
1519,5,core,RefSeq,CD-HIT
1448,5,core,RefSeq,CD-HIT
1543,5,core,RefSeq,CD-HIT
1414,5,core,RefSeq,CD-HIT
1503,5,core,RefSeq,CD-HIT
1491,8,core,RefSeq,CD-HIT
1392,8,core,RefSeq,CD-HIT
1459,8,core,RefSeq,CD-HIT
1382,8,core,RefSeq,CD-HIT
1408,8,core,RefSeq,CD-HIT
1448,8,core,RefSeq,CD-HIT
1462,8,core,RefSeq,CD-HIT
1523,8,core,RefSeq,CD-HIT
1460,8,core,RefSeq,CD-HIT
1472,8,core,RefSeq,CD-HIT
1440,8,core,RefSeq,CD-HIT
1483,8,core,RefSeq,CD-HIT
1451,8,core,RefSeq,CD-HIT
1403,8,core,RefSeq,CD-HIT
1406,8,core,RefSeq,CD-HIT
1524,8,core,RefSeq,CD-HIT
1481,8,core,RefSeq,CD-HIT
1441,8,core,RefSeq,CD-HIT
1478,8,core,RefSeq,CD-HIT
1465,8,core,RefSeq,CD-HIT
1508,8,core,RefSeq,CD-HIT
1439,8,core,RefSeq,CD-HIT
1414,8,core,RefSeq,CD-HIT
1436,8,core,RefSeq,CD-HIT
1443,8,core,RefSeq,CD-HIT
1548,8,core,RefSeq,CD-HIT
1458,8,core,RefSeq,CD-HIT
1402,8,core,RefSeq,CD-HIT
1401,8,core,RefSeq,CD-HIT
1434,8,core,RefSeq,CD-HIT
1376,10,core,RefSeq,CD-HIT
1353,10,core,RefSeq,CD-HIT
1345,10,core,RefSeq,CD-HIT
1424,10,core,RefSeq,CD-HIT
1370,10,core,RefSeq,CD-HIT
1392,10,core,RefSeq,CD-HIT
1367,10,core,RefSeq,CD-HIT
1385,10,core,RefSeq,CD-HIT
1478,10,core,RefSeq,CD-HIT
1385,10,core,RefSeq,CD-HIT
1453,10,core,RefSeq,CD-HIT
1386,10,core,RefSeq,CD-HIT
1327,10,core,RefSeq,CD-HIT
1445,10,core,RefSeq,CD-HIT
1440,10,core,RefSeq,CD-HIT
1329,10,core,RefSeq,CD-HIT
1377,10,core,RefSeq,CD-HIT
1418,10,core,RefSeq,CD-HIT
1366,10,core,RefSeq,CD-HIT
1405,10,core,RefSeq,CD-HIT
1363,10,core,RefSeq,CD-HIT
1465,10,core,RefSeq,CD-HIT
1447,10,core,RefSeq,CD-HIT
1352,10,core,RefSeq,CD-HIT
1335,10,core,RefSeq,CD-HIT
1406,10,core,RefSeq,CD-HIT
1393,10,core,RefSeq,CD-HIT
1414,10,core,RefSeq,CD-HIT
1386,10,core,RefSeq,CD-HIT
1387,10,core,RefSeq,CD-HIT
1291,12,core,RefSeq,CD-HIT
1314,12,core,RefSeq,CD-HIT
1400,12,core,RefSeq,CD-HIT
1288,12,core,RefSeq,CD-HIT
1386,12,core,RefSeq,CD-HIT
1338,12,core,RefSeq,CD-HIT
1323,12,core,RefSeq,CD-HIT
1401,12,core,RefSeq,CD-HIT
1322,12,core,RefSeq,CD-HIT
1311,12,core,RefSeq,CD-HIT
1385,12,core,RefSeq,CD-HIT
1367,12,core,RefSeq,CD-HIT
1380,12,core,RefSeq,CD-HIT
1350,12,core,RefSeq,CD-HIT
1369,12,core,RefSeq,CD-HIT
1359,12,core,RefSeq,CD-HIT
1355,12,core,RefSeq,CD-HIT
1396,12,core,RefSeq,CD-HIT
1388,12,core,RefSeq,CD-HIT
1349,12,core,RefSeq,CD-HIT
1403,12,core,RefSeq,CD-HIT
1319,12,core,RefSeq,CD-HIT
1332,12,core,RefSeq,CD-HIT
1365,12,core,RefSeq,CD-HIT
1334,12,core,RefSeq,CD-HIT
1387,12,core,RefSeq,CD-HIT
1320,12,core,RefSeq,CD-HIT
1305,12,core,RefSeq,CD-HIT
1354,12,core,RefSeq,CD-HIT
1397,12,core,RefSeq,CD-HIT
1338,15,core,RefSeq,CD-HIT
1312,15,core,RefSeq,CD-HIT
1319,15,core,RefSeq,CD-HIT
1339,15,core,RefSeq,CD-HIT
1260,15,core,RefSeq,CD-HIT
1323,15,core,RefSeq,CD-HIT
1339,15,core,RefSeq,CD-HIT
1278,15,core,RefSeq,CD-HIT
1267,15,core,RefSeq,CD-HIT
1322,15,core,RefSeq,CD-HIT
1277,15,core,RefSeq,CD-HIT
1330,15,core,RefSeq,CD-HIT
1304,15,core,RefSeq,CD-HIT
1288,15,core,RefSeq,CD-HIT
1338,15,core,RefSeq,CD-HIT
1270,15,core,RefSeq,CD-HIT
1367,15,core,RefSeq,CD-HIT
1312,15,core,RefSeq,CD-HIT
1306,15,core,RefSeq,CD-HIT
1315,15,core,RefSeq,CD-HIT
1304,15,core,RefSeq,CD-HIT
1338,15,core,RefSeq,CD-HIT
1293,15,core,RefSeq,CD-HIT
1306,15,core,RefSeq,CD-HIT
1298,15,core,RefSeq,CD-HIT
1307,15,core,RefSeq,CD-HIT
1287,15,core,RefSeq,CD-HIT
1291,15,core,RefSeq,CD-HIT
1329,15,core,RefSeq,CD-HIT
1290,15,core,RefSeq,CD-HIT
1236,17,core,RefSeq,CD-HIT
1258,17,core,RefSeq,CD-HIT
1315,17,core,RefSeq,CD-HIT
1254,17,core,RefSeq,CD-HIT
1267,17,core,RefSeq,CD-HIT
1279,17,core,RefSeq,CD-HIT
1296,17,core,RefSeq,CD-HIT
1238,17,core,RefSeq,CD-HIT
1288,17,core,RefSeq,CD-HIT
1301,17,core,RefSeq,CD-HIT
1257,17,core,RefSeq,CD-HIT
1284,17,core,RefSeq,CD-HIT
1309,17,core,RefSeq,CD-HIT
1267,17,core,RefSeq,CD-HIT
1373,17,core,RefSeq,CD-HIT
1312,17,core,RefSeq,CD-HIT
1270,17,core,RefSeq,CD-HIT
1294,17,core,RefSeq,CD-HIT
1277,17,core,RefSeq,CD-HIT
1322,17,core,RefSeq,CD-HIT
1313,17,core,RefSeq,CD-HIT
1260,17,core,RefSeq,CD-HIT
1308,17,core,RefSeq,CD-HIT
1254,17,core,RefSeq,CD-HIT
1282,17,core,RefSeq,CD-HIT
1263,17,core,RefSeq,CD-HIT
1351,17,core,RefSeq,CD-HIT
1268,17,core,RefSeq,CD-HIT
1257,17,core,RefSeq,CD-HIT
1250,17,core,RefSeq,CD-HIT
1251,19,core,RefSeq,CD-HIT
1317,19,core,RefSeq,CD-HIT
1328,19,core,RefSeq,CD-HIT
1264,19,core,RefSeq,CD-HIT
1267,19,core,RefSeq,CD-HIT
1232,19,core,RefSeq,CD-HIT
1245,19,core,RefSeq,CD-HIT
1253,19,core,RefSeq,CD-HIT
1259,19,core,RefSeq,CD-HIT
1242,19,core,RefSeq,CD-HIT
1237,19,core,RefSeq,CD-HIT
1260,19,core,RefSeq,CD-HIT
1281,19,core,RefSeq,CD-HIT
1302,19,core,RefSeq,CD-HIT
1257,19,core,RefSeq,CD-HIT
1261,19,core,RefSeq,CD-HIT
1253,19,core,RefSeq,CD-HIT
1253,19,core,RefSeq,CD-HIT
1285,19,core,RefSeq,CD-HIT
1241,19,core,RefSeq,CD-HIT
1242,19,core,RefSeq,CD-HIT
1255,19,core,RefSeq,CD-HIT
1304,19,core,RefSeq,CD-HIT
1233,19,core,RefSeq,CD-HIT
1275,19,core,RefSeq,CD-HIT
1244,19,core,RefSeq,CD-HIT
1267,19,core,RefSeq,CD-HIT
1234,19,core,RefSeq,CD-HIT
1277,19,core,RefSeq,CD-HIT
1244,19,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
1453,22,core,RefSeq,CD-HIT
2005,1,pan,RefSeq,CD-HIT
2035,1,pan,RefSeq,CD-HIT
2005,1,pan,RefSeq,CD-HIT
2066,1,pan,RefSeq,CD-HIT
2121,1,pan,RefSeq,CD-HIT
2090,1,pan,RefSeq,CD-HIT
2016,1,pan,RefSeq,CD-HIT
1989,1,pan,RefSeq,CD-HIT
2152,1,pan,RefSeq,CD-HIT
2002,1,pan,RefSeq,CD-HIT
2152,1,pan,RefSeq,CD-HIT
2040,1,pan,RefSeq,CD-HIT
2009,1,pan,RefSeq,CD-HIT
2040,1,pan,RefSeq,CD-HIT
2040,1,pan,RefSeq,CD-HIT
1785,1,pan,RefSeq,CD-HIT
1943,1,pan,RefSeq,CD-HIT
1943,1,pan,RefSeq,CD-HIT
2090,1,pan,RefSeq,CD-HIT
