Strains,Type,Genes
1,core,1995
1,core,1894
1,core,2033
1,core,1920
1,core,1969
1,core,2071
1,core,1972
1,core,2119
1,core,1923
1,core,2023
1,core,1938
1,core,2012
1,core,1958
1,core,1962
1,core,1978
1,core,1959
1,core,1958
1,core,1971
1,core,1917
1,core,2031
1,core,1964
1,core,2013
1,core,2047
1,core,1940
1,core,2095
1,core,2033
1,core,1918
1,core,1984
1,core,2053
1,core,1962
69,core,1498
69,core,1481
69,core,1475
69,core,1494
69,core,1468
69,core,1481
69,core,1488
69,core,1489
69,core,1470
69,core,1483
69,core,1481
69,core,1484
69,core,1492
69,core,1485
69,core,1483
69,core,1486
69,core,1474
69,core,1488
69,core,1492
69,core,1482
69,core,1472
69,core,1490
69,core,1459
69,core,1487
69,core,1481
69,core,1483
69,core,1491
69,core,1498
69,core,1491
69,core,1485
137,core,1479
137,core,1480
137,core,1493
137,core,1480
137,core,1469
137,core,1476
137,core,1478
137,core,1490
137,core,1477
137,core,1471
137,core,1487
137,core,1477
137,core,1478
137,core,1487
137,core,1483
137,core,1481
137,core,1481
137,core,1479
137,core,1481
137,core,1476
137,core,1473
137,core,1476
137,core,1473
137,core,1486
137,core,1476
137,core,1471
137,core,1475
137,core,1494
137,core,1488
137,core,1498
205,core,1487
205,core,1477
205,core,1484
205,core,1482
205,core,1488
205,core,1485
205,core,1484
205,core,1483
205,core,1481
205,core,1484
205,core,1481
205,core,1491
205,core,1481
205,core,1486
205,core,1486
205,core,1485
205,core,1489
205,core,1482
205,core,1481
205,core,1488
205,core,1484
205,core,1492
205,core,1488
205,core,1485
205,core,1492
205,core,1487
205,core,1485
205,core,1492
205,core,1480
205,core,1493
273,core,1488
273,core,1484
273,core,1486
273,core,1488
273,core,1482
273,core,1482
273,core,1484
273,core,1490
273,core,1480
273,core,1493
273,core,1482
273,core,1487
273,core,1480
273,core,1487
273,core,1481
273,core,1488
273,core,1484
273,core,1482
273,core,1485
273,core,1483
273,core,1487
273,core,1482
273,core,1485
273,core,1490
273,core,1486
273,core,1495
273,core,1493
273,core,1477
273,core,1481
273,core,1490
342,core,1484
342,core,1494
342,core,1491
342,core,1487
342,core,1484
342,core,1488
342,core,1491
342,core,1477
342,core,1487
342,core,1491
342,core,1485
342,core,1482
342,core,1488
342,core,1482
342,core,1479
342,core,1489
342,core,1490
342,core,1490
342,core,1487
342,core,1484
342,core,1484
342,core,1486
342,core,1477
342,core,1488
342,core,1483
342,core,1491
342,core,1490
342,core,1492
342,core,1493
342,core,1486
410,core,1483
410,core,1490
410,core,1485
410,core,1485
410,core,1483
410,core,1484
410,core,1485
410,core,1482
410,core,1487
410,core,1483
410,core,1485
410,core,1485
410,core,1485
410,core,1484
410,core,1485
410,core,1489
410,core,1488
410,core,1490
410,core,1487
410,core,1486
410,core,1488
410,core,1478
410,core,1483
410,core,1481
410,core,1479
410,core,1486
410,core,1488
410,core,1481
410,core,1487
410,core,1486
478,core,1480
478,core,1480
478,core,1484
478,core,1481
478,core,1484
478,core,1485
478,core,1485
478,core,1488
478,core,1485
478,core,1484
478,core,1482
478,core,1488
478,core,1482
478,core,1484
478,core,1488
478,core,1484
478,core,1481
478,core,1478
478,core,1483
478,core,1484
478,core,1480
478,core,1480
478,core,1484
478,core,1482
478,core,1483
478,core,1483
478,core,1486
478,core,1482
478,core,1484
478,core,1482
546,core,1486
546,core,1489
546,core,1486
546,core,1484
546,core,1483
546,core,1489
546,core,1484
546,core,1485
546,core,1486
546,core,1485
546,core,1483
546,core,1483
546,core,1482
546,core,1489
546,core,1482
546,core,1484
546,core,1482
546,core,1487
546,core,1485
546,core,1482
546,core,1484
546,core,1486
546,core,1484
546,core,1486
546,core,1484
546,core,1485
546,core,1486
546,core,1484
546,core,1488
546,core,1487
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
615,core,1483
1,pan,1995
1,pan,1894
1,pan,2033
1,pan,1920
1,pan,1969
1,pan,2071
1,pan,1972
1,pan,2119
1,pan,1923
1,pan,2023
1,pan,1938
1,pan,2012
1,pan,1958
1,pan,1962
1,pan,1978
1,pan,1959
1,pan,1958
1,pan,1971
1,pan,1917
1,pan,2031
1,pan,1964
1,pan,2013
1,pan,2047
1,pan,1940
1,pan,2095
1,pan,2033
1,pan,1918
1,pan,1984
1,pan,2053
1,pan,1962
69,pan,4632
69,pan,4529
69,pan,4701
69,pan,4675
69,pan,4529
69,pan,4589
69,pan,4764
69,pan,4275
69,pan,4724
69,pan,4635
69,pan,4601
69,pan,4594
69,pan,4716
69,pan,4483
69,pan,4642
69,pan,4479
69,pan,4694
69,pan,4510
69,pan,4512
69,pan,4474
69,pan,4700
69,pan,4535
69,pan,4726
69,pan,4754
69,pan,4727
69,pan,4729
69,pan,4545
69,pan,4567
69,pan,4284
69,pan,4597
137,pan,5305
137,pan,5042
137,pan,5206
137,pan,5162
137,pan,5270
137,pan,5172
137,pan,5285
137,pan,5250
137,pan,5269
137,pan,5126
137,pan,5151
137,pan,5194
137,pan,5320
137,pan,5215
137,pan,5010
137,pan,5269
137,pan,5278
137,pan,5303
137,pan,5264
137,pan,5083
137,pan,5278
137,pan,5188
137,pan,5392
137,pan,5234
137,pan,5242
137,pan,5425
137,pan,5413
137,pan,5231
137,pan,5285
137,pan,5256
205,pan,5692
205,pan,5668
205,pan,5476
205,pan,5594
205,pan,5558
205,pan,5572
205,pan,5672
205,pan,5633
205,pan,5697
205,pan,5610
205,pan,5735
205,pan,5473
205,pan,5550
205,pan,5612
205,pan,5747
205,pan,5645
205,pan,5525
205,pan,5710
205,pan,5621
205,pan,5649
205,pan,5589
205,pan,5694
205,pan,5622
205,pan,5577
205,pan,5517
205,pan,5451
205,pan,5523
205,pan,5535
205,pan,5644
205,pan,5683
273,pan,5907
273,pan,5916
273,pan,5938
273,pan,5934
273,pan,6005
273,pan,5888
273,pan,6015
273,pan,6030
273,pan,6020
273,pan,5891
273,pan,5798
273,pan,5841
273,pan,5875
273,pan,5898
273,pan,5909
273,pan,5891
273,pan,5801
273,pan,5824
273,pan,5824
273,pan,5867
273,pan,5865
273,pan,5940
273,pan,5957
273,pan,5937
273,pan,5815
273,pan,5908
273,pan,5927
273,pan,5891
273,pan,5986
273,pan,5945
342,pan,6132
342,pan,5970
342,pan,6128
342,pan,6129
342,pan,6174
342,pan,6191
342,pan,6152
342,pan,6066
342,pan,6100
342,pan,6202
342,pan,6097
342,pan,6100
342,pan,6129
342,pan,6140
342,pan,6180
342,pan,6225
342,pan,6148
342,pan,6077
342,pan,6186
342,pan,6224
342,pan,6161
342,pan,6144
342,pan,6154
342,pan,6215
342,pan,6164
342,pan,6170
342,pan,6217
342,pan,6144
342,pan,6221
342,pan,6230
410,pan,6324
410,pan,6258
410,pan,6380
410,pan,6410
410,pan,6398
410,pan,6449
410,pan,6422
410,pan,6394
410,pan,6322
410,pan,6390
410,pan,6395
410,pan,6397
410,pan,6221
410,pan,6342
410,pan,6320
410,pan,6332
410,pan,6360
410,pan,6312
410,pan,6254
410,pan,6282
410,pan,6368
410,pan,6386
410,pan,6309
410,pan,6358
410,pan,6327
410,pan,6411
410,pan,6308
410,pan,6406
410,pan,6407
410,pan,6331
478,pan,6521
478,pan,6570
478,pan,6515
478,pan,6553
478,pan,6499
478,pan,6532
478,pan,6515
478,pan,6517
478,pan,6469
478,pan,6509
478,pan,6627
478,pan,6540
478,pan,6535
478,pan,6532
478,pan,6538
478,pan,6520
478,pan,6464
478,pan,6541
478,pan,6536
478,pan,6479
478,pan,6554
478,pan,6515
478,pan,6489
478,pan,6593
478,pan,6554
478,pan,6547
478,pan,6440
478,pan,6586
478,pan,6526
478,pan,6546
546,pan,6695
546,pan,6728
546,pan,6673
546,pan,6704
546,pan,6756
546,pan,6657
546,pan,6745
546,pan,6747
546,pan,6700
546,pan,6659
546,pan,6710
546,pan,6717
546,pan,6694
546,pan,6712
546,pan,6684
546,pan,6741
546,pan,6690
546,pan,6739
546,pan,6742
546,pan,6718
546,pan,6686
546,pan,6699
546,pan,6691
546,pan,6711
546,pan,6725
546,pan,6726
546,pan,6721
546,pan,6746
546,pan,6744
546,pan,6684
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
615,pan,6853
