MaxChild,Threshold,Rep,NumCall,Depth,Size
2,0.01,1,6296,10,35
2,0.01,2,5903,7,31
2,0.01,3,5819,8,29
2,0.01,4,6666,10,42
2,0.01,5,5596,8,29
2,0.01,6,6228,10,37
2,0.01,7,5813,9,50
2,0.01,8,5488,6,21
2,0.01,9,6252,8,31
2,0.01,10,5816,7,27
4,0.01,1,4669,5,25
4,0.01,2,4765,5,23
4,0.01,3,5186,5,23
4,0.01,4,5067,7,36
4,0.01,5,4705,6,24
4,0.01,6,4666,4,15
4,0.01,7,4467,6,21
4,0.01,8,5486,6,37
4,0.01,9,5059,4,25
4,0.01,10,4776,5,19
6,0.01,1,4880,4,22
6,0.01,2,4501,6,28
6,0.01,3,4227,4,17
6,0.01,4,4645,7,29
6,0.01,5,4443,5,20
6,0.01,6,5925,4,30
6,0.01,7,4461,5,27
6,0.01,8,4802,5,24
6,0.01,9,5162,6,29
6,0.01,10,5203,5,20
8,0.01,1,4657,6,18
8,0.01,2,4543,6,28
8,0.01,3,4796,7,26
8,0.01,4,4639,5,20
8,0.01,5,4324,4,12
8,0.01,6,4634,4,16
8,0.01,7,4582,6,21
8,0.01,8,4569,5,21
8,0.01,9,5083,5,26
8,0.01,10,4347,4,21
10,0.01,1,4219,7,24
10,0.01,2,4283,4,15
10,0.01,3,4194,5,17
10,0.01,4,4212,6,22
10,0.01,5,4819,6,24
10,0.01,6,4685,5,23
10,0.01,7,5039,5,15
10,0.01,8,4903,5,32
10,0.01,9,5174,4,25
10,0.01,10,4151,4,15
12,0.01,1,4308,6,19
12,0.01,2,4881,6,21
12,0.01,3,4169,4,16
12,0.01,4,4553,4,20
12,0.01,5,5514,6,20
12,0.01,6,6217,5,29
12,0.01,7,4404,4,16
12,0.01,8,4486,6,18
12,0.01,9,4989,5,27
12,0.01,10,4329,4,14
14,0.01,1,4298,4,16
14,0.01,2,4847,5,22
14,0.01,3,4180,6,32
14,0.01,4,4550,5,17
14,0.01,5,4439,4,22
14,0.01,6,4808,5,24
14,0.01,7,5066,6,17
14,0.01,8,4330,4,13
14,0.01,9,4508,6,22
14,0.01,10,4230,5,20
16,0.01,1,4717,4,23
16,0.01,2,4876,7,21
16,0.01,3,5030,4,26
16,0.01,4,5075,6,27
16,0.01,5,4470,4,19
16,0.01,6,4489,6,21
16,0.01,7,4683,5,29
16,0.01,8,5081,5,17
16,0.01,9,4708,6,28
16,0.01,10,4422,4,14
18,0.01,1,4775,6,32
18,0.01,2,4639,6,29
18,0.01,3,4813,6,29
18,0.01,4,4835,6,24
18,0.01,5,5109,7,26
18,0.01,6,4445,5,19
18,0.01,7,4269,5,26
18,0.01,8,4380,6,26
18,0.01,9,4616,4,15
18,0.01,10,4414,4,11
20,0.01,1,5062,5,29
20,0.01,2,4552,4,16
20,0.01,3,4992,5,23
20,0.01,4,4733,6,27
20,0.01,5,4555,6,24
20,0.01,6,4357,4,15
20,0.01,7,4691,5,18
20,0.01,8,4708,6,22
20,0.01,9,4722,5,20
20,0.01,10,4530,4,16
2,0.05,1,5789,8,26
2,0.05,2,6264,7,20
2,0.05,3,5395,7,24
2,0.05,4,5841,7,23
2,0.05,5,6066,8,29
2,0.05,6,7400,10,32
2,0.05,7,5483,6,24
2,0.05,8,5826,7,19
2,0.05,9,5354,8,24
2,0.05,10,5958,7,23
4,0.05,1,4100,5,13
4,0.05,2,4676,4,18
4,0.05,3,4854,6,19
4,0.05,4,4419,4,14
4,0.05,5,4986,4,20
4,0.05,6,4470,4,17
4,0.05,7,4234,3,14
4,0.05,8,5002,4,20
4,0.05,9,4164,4,16
4,0.05,10,4526,4,22
6,0.05,1,4245,3,11
6,0.05,2,3866,4,14
6,0.05,3,4145,4,12
6,0.05,4,4435,4,15
6,0.05,5,4312,3,14
6,0.05,6,4019,5,14
6,0.05,7,3906,5,12
6,0.05,8,4385,4,14
6,0.05,9,4466,5,11
6,0.05,10,4020,5,14
8,0.05,1,4609,5,12
8,0.05,2,5024,6,16
8,0.05,3,4967,5,21
8,0.05,4,4045,4,13
8,0.05,5,4527,4,13
8,0.05,6,4491,4,17
8,0.05,7,3983,4,16
8,0.05,8,4410,5,23
8,0.05,9,4580,5,15
8,0.05,10,4180,4,13
10,0.05,1,4549,4,14
10,0.05,2,4170,4,14
10,0.05,3,3939,4,14
10,0.05,4,4516,4,15
10,0.05,5,4210,4,11
10,0.05,6,4045,4,17
10,0.05,7,4505,3,13
10,0.05,8,4188,4,13
10,0.05,9,4415,4,17
10,0.05,10,4602,4,11
12,0.05,1,3992,3,11
12,0.05,2,4678,5,20
12,0.05,3,4206,5,15
12,0.05,4,4410,4,15
12,0.05,5,4597,5,20
12,0.05,6,4524,3,12
12,0.05,7,4330,4,15
12,0.05,8,4073,4,13
12,0.05,9,4552,4,15
12,0.05,10,3850,4,13
14,0.05,1,4169,4,12
14,0.05,2,4661,4,17
14,0.05,3,4144,4,13
14,0.05,4,4154,3,12
14,0.05,5,4549,4,13
14,0.05,6,4435,4,11
14,0.05,7,4682,5,16
14,0.05,8,4355,4,17
14,0.05,9,4943,4,15
14,0.05,10,4513,5,13
16,0.05,1,4714,6,25
16,0.05,2,3848,4,17
16,0.05,3,4108,4,13
16,0.05,4,4189,3,10
16,0.05,5,4385,4,13
16,0.05,6,4117,4,13
16,0.05,7,4477,5,12
16,0.05,8,4955,6,16
16,0.05,9,4305,5,18
16,0.05,10,4490,4,12
18,0.05,1,4662,4,20
18,0.05,2,4145,4,12
18,0.05,3,4247,4,17
18,0.05,4,4575,4,12
18,0.05,5,4606,4,15
18,0.05,6,4240,5,11
18,0.05,7,4192,5,16
18,0.05,8,4588,4,23
18,0.05,9,4744,5,15
18,0.05,10,4112,4,17
20,0.05,1,4023,4,12
20,0.05,2,4150,4,12
20,0.05,3,4362,5,18
20,0.05,4,4636,5,21
20,0.05,5,4221,4,18
20,0.05,6,3970,3,11
20,0.05,7,4328,4,14
20,0.05,8,4483,4,13
20,0.05,9,4341,4,14
20,0.05,10,3713,4,11
2,0.1,1,5578,6,21
2,0.1,2,6445,7,27
2,0.1,3,6450,8,32
2,0.1,4,6115,7,25
2,0.1,5,6190,8,24
2,0.1,6,5519,7,24
2,0.1,7,7029,8,37
2,0.1,8,6104,8,27
2,0.1,9,5486,7,23
2,0.1,10,6079,7,22
4,0.1,1,4815,5,14
4,0.1,2,4788,4,17
4,0.1,3,5130,4,16
4,0.1,4,5186,5,18
4,0.1,5,4661,4,15
4,0.1,6,4454,4,12
4,0.1,7,4526,4,16
4,0.1,8,4996,4,15
4,0.1,9,4410,4,14
4,0.1,10,4270,4,12
6,0.1,1,4500,5,12
6,0.1,2,4647,4,13
6,0.1,3,4143,5,16
6,0.1,4,5056,4,15
6,0.1,5,5102,4,21
6,0.1,6,4303,4,12
6,0.1,7,4328,4,18
6,0.1,8,4167,4,14
6,0.1,9,4487,4,12
6,0.1,10,4363,5,14
8,0.1,1,4329,4,15
8,0.1,2,4615,4,12
8,0.1,3,4070,4,14
8,0.1,4,4004,4,13
8,0.1,5,4346,3,12
8,0.1,6,4189,4,15
8,0.1,7,4214,4,16
8,0.1,8,4804,4,20
8,0.1,9,4651,4,12
8,0.1,10,4720,5,17
10,0.1,1,4573,6,17
10,0.1,2,3995,3,11
10,0.1,3,3915,5,15
10,0.1,4,4502,5,14
10,0.1,5,4429,4,10
10,0.1,6,4629,4,13
10,0.1,7,4100,4,13
10,0.1,8,4400,4,14
10,0.1,9,4405,5,13
10,0.1,10,4168,5,12
12,0.1,1,4175,5,18
12,0.1,2,4933,4,20
12,0.1,3,4200,3,12
12,0.1,4,4175,6,21
12,0.1,5,4717,6,13
12,0.1,6,4657,5,14
12,0.1,7,4339,3,14
12,0.1,8,4573,5,14
12,0.1,9,4309,3,12
12,0.1,10,4614,4,15
14,0.1,1,4371,4,15
14,0.1,2,3996,3,11
14,0.1,3,3929,5,15
14,0.1,4,4153,4,11
14,0.1,5,4362,4,15
14,0.1,6,4221,4,13
14,0.1,7,4144,4,11
14,0.1,8,4366,4,18
14,0.1,9,4376,4,12
14,0.1,10,4535,4,11
16,0.1,1,4387,5,14
16,0.1,2,4144,4,16
16,0.1,3,4604,5,13
16,0.1,4,4047,4,17
16,0.1,5,4066,4,14
16,0.1,6,4385,4,13
16,0.1,7,4008,4,16
16,0.1,8,4530,4,12
16,0.1,9,4929,6,15
16,0.1,10,4790,5,12
18,0.1,1,4427,5,15
18,0.1,2,4319,4,15
18,0.1,3,4591,4,14
18,0.1,4,3882,5,13
18,0.1,5,4015,5,14
18,0.1,6,4271,5,14
18,0.1,7,4838,4,13
18,0.1,8,4532,5,16
18,0.1,9,4252,4,15
18,0.1,10,4348,5,17
20,0.1,1,4142,3,13
20,0.1,2,4534,4,13
20,0.1,3,4692,6,29
20,0.1,4,4371,4,14
20,0.1,5,4397,4,13
20,0.1,6,3772,4,12
20,0.1,7,3989,4,11
20,0.1,8,4068,4,14
20,0.1,9,4104,4,12
20,0.1,10,4035,5,19
2,0.5,1,6598,7,34
2,0.5,2,5250,6,15
2,0.5,3,6052,8,24
2,0.5,4,6143,8,20
2,0.5,5,6162,8,26
2,0.5,6,5819,7,23
2,0.5,7,6184,7,27
2,0.5,8,5712,7,24
2,0.5,9,6117,7,29
2,0.5,10,5895,7,25
4,0.5,1,4386,3,14
4,0.5,2,4058,4,16
4,0.5,3,5147,4,18
4,0.5,4,5324,5,19
4,0.5,5,4506,4,15
4,0.5,6,4058,5,12
4,0.5,7,4502,4,15
4,0.5,8,4302,6,14
4,0.5,9,4810,5,16
4,0.5,10,4556,4,18
6,0.5,1,5086,5,21
6,0.5,2,4174,4,15
6,0.5,3,4166,4,11
6,0.5,4,4711,5,14
6,0.5,5,4112,3,13
6,0.5,6,4879,5,15
6,0.5,7,4640,5,14
6,0.5,8,4989,5,16
6,0.5,9,4270,5,16
6,0.5,10,4706,5,13
8,0.5,1,4627,4,17
8,0.5,2,4403,4,14
8,0.5,3,5029,4,19
8,0.5,4,4677,4,14
8,0.5,5,4374,4,13
8,0.5,6,4664,4,17
8,0.5,7,4060,5,13
8,0.5,8,5203,4,15
8,0.5,9,4428,4,15
8,0.5,10,4471,3,13
10,0.5,1,4286,5,14
10,0.5,2,4035,4,13
10,0.5,3,4233,4,12
10,0.5,4,3986,5,19
10,0.5,5,4470,5,15
10,0.5,6,4162,4,13
10,0.5,7,4165,4,16
10,0.5,8,4527,4,11
10,0.5,9,4287,5,13
10,0.5,10,4893,6,18
12,0.5,1,4130,4,15
12,0.5,2,4145,4,10
12,0.5,3,4342,4,13
12,0.5,4,4664,4,13
12,0.5,5,5104,4,18
12,0.5,6,4356,4,12
12,0.5,7,4535,4,14
12,0.5,8,4130,4,14
12,0.5,9,5087,5,13
12,0.5,10,4780,5,13
14,0.5,1,4477,4,12
14,0.5,2,4433,4,15
14,0.5,3,3765,4,12
14,0.5,4,4314,4,15
14,0.5,5,4595,5,16
14,0.5,6,4991,4,17
14,0.5,7,4131,4,14
14,0.5,8,4206,4,17
14,0.5,9,4167,4,16
14,0.5,10,4214,4,13
16,0.5,1,4160,4,17
16,0.5,2,4297,5,16
16,0.5,3,3963,5,14
16,0.5,4,4547,4,17
16,0.5,5,4125,4,14
16,0.5,6,4448,4,14
16,0.5,7,4257,4,14
16,0.5,8,4728,5,13
16,0.5,9,4470,4,15
16,0.5,10,4561,5,23
18,0.5,1,4577,4,14
18,0.5,2,4602,5,16
18,0.5,3,4495,4,18
18,0.5,4,4556,5,19
18,0.5,5,4160,4,12
18,0.5,6,4390,4,13
18,0.5,7,4800,6,12
18,0.5,8,4130,4,15
18,0.5,9,4561,4,17
18,0.5,10,4660,5,12
20,0.5,1,4608,5,17
20,0.5,2,4975,5,26
20,0.5,3,4511,5,10
20,0.5,4,4176,4,17
20,0.5,5,4164,4,16
20,0.5,6,4231,4,17
20,0.5,7,4377,4,14
20,0.5,8,4359,4,13
20,0.5,9,3863,4,12
20,0.5,10,4239,4,18
