Genes,Strains,Type,Dataset,Method
2095,1,core,RefSeq,Roary
2117,1,core,RefSeq,Roary
655,1,core,RefSeq,Roary
2061,1,core,RefSeq,Roary
2207,1,core,RefSeq,Roary
2262,1,core,RefSeq,Roary
2140,1,core,RefSeq,Roary
2117,1,core,RefSeq,Roary
2119,1,core,RefSeq,Roary
2104,1,core,RefSeq,Roary
2053,1,core,RefSeq,Roary
2095,1,core,RefSeq,Roary
2067,1,core,RefSeq,Roary
2123,1,core,RefSeq,Roary
2207,1,core,RefSeq,Roary
2183,1,core,RefSeq,Roary
2233,1,core,RefSeq,Roary
2076,1,core,RefSeq,Roary
2183,1,core,RefSeq,Roary
2174,1,core,RefSeq,Roary
2139,1,core,RefSeq,Roary
2174,1,core,RefSeq,Roary
2183,1,core,RefSeq,Roary
2104,1,core,RefSeq,Roary
2233,1,core,RefSeq,Roary
2095,1,core,RefSeq,Roary
2067,1,core,RefSeq,Roary
2262,1,core,RefSeq,Roary
2174,1,core,RefSeq,Roary
2053,1,core,RefSeq,Roary
482,3,core,RefSeq,Roary
1623,3,core,RefSeq,Roary
1682,3,core,RefSeq,Roary
1698,3,core,RefSeq,Roary
1615,3,core,RefSeq,Roary
471,3,core,RefSeq,Roary
1614,3,core,RefSeq,Roary
1624,3,core,RefSeq,Roary
466,3,core,RefSeq,Roary
1630,3,core,RefSeq,Roary
1640,3,core,RefSeq,Roary
1596,3,core,RefSeq,Roary
1599,3,core,RefSeq,Roary
1654,3,core,RefSeq,Roary
1637,3,core,RefSeq,Roary
1670,3,core,RefSeq,Roary
1660,3,core,RefSeq,Roary
1635,3,core,RefSeq,Roary
1692,3,core,RefSeq,Roary
1628,3,core,RefSeq,Roary
1525,3,core,RefSeq,Roary
1597,3,core,RefSeq,Roary
1651,3,core,RefSeq,Roary
1524,3,core,RefSeq,Roary
1609,3,core,RefSeq,Roary
1641,3,core,RefSeq,Roary
1660,3,core,RefSeq,Roary
1634,3,core,RefSeq,Roary
1550,3,core,RefSeq,Roary
1637,3,core,RefSeq,Roary
1442,5,core,RefSeq,Roary
1476,5,core,RefSeq,Roary
440,5,core,RefSeq,Roary
413,5,core,RefSeq,Roary
1455,5,core,RefSeq,Roary
1513,5,core,RefSeq,Roary
1550,5,core,RefSeq,Roary
1489,5,core,RefSeq,Roary
1582,5,core,RefSeq,Roary
1549,5,core,RefSeq,Roary
429,5,core,RefSeq,Roary
1545,5,core,RefSeq,Roary
1467,5,core,RefSeq,Roary
446,5,core,RefSeq,Roary
1473,5,core,RefSeq,Roary
1533,5,core,RefSeq,Roary
1475,5,core,RefSeq,Roary
1536,5,core,RefSeq,Roary
1588,5,core,RefSeq,Roary
1507,5,core,RefSeq,Roary
437,5,core,RefSeq,Roary
1577,5,core,RefSeq,Roary
444,5,core,RefSeq,Roary
1450,5,core,RefSeq,Roary
1455,5,core,RefSeq,Roary
1564,5,core,RefSeq,Roary
1562,5,core,RefSeq,Roary
420,5,core,RefSeq,Roary
1507,5,core,RefSeq,Roary
428,5,core,RefSeq,Roary
412,8,core,RefSeq,Roary
1451,8,core,RefSeq,Roary
379,8,core,RefSeq,Roary
1348,8,core,RefSeq,Roary
415,8,core,RefSeq,Roary
1407,8,core,RefSeq,Roary
1371,8,core,RefSeq,Roary
381,8,core,RefSeq,Roary
1394,8,core,RefSeq,Roary
381,8,core,RefSeq,Roary
1391,8,core,RefSeq,Roary
397,8,core,RefSeq,Roary
1452,8,core,RefSeq,Roary
1464,8,core,RefSeq,Roary
390,8,core,RefSeq,Roary
1402,8,core,RefSeq,Roary
403,8,core,RefSeq,Roary
399,8,core,RefSeq,Roary
400,8,core,RefSeq,Roary
1382,8,core,RefSeq,Roary
1443,8,core,RefSeq,Roary
1420,8,core,RefSeq,Roary
422,8,core,RefSeq,Roary
1422,8,core,RefSeq,Roary
1350,8,core,RefSeq,Roary
399,8,core,RefSeq,Roary
398,8,core,RefSeq,Roary
415,8,core,RefSeq,Roary
403,8,core,RefSeq,Roary
1404,8,core,RefSeq,Roary
411,10,core,RefSeq,Roary
1445,10,core,RefSeq,Roary
1371,10,core,RefSeq,Roary
390,10,core,RefSeq,Roary
1349,10,core,RefSeq,Roary
1328,10,core,RefSeq,Roary
1358,10,core,RefSeq,Roary
389,10,core,RefSeq,Roary
1406,10,core,RefSeq,Roary
1335,10,core,RefSeq,Roary
394,10,core,RefSeq,Roary
383,10,core,RefSeq,Roary
1407,10,core,RefSeq,Roary
379,10,core,RefSeq,Roary
413,10,core,RefSeq,Roary
1444,10,core,RefSeq,Roary
384,10,core,RefSeq,Roary
1358,10,core,RefSeq,Roary
419,10,core,RefSeq,Roary
400,10,core,RefSeq,Roary
1374,10,core,RefSeq,Roary
1386,10,core,RefSeq,Roary
1368,10,core,RefSeq,Roary
401,10,core,RefSeq,Roary
404,10,core,RefSeq,Roary
1348,10,core,RefSeq,Roary
1451,10,core,RefSeq,Roary
1382,10,core,RefSeq,Roary
1439,10,core,RefSeq,Roary
390,10,core,RefSeq,Roary
375,12,core,RefSeq,Roary
1330,12,core,RefSeq,Roary
388,12,core,RefSeq,Roary
364,12,core,RefSeq,Roary
397,12,core,RefSeq,Roary
1349,12,core,RefSeq,Roary
1338,12,core,RefSeq,Roary
389,12,core,RefSeq,Roary
1348,12,core,RefSeq,Roary
1390,12,core,RefSeq,Roary
381,12,core,RefSeq,Roary
368,12,core,RefSeq,Roary
379,12,core,RefSeq,Roary
392,12,core,RefSeq,Roary
1310,12,core,RefSeq,Roary
1323,12,core,RefSeq,Roary
1296,12,core,RefSeq,Roary
1320,12,core,RefSeq,Roary
390,12,core,RefSeq,Roary
367,12,core,RefSeq,Roary
370,12,core,RefSeq,Roary
371,12,core,RefSeq,Roary
407,12,core,RefSeq,Roary
1341,12,core,RefSeq,Roary
1326,12,core,RefSeq,Roary
402,12,core,RefSeq,Roary
1340,12,core,RefSeq,Roary
379,12,core,RefSeq,Roary
385,12,core,RefSeq,Roary
1402,12,core,RefSeq,Roary
371,15,core,RefSeq,Roary
379,15,core,RefSeq,Roary
1322,15,core,RefSeq,Roary
379,15,core,RefSeq,Roary
361,15,core,RefSeq,Roary
1283,15,core,RefSeq,Roary
360,15,core,RefSeq,Roary
365,15,core,RefSeq,Roary
374,15,core,RefSeq,Roary
1292,15,core,RefSeq,Roary
372,15,core,RefSeq,Roary
362,15,core,RefSeq,Roary
380,15,core,RefSeq,Roary
371,15,core,RefSeq,Roary
357,15,core,RefSeq,Roary
1297,15,core,RefSeq,Roary
374,15,core,RefSeq,Roary
383,15,core,RefSeq,Roary
1294,15,core,RefSeq,Roary
368,15,core,RefSeq,Roary
1278,15,core,RefSeq,Roary
360,15,core,RefSeq,Roary
376,15,core,RefSeq,Roary
361,15,core,RefSeq,Roary
379,15,core,RefSeq,Roary
1278,15,core,RefSeq,Roary
1290,15,core,RefSeq,Roary
392,15,core,RefSeq,Roary
1309,15,core,RefSeq,Roary
389,15,core,RefSeq,Roary
386,17,core,RefSeq,Roary
372,17,core,RefSeq,Roary
360,17,core,RefSeq,Roary
358,17,core,RefSeq,Roary
365,17,core,RefSeq,Roary
359,17,core,RefSeq,Roary
370,17,core,RefSeq,Roary
358,17,core,RefSeq,Roary
359,17,core,RefSeq,Roary
