Strains,Type,Genes
1,core,1980
1,core,1964
1,core,2040
1,core,1948
1,core,1953
1,core,1952
1,core,1978
1,core,1971
1,core,1936
1,core,1926
1,core,1991
1,core,1994
1,core,1952
1,core,2021
1,core,1916
1,core,1945
1,core,1937
1,core,1996
1,core,2019
1,core,1997
1,core,1992
1,core,1954
1,core,1988
1,core,1998
1,core,1941
1,core,1936
1,core,1996
1,core,1994
1,core,1913
1,core,2002
69,core,1467
69,core,1483
69,core,1470
69,core,1485
69,core,1452
69,core,1480
69,core,1483
69,core,1473
69,core,1446
69,core,1461
69,core,1477
69,core,1475
69,core,1478
69,core,1480
69,core,1485
69,core,1477
69,core,1483
69,core,1477
69,core,1479
69,core,1468
69,core,1482
69,core,1486
69,core,1483
69,core,1489
69,core,1491
69,core,1460
69,core,1474
69,core,1473
69,core,1481
69,core,1449
137,core,1467
137,core,1474
137,core,1476
137,core,1469
137,core,1480
137,core,1475
137,core,1476
137,core,1455
137,core,1484
137,core,1468
137,core,1460
137,core,1465
137,core,1464
137,core,1471
137,core,1475
137,core,1475
137,core,1470
137,core,1474
137,core,1469
137,core,1478
137,core,1467
137,core,1474
137,core,1469
137,core,1469
137,core,1462
137,core,1481
137,core,1477
137,core,1471
137,core,1464
137,core,1471
205,core,1473
205,core,1475
205,core,1477
205,core,1468
205,core,1469
205,core,1478
205,core,1470
205,core,1476
205,core,1478
205,core,1477
205,core,1479
205,core,1476
205,core,1482
205,core,1474
205,core,1473
205,core,1475
205,core,1484
205,core,1480
205,core,1472
205,core,1470
205,core,1476
205,core,1485
205,core,1472
205,core,1481
205,core,1471
205,core,1483
205,core,1470
205,core,1478
205,core,1477
205,core,1481
273,core,1474
273,core,1476
273,core,1476
273,core,1470
273,core,1473
273,core,1479
273,core,1475
273,core,1479
273,core,1473
273,core,1476
273,core,1476
273,core,1471
273,core,1467
273,core,1480
273,core,1478
273,core,1475
273,core,1466
273,core,1475
273,core,1470
273,core,1474
273,core,1475
273,core,1470
273,core,1471
273,core,1471
273,core,1479
273,core,1473
273,core,1476
273,core,1470
273,core,1475
273,core,1475
342,core,1483
342,core,1473
342,core,1476
342,core,1474
342,core,1481
342,core,1476
342,core,1476
342,core,1470
342,core,1474
342,core,1474
342,core,1471
342,core,1473
342,core,1478
342,core,1474
342,core,1475
342,core,1478
342,core,1476
342,core,1478
342,core,1475
342,core,1469
342,core,1476
342,core,1473
342,core,1480
342,core,1481
342,core,1477
342,core,1474
342,core,1473
342,core,1475
342,core,1476
342,core,1473
410,core,1478
410,core,1477
410,core,1478
410,core,1473
410,core,1472
410,core,1472
410,core,1476
410,core,1473
410,core,1474
410,core,1474
410,core,1473
410,core,1477
410,core,1470
410,core,1476
410,core,1475
410,core,1473
410,core,1480
410,core,1469
410,core,1470
410,core,1475
410,core,1480
410,core,1476
410,core,1477
410,core,1474
410,core,1477
410,core,1473
410,core,1472
410,core,1474
410,core,1476
410,core,1473
478,core,1475
478,core,1471
478,core,1471
478,core,1475
478,core,1474
478,core,1475
478,core,1471
478,core,1473
478,core,1472
478,core,1470
478,core,1472
478,core,1473
478,core,1472
478,core,1476
478,core,1468
478,core,1475
478,core,1471
478,core,1471
478,core,1473
478,core,1474
478,core,1470
478,core,1469
478,core,1477
478,core,1477
478,core,1471
478,core,1474
478,core,1472
478,core,1473
478,core,1473
478,core,1479
546,core,1475
546,core,1470
546,core,1474
546,core,1475
546,core,1474
546,core,1474
546,core,1475
546,core,1474
546,core,1474
546,core,1474
546,core,1474
546,core,1476
546,core,1477
546,core,1474
546,core,1474
546,core,1473
546,core,1475
546,core,1471
546,core,1474
546,core,1473
546,core,1474
546,core,1472
546,core,1472
546,core,1474
546,core,1472
546,core,1471
546,core,1478
546,core,1474
546,core,1474
546,core,1475
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
615,core,1472
1,pan,1980
1,pan,1964
1,pan,2040
1,pan,1948
1,pan,1953
1,pan,1952
1,pan,1978
1,pan,1971
1,pan,1936
1,pan,1926
1,pan,1991
1,pan,1994
1,pan,1952
1,pan,2021
1,pan,1916
1,pan,1945
1,pan,1937
1,pan,1996
1,pan,2019
1,pan,1997
1,pan,1992
1,pan,1954
1,pan,1988
1,pan,1998
1,pan,1941
1,pan,1936
1,pan,1996
1,pan,1994
1,pan,1913
1,pan,2002
69,pan,4896
69,pan,4668
69,pan,4641
69,pan,4852
69,pan,5145
69,pan,4766
69,pan,4508
69,pan,4581
69,pan,4949
69,pan,5064
69,pan,4522
69,pan,4837
69,pan,4658
69,pan,4411
69,pan,4851
69,pan,4883
69,pan,4543
69,pan,4858
69,pan,4759
69,pan,4572
69,pan,4772
69,pan,4443
69,pan,4564
69,pan,4420
69,pan,4326
69,pan,4961
69,pan,4736
69,pan,4664
69,pan,4901
69,pan,4758
137,pan,5471
137,pan,5367
137,pan,5470
137,pan,5174
137,pan,5301
137,pan,5331
137,pan,5480
137,pan,5703
137,pan,5115
137,pan,5560
137,pan,5457
137,pan,5407
137,pan,5509
137,pan,5340
137,pan,5445
137,pan,5395
137,pan,5167
137,pan,5368
137,pan,5489
137,pan,5356
137,pan,5596
137,pan,5409
137,pan,5500
137,pan,5488
137,pan,5184
137,pan,5472
137,pan,5535
137,pan,5372
137,pan,5291
137,pan,5415
205,pan,5936
205,pan,5859
205,pan,5851
205,pan,5815
205,pan,5888
205,pan,5830
205,pan,5899
205,pan,5584
205,pan,5740
205,pan,5853
205,pan,5923
205,pan,5837
205,pan,5914
205,pan,5832
205,pan,5873
205,pan,5875
205,pan,5844
205,pan,5819
205,pan,5784
205,pan,5945
205,pan,5929
205,pan,5843
205,pan,5915
205,pan,5878
205,pan,5849
205,pan,5847
205,pan,5857
205,pan,5871
205,pan,5976
205,pan,5873
273,pan,6061
273,pan,6180
273,pan,6190
273,pan,6196
273,pan,6323
273,pan,6061
273,pan,6029
273,pan,6183
273,pan,6080
273,pan,6292
273,pan,5954
273,pan,6103
273,pan,6138
273,pan,6180
273,pan,6187
273,pan,6284
273,pan,6248
273,pan,6204
273,pan,6305
273,pan,6145
273,pan,6265
273,pan,6096
273,pan,6099
273,pan,6162
273,pan,6241
273,pan,6132
273,pan,6189
273,pan,6275
273,pan,6112
273,pan,6087
