Strains,Type,Genes
1,core,2051
1,core,2005
1,core,1979
1,core,2111
1,core,1997
1,core,1943
1,core,1924
1,core,1903
1,core,1893
1,core,2005
1,core,2005
1,core,1941
1,core,1923
1,core,2068
1,core,2031
1,core,2124
1,core,2059
1,core,1951
1,core,1969
1,core,1945
1,core,1892
1,core,1919
1,core,2073
1,core,2072
1,core,1956
1,core,1967
1,core,2084
1,core,2039
1,core,2191
1,core,2021
39,core,1567
39,core,1567
39,core,1582
39,core,1563
39,core,1581
39,core,1575
39,core,1530
39,core,1571
39,core,1581
39,core,1533
39,core,1571
39,core,1551
39,core,1590
39,core,1564
39,core,1491
39,core,1537
39,core,1582
39,core,1565
39,core,1556
39,core,1573
39,core,1559
39,core,1571
39,core,1558
39,core,1577
39,core,1520
39,core,1537
39,core,1588
39,core,1588
39,core,1565
39,core,1578
77,core,1571
77,core,1574
77,core,1582
77,core,1569
77,core,1580
77,core,1589
77,core,1582
77,core,1592
77,core,1589
77,core,1552
77,core,1559
77,core,1572
77,core,1581
77,core,1578
77,core,1579
77,core,1530
77,core,1593
77,core,1596
77,core,1546
77,core,1569
77,core,1581
77,core,1581
77,core,1557
77,core,1567
77,core,1578
77,core,1554
77,core,1566
77,core,1582
77,core,1565
77,core,1572
116,core,1581
116,core,1573
116,core,1578
116,core,1582
116,core,1587
116,core,1583
116,core,1570
116,core,1574
116,core,1583
116,core,1583
116,core,1589
116,core,1575
116,core,1571
116,core,1582
116,core,1574
116,core,1585
116,core,1569
116,core,1564
116,core,1555
116,core,1593
116,core,1593
116,core,1582
116,core,1578
116,core,1571
116,core,1584
116,core,1573
116,core,1596
116,core,1584
116,core,1583
116,core,1587
154,core,1578
154,core,1585
154,core,1580
154,core,1574
154,core,1593
154,core,1581
154,core,1572
154,core,1580
154,core,1581
154,core,1592
154,core,1584
154,core,1582
154,core,1582
154,core,1582
154,core,1579
154,core,1580
154,core,1584
154,core,1584
154,core,1575
154,core,1577
154,core,1581
154,core,1574
154,core,1579
154,core,1571
154,core,1583
154,core,1586
154,core,1581
154,core,1586
154,core,1582
154,core,1582
193,core,1578
193,core,1580
193,core,1589
193,core,1594
193,core,1594
193,core,1577
193,core,1587
193,core,1577
193,core,1586
193,core,1592
193,core,1588
193,core,1586
193,core,1582
193,core,1576
193,core,1589
193,core,1587
193,core,1592
193,core,1586
193,core,1585
193,core,1580
193,core,1583
193,core,1581
193,core,1591
193,core,1583
193,core,1584
193,core,1591
193,core,1574
193,core,1587
193,core,1595
193,core,1579
231,core,1577
231,core,1584
231,core,1589
231,core,1590
231,core,1591
231,core,1586
231,core,1586
231,core,1590
231,core,1588
231,core,1586
231,core,1577
231,core,1583
231,core,1583
231,core,1584
231,core,1586
231,core,1580
231,core,1580
231,core,1582
231,core,1583
231,core,1587
231,core,1595
231,core,1584
231,core,1584
231,core,1584
231,core,1576
231,core,1587
231,core,1582
231,core,1585
231,core,1585
231,core,1592
270,core,1584
270,core,1587
270,core,1585
