Strains,Type,Genes
1,core,1981
1,core,2062
1,core,1982
1,core,2024
1,core,2035
1,core,1937
1,core,1994
1,core,2045
1,core,1983
1,core,2048
1,core,2052
1,core,2056
1,core,2033
1,core,1995
1,core,1915
1,core,2031
1,core,1923
1,core,2077
1,core,2019
1,core,2103
1,core,2106
1,core,2083
1,core,1924
1,core,1979
1,core,2106
1,core,1982
1,core,2023
1,core,1926
1,core,2097
1,core,1956
39,core,1489
39,core,1480
39,core,1465
39,core,1482
39,core,1471
39,core,1467
39,core,1483
39,core,1485
39,core,1488
39,core,1494
39,core,1467
39,core,1478
39,core,1465
39,core,1472
39,core,1462
39,core,1478
39,core,1482
39,core,1466
39,core,1480
39,core,1466
39,core,1472
39,core,1475
39,core,1479
39,core,1480
39,core,1477
39,core,1480
39,core,1474
39,core,1482
39,core,1476
39,core,1482
78,core,1478
78,core,1473
78,core,1474
78,core,1474
78,core,1483
78,core,1484
78,core,1476
78,core,1476
78,core,1478
78,core,1483
78,core,1483
78,core,1468
78,core,1475
78,core,1475
78,core,1482
78,core,1475
78,core,1477
78,core,1481
78,core,1478
78,core,1485
78,core,1492
78,core,1492
78,core,1472
78,core,1484
78,core,1495
78,core,1480
78,core,1480
78,core,1478
78,core,1476
78,core,1472
117,core,1472
117,core,1484
117,core,1481
117,core,1473
117,core,1474
117,core,1480
117,core,1482
117,core,1481
117,core,1480
117,core,1482
117,core,1478
117,core,1481
117,core,1488
117,core,1482
117,core,1481
117,core,1485
117,core,1482
117,core,1485
117,core,1480
117,core,1478
117,core,1484
117,core,1480
117,core,1479
117,core,1478
117,core,1503
117,core,1485
117,core,1491
117,core,1485
117,core,1480
117,core,1475
155,core,1478
155,core,1487
155,core,1476
155,core,1483
155,core,1479
155,core,1478
155,core,1482
155,core,1481
155,core,1484
155,core,1480
155,core,1478
155,core,1489
155,core,1480
155,core,1486
155,core,1483
155,core,1480
155,core,1480
155,core,1490
155,core,1478
155,core,1485
155,core,1481
155,core,1477
155,core,1480
155,core,1481
155,core,1481
155,core,1481
155,core,1479
155,core,1476
155,core,1484
155,core,1483
194,core,1479
194,core,1482
194,core,1485
194,core,1485
194,core,1479
194,core,1487
194,core,1479
194,core,1482
194,core,1484
194,core,1483
194,core,1480
194,core,1484
194,core,1481
194,core,1481
194,core,1488
194,core,1480
194,core,1482
194,core,1480
194,core,1480
194,core,1480
194,core,1480
194,core,1480
194,core,1480
194,core,1481
194,core,1479
194,core,1484
194,core,1479
194,core,1481
194,core,1483
194,core,1478
233,core,1482
233,core,1481
233,core,1482
233,core,1488
233,core,1484
233,core,1479
233,core,1485
233,core,1480
233,core,1479
233,core,1483
233,core,1475
233,core,1481
233,core,1483
233,core,1481
233,core,1481
233,core,1479
233,core,1483
233,core,1480
233,core,1481
233,core,1485
233,core,1481
233,core,1484
233,core,1484
233,core,1484
233,core,1485
233,core,1481
233,core,1482
233,core,1484
233,core,1484
233,core,1481
271,core,1480
271,core,1485
271,core,1481
271,core,1484
271,core,1483
271,core,1485
271,core,1483
271,core,1482
271,core,1483
271,core,1486
271,core,1481
271,core,1481
271,core,1480
271,core,1483
271,core,1482
271,core,1484
271,core,1481
271,core,1482
271,core,1480
271,core,1484
271,core,1484
271,core,1481
271,core,1484
271,core,1486
271,core,1482
271,core,1484
271,core,1485
271,core,1482
271,core,1484
271,core,1489
310,core,1482
310,core,1484
310,core,1482
310,core,1482
310,core,1484
310,core,1482
310,core,1481
310,core,1483
310,core,1482
310,core,1483
310,core,1482
310,core,1484
310,core,1482
310,core,1483
310,core,1481
310,core,1482
310,core,1483
310,core,1483
310,core,1483
310,core,1484
310,core,1483
310,core,1481
310,core,1485
310,core,1483
310,core,1483
310,core,1484
310,core,1480
310,core,1485
310,core,1481
310,core,1483
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
349,core,1482
