Strains,Type,Genes
1,core,1790
1,core,1824
1,core,1842
1,core,1865
1,core,1712
1,core,1865
1,core,1819
1,core,1824
1,core,1712
1,core,1842
1,core,1868
1,core,1868
1,core,1865
1,core,2661
1,core,1896
1,core,1819
1,core,1712
1,core,1842
1,core,1873
1,core,1856
1,core,1964
1,core,1852
1,core,1969
1,core,1830
1,core,1873
1,core,1873
1,core,2661
1,core,1790
1,core,2661
1,core,1835
3,core,1587
3,core,1559
3,core,450
3,core,1620
3,core,441
3,core,1639
3,core,1612
3,core,119
3,core,1576
3,core,1553
3,core,1595
3,core,1630
3,core,441
3,core,1651
3,core,1606
3,core,1608
3,core,1623
3,core,1646
3,core,1639
3,core,1599
3,core,1677
3,core,1633
3,core,1638
3,core,437
3,core,442
3,core,1638
3,core,1607
3,core,1651
3,core,449
3,core,1611
5,core,1507
5,core,435
5,core,1559
5,core,439
5,core,1552
5,core,1517
5,core,1572
5,core,1591
5,core,1496
5,core,1527
5,core,435
5,core,1566
5,core,420
5,core,1555
5,core,405
5,core,432
5,core,412
5,core,439
5,core,434
5,core,115
5,core,115
5,core,1562
5,core,439
5,core,1567
5,core,1532
5,core,1531
5,core,1529
5,core,116
5,core,1496
5,core,1476
8,core,397
8,core,112
8,core,436
8,core,1521
8,core,115
8,core,1420
8,core,116
8,core,1486
8,core,431
8,core,397
8,core,422
8,core,1486
8,core,1478
8,core,1426
8,core,426
8,core,1388
8,core,1476
8,core,1423
8,core,1456
8,core,405
8,core,405
8,core,115
8,core,425
8,core,373
8,core,1517
8,core,426
8,core,1530
8,core,1457
8,core,1444
8,core,115
10,core,394
10,core,112
10,core,114
10,core,1421
10,core,1466
10,core,433
10,core,422
10,core,1461
10,core,394
10,core,372
10,core,391
10,core,1404
10,core,1464
10,core,396
10,core,115
10,core,1508
10,core,430
10,core,381
10,core,1431
10,core,1476
10,core,1411
10,core,1410
10,core,420
10,core,382
10,core,389
10,core,428
10,core,1449
10,core,422
10,core,1456
10,core,1467
13,core,412
13,core,427
13,core,416
13,core,380
13,core,111
13,core,112
13,core,386
13,core,373
13,core,112
13,core,111
13,core,420
13,core,1348
13,core,410
13,core,419
13,core,1440
13,core,112
13,core,1369
13,core,415
13,core,1397
13,core,417
13,core,110
13,core,1384
13,core,113
13,core,421
13,core,111
13,core,1392
13,core,111
13,core,376
13,core,414
13,core,424
15,core,112
15,core,114
15,core,1403
15,core,361
15,core,390
15,core,410
15,core,417
15,core,110
15,core,419
15,core,376
15,core,410
15,core,110
15,core,419
15,core,110
15,core,113
15,core,109
15,core,388
15,core,110
15,core,1346
15,core,109
15,core,422
15,core,412
15,core,110
15,core,114
15,core,369
15,core,373
15,core,368
15,core,110
15,core,113
15,core,109
18,core,409
18,core,109
18,core,109
18,core,111
18,core,414
18,core,410
18,core,110
18,core,412
18,core,110
18,core,364
18,core,409
18,core,111
18,core,111
18,core,111
18,core,109
18,core,380
18,core,412
18,core,109
18,core,109
18,core,109
18,core,112
18,core,110
18,core,114
18,core,412
18,core,110
18,core,109
18,core,407
18,core,369
18,core,361
18,core,111
20,core,108
20,core,108
20,core,355
20,core,109
20,core,354
20,core,108
20,core,108
20,core,355
20,core,108
20,core,408
20,core,110
20,core,109
20,core,111
20,core,108
20,core,364
20,core,108
20,core,108
20,core,111
20,core,108
20,core,108
20,core,358
20,core,355
20,core,109
20,core,109
20,core,108
20,core,112
20,core,109
20,core,109
20,core,108
20,core,109
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
23,core,658
1,pan,1790
1,pan,1824
1,pan,1842
1,pan,1865
1,pan,1712
1,pan,1865
1,pan,1819
1,pan,1824
1,pan,1712
1,pan,1842
1,pan,1868
1,pan,1868
1,pan,1865
1,pan,2661
1,pan,1896
1,pan,1819
1,pan,1712
1,pan,1842
1,pan,1873
1,pan,1856
1,pan,1964
1,pan,1852
1,pan,1969
1,pan,1830
1,pan,1873
1,pan,1873
1,pan,2661
1,pan,1790
1,pan,2661
1,pan,1835
3,pan,2111
3,pan,2175
3,pan,2044
3,pan,2189
3,pan,4168
3,pan,2101
3,pan,2079
3,pan,4143
3,pan,2234
3,pan,2124
3,pan,2200
3,pan,2157
3,pan,4326
3,pan,2160
3,pan,2040
3,pan,2217
3,pan,2197
3,pan,2096
3,pan,2220
3,pan,2139
3,pan,1997
3,pan,2084
3,pan,2105
3,pan,4324
3,pan,4288
3,pan,2145
3,pan,2126
3,pan,2203
3,pan,2104
3,pan,2197
5,pan,2279
5,pan,4500
5,pan,2298
5,pan,4426
5,pan,2226
5,pan,2288
5,pan,2279
5,pan,2328
5,pan,2383
5,pan,2300
5,pan,4444
5,pan,2203
5,pan,2300
5,pan,2358
5,pan,2302
5,pan,4343
5,pan,2242
5,pan,4406
5,pan,4374
5,pan,4481
5,pan,4310
5,pan,2180
5,pan,4345
5,pan,2268
5,pan,2323
5,pan,2109
5,pan,2314
5,pan,4382
5,pan,2366
5,pan,2398
8,pan,2426
8,pan,4599
8,pan,4534
8,pan,2397
8,pan,4548
8,pan,2504
8,pan,4554
8,pan,2519
8,pan,4599
8,pan,2443
8,pan,4601
8,pan,2415
8,pan,2446
8,pan,2566
