Genes,Strains,Type,Dataset,Method
2000,1,core,RefSeq,UCLUST
2091,1,core,RefSeq,UCLUST
2022,1,core,RefSeq,UCLUST
1991,1,core,RefSeq,UCLUST
1938,1,core,RefSeq,UCLUST
2032,1,core,RefSeq,UCLUST
1998,1,core,RefSeq,UCLUST
1998,1,core,RefSeq,UCLUST
2032,1,core,RefSeq,UCLUST
2120,1,core,RefSeq,UCLUST
1998,1,core,RefSeq,UCLUST
1787,1,core,RefSeq,UCLUST
2032,1,core,RefSeq,UCLUST
1787,1,core,RefSeq,UCLUST
2000,1,core,RefSeq,UCLUST
2065,1,core,RefSeq,UCLUST
2065,1,core,RefSeq,UCLUST
2075,1,core,RefSeq,UCLUST
2017,1,core,RefSeq,UCLUST
2091,1,core,RefSeq,UCLUST
2022,1,core,RefSeq,UCLUST
1787,1,core,RefSeq,UCLUST
2127,1,core,RefSeq,UCLUST
2022,1,core,RefSeq,UCLUST
1984,1,core,RefSeq,UCLUST
1998,1,core,RefSeq,UCLUST
2032,1,core,RefSeq,UCLUST
2127,1,core,RefSeq,UCLUST
1998,1,core,RefSeq,UCLUST
1938,1,core,RefSeq,UCLUST
1573,3,core,RefSeq,UCLUST
1687,3,core,RefSeq,UCLUST
1732,3,core,RefSeq,UCLUST
1755,3,core,RefSeq,UCLUST
1632,3,core,RefSeq,UCLUST
1627,3,core,RefSeq,UCLUST
1683,3,core,RefSeq,UCLUST
1663,3,core,RefSeq,UCLUST
1621,3,core,RefSeq,UCLUST
1633,3,core,RefSeq,UCLUST
1671,3,core,RefSeq,UCLUST
1511,3,core,RefSeq,UCLUST
1700,3,core,RefSeq,UCLUST
1627,3,core,RefSeq,UCLUST
1680,3,core,RefSeq,UCLUST
1706,3,core,RefSeq,UCLUST
1596,3,core,RefSeq,UCLUST
1598,3,core,RefSeq,UCLUST
1665,3,core,RefSeq,UCLUST
1694,3,core,RefSeq,UCLUST
1559,3,core,RefSeq,UCLUST
1634,3,core,RefSeq,UCLUST
1757,3,core,RefSeq,UCLUST
1557,3,core,RefSeq,UCLUST
1591,3,core,RefSeq,UCLUST
1616,3,core,RefSeq,UCLUST
1578,3,core,RefSeq,UCLUST
1664,3,core,RefSeq,UCLUST
1671,3,core,RefSeq,UCLUST
1620,3,core,RefSeq,UCLUST
1461,5,core,RefSeq,UCLUST
1521,5,core,RefSeq,UCLUST
1557,5,core,RefSeq,UCLUST
1554,5,core,RefSeq,UCLUST
1488,5,core,RefSeq,UCLUST
1501,5,core,RefSeq,UCLUST
1583,5,core,RefSeq,UCLUST
1570,5,core,RefSeq,UCLUST
1581,5,core,RefSeq,UCLUST
1547,5,core,RefSeq,UCLUST
1553,5,core,RefSeq,UCLUST
1535,5,core,RefSeq,UCLUST
1619,5,core,RefSeq,UCLUST
1531,5,core,RefSeq,UCLUST
1439,5,core,RefSeq,UCLUST
1546,5,core,RefSeq,UCLUST
1546,5,core,RefSeq,UCLUST
1456,5,core,RefSeq,UCLUST
1484,5,core,RefSeq,UCLUST
1539,5,core,RefSeq,UCLUST
1557,5,core,RefSeq,UCLUST
1504,5,core,RefSeq,UCLUST
1486,5,core,RefSeq,UCLUST
1590,5,core,RefSeq,UCLUST
1519,5,core,RefSeq,UCLUST
1566,5,core,RefSeq,UCLUST
1549,5,core,RefSeq,UCLUST
1462,5,core,RefSeq,UCLUST
1459,5,core,RefSeq,UCLUST
1481,5,core,RefSeq,UCLUST
1504,8,core,RefSeq,UCLUST
1487,8,core,RefSeq,UCLUST
1466,8,core,RefSeq,UCLUST
1465,8,core,RefSeq,UCLUST
1397,8,core,RefSeq,UCLUST
1360,8,core,RefSeq,UCLUST
1404,8,core,RefSeq,UCLUST
1438,8,core,RefSeq,UCLUST
1439,8,core,RefSeq,UCLUST
1432,8,core,RefSeq,UCLUST
1505,8,core,RefSeq,UCLUST
1448,8,core,RefSeq,UCLUST
1393,8,core,RefSeq,UCLUST
1388,8,core,RefSeq,UCLUST
1558,8,core,RefSeq,UCLUST
1373,8,core,RefSeq,UCLUST
1422,8,core,RefSeq,UCLUST
1506,8,core,RefSeq,UCLUST
1409,8,core,RefSeq,UCLUST
1441,8,core,RefSeq,UCLUST
1496,8,core,RefSeq,UCLUST
1444,8,core,RefSeq,UCLUST
1343,8,core,RefSeq,UCLUST
1458,8,core,RefSeq,UCLUST
1442,8,core,RefSeq,UCLUST
1499,8,core,RefSeq,UCLUST
1427,8,core,RefSeq,UCLUST
1444,8,core,RefSeq,UCLUST
1467,8,core,RefSeq,UCLUST
1542,8,core,RefSeq,UCLUST
1388,10,core,RefSeq,UCLUST
1376,10,core,RefSeq,UCLUST
1426,10,core,RefSeq,UCLUST
1437,10,core,RefSeq,UCLUST
1391,10,core,RefSeq,UCLUST
1427,10,core,RefSeq,UCLUST
1358,10,core,RefSeq,UCLUST
1489,10,core,RefSeq,UCLUST
1403,10,core,RefSeq,UCLUST
1411,10,core,RefSeq,UCLUST
1406,10,core,RefSeq,UCLUST
1457,10,core,RefSeq,UCLUST
1410,10,core,RefSeq,UCLUST
1380,10,core,RefSeq,UCLUST
1398,10,core,RefSeq,UCLUST
1423,10,core,RefSeq,UCLUST
1403,10,core,RefSeq,UCLUST
1388,10,core,RefSeq,UCLUST
1421,10,core,RefSeq,UCLUST
1329,10,core,RefSeq,UCLUST
1373,10,core,RefSeq,UCLUST
1315,10,core,RefSeq,UCLUST
1328,10,core,RefSeq,UCLUST
1409,10,core,RefSeq,UCLUST
1356,10,core,RefSeq,UCLUST
1384,10,core,RefSeq,UCLUST
1416,10,core,RefSeq,UCLUST
1459,10,core,RefSeq,UCLUST
1345,10,core,RefSeq,UCLUST
1428,10,core,RefSeq,UCLUST
1350,12,core,RefSeq,UCLUST
1366,12,core,RefSeq,UCLUST
1352,12,core,RefSeq,UCLUST
1412,12,core,RefSeq,UCLUST
1357,12,core,RefSeq,UCLUST
1325,12,core,RefSeq,UCLUST
1461,12,core,RefSeq,UCLUST
1405,12,core,RefSeq,UCLUST
1399,12,core,RefSeq,UCLUST
1292,12,core,RefSeq,UCLUST
1295,12,core,RefSeq,UCLUST
1346,12,core,RefSeq,UCLUST
1369,12,core,RefSeq,UCLUST
1398,12,core,RefSeq,UCLUST
1404,12,core,RefSeq,UCLUST
1332,12,core,RefSeq,UCLUST
1345,12,core,RefSeq,UCLUST
1321,12,core,RefSeq,UCLUST
1402,12,core,RefSeq,UCLUST
1425,12,core,RefSeq,UCLUST
1303,12,core,RefSeq,UCLUST
1374,12,core,RefSeq,UCLUST
1317,12,core,RefSeq,UCLUST
1372,12,core,RefSeq,UCLUST
1347,12,core,RefSeq,UCLUST
1321,12,core,RefSeq,UCLUST
1433,12,core,RefSeq,UCLUST
1380,12,core,RefSeq,UCLUST
1336,12,core,RefSeq,UCLUST
1430,12,core,RefSeq,UCLUST
1377,15,core,RefSeq,UCLUST
1317,15,core,RefSeq,UCLUST
1259,15,core,RefSeq,UCLUST
1306,15,core,RefSeq,UCLUST
1333,15,core,RefSeq,UCLUST
1296,15,core,RefSeq,UCLUST
1310,15,core,RefSeq,UCLUST
1321,15,core,RefSeq,UCLUST
1309,15,core,RefSeq,UCLUST
1295,15,core,RefSeq,UCLUST
1284,15,core,RefSeq,UCLUST
1327,15,core,RefSeq,UCLUST
1301,15,core,RefSeq,UCLUST
1287,15,core,RefSeq,UCLUST
1287,15,core,RefSeq,UCLUST
1333,15,core,RefSeq,UCLUST
1279,15,core,RefSeq,UCLUST
1286,15,core,RefSeq,UCLUST
1317,15,core,RefSeq,UCLUST
1295,15,core,RefSeq,UCLUST
1384,15,core,RefSeq,UCLUST
1351,15,core,RefSeq,UCLUST
1298,15,core,RefSeq,UCLUST
1313,15,core,RefSeq,UCLUST
1324,15,core,RefSeq,UCLUST
1346,15,core,RefSeq,UCLUST
1302,15,core,RefSeq,UCLUST
1274,15,core,RefSeq,UCLUST
1271,15,core,RefSeq,UCLUST
1317,15,core,RefSeq,UCLUST
1298,17,core,RefSeq,UCLUST
1267,17,core,RefSeq,UCLUST
1270,17,core,RefSeq,UCLUST
1332,17,core,RefSeq,UCLUST
1266,17,core,RefSeq,UCLUST
1274,17,core,RefSeq,UCLUST
1296,17,core,RefSeq,UCLUST
1274,17,core,RefSeq,UCLUST
1262,17,core,RefSeq,UCLUST
1279,17,core,RefSeq,UCLUST
1239,17,core,RefSeq,UCLUST
1270,17,core,RefSeq,UCLUST
1290,17,core,RefSeq,UCLUST
1308,17,core,RefSeq,UCLUST
1255,17,core,RefSeq,UCLUST
1291,17,core,RefSeq,UCLUST
1309,17,core,RefSeq,UCLUST
1305,17,core,RefSeq,UCLUST
1310,17,core,RefSeq,UCLUST
1304,17,core,RefSeq,UCLUST
1328,17,core,RefSeq,UCLUST
1319,17,core,RefSeq,UCLUST
1259,17,core,RefSeq,UCLUST
1271,17,core,RefSeq,UCLUST
1294,17,core,RefSeq,UCLUST
1269,17,core,RefSeq,UCLUST
1311,17,core,RefSeq,UCLUST
1288,17,core,RefSeq,UCLUST
1318,17,core,RefSeq,UCLUST
1270,17,core,RefSeq,UCLUST
1245,19,core,RefSeq,UCLUST
1247,19,core,RefSeq,UCLUST
1257,19,core,RefSeq,UCLUST
1274,19,core,RefSeq,UCLUST
1248,19,core,RefSeq,UCLUST
1280,19,core,RefSeq,UCLUST
1249,19,core,RefSeq,UCLUST
1243,19,core,RefSeq,UCLUST
1247,19,core,RefSeq,UCLUST
1253,19,core,RefSeq,UCLUST
1256,19,core,RefSeq,UCLUST
1246,19,core,RefSeq,UCLUST
1265,19,core,RefSeq,UCLUST
1246,19,core,RefSeq,UCLUST
1237,19,core,RefSeq,UCLUST
1258,19,core,RefSeq,UCLUST
1249,19,core,RefSeq,UCLUST
1247,19,core,RefSeq,UCLUST
1261,19,core,RefSeq,UCLUST
1276,19,core,RefSeq,UCLUST
1255,19,core,RefSeq,UCLUST
1255,19,core,RefSeq,UCLUST
1244,19,core,RefSeq,UCLUST
1248,19,core,RefSeq,UCLUST
1283,19,core,RefSeq,UCLUST
1239,19,core,RefSeq,UCLUST
1242,19,core,RefSeq,UCLUST
1241,19,core,RefSeq,UCLUST
1240,19,core,RefSeq,UCLUST
1295,19,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
1456,22,core,RefSeq,UCLUST
2000,1,pan,RefSeq,UCLUST
2091,1,pan,RefSeq,UCLUST
2022,1,pan,RefSeq,UCLUST
1991,1,pan,RefSeq,UCLUST
1938,1,pan,RefSeq,UCLUST
2032,1,pan,RefSeq,UCLUST
1998,1,pan,RefSeq,UCLUST
1998,1,pan,RefSeq,UCLUST
2032,1,pan,RefSeq,UCLUST
2120,1,pan,RefSeq,UCLUST
1998,1,pan,RefSeq,UCLUST
1787,1,pan,RefSeq,UCLUST
2032,1,pan,RefSeq,UCLUST
1787,1,pan,RefSeq,UCLUST
2000,1,pan,RefSeq,UCLUST
2065,1,pan,RefSeq,UCLUST
2065,1,pan,RefSeq,UCLUST
2075,1,pan,RefSeq,UCLUST
2017,1,pan,RefSeq,UCLUST
2091,1,pan,RefSeq,UCLUST
2022,1,pan,RefSeq,UCLUST
1787,1,pan,RefSeq,UCLUST
2127,1,pan,RefSeq,UCLUST
2022,1,pan,RefSeq,UCLUST
1984,1,pan,RefSeq,UCLUST
1998,1,pan,RefSeq,UCLUST
2032,1,pan,RefSeq,UCLUST
2127,1,pan,RefSeq,UCLUST
1998,1,pan,RefSeq,UCLUST
1938,1,pan,RefSeq,UCLUST
2382,3,pan,RefSeq,UCLUST
2414,3,pan,RefSeq,UCLUST
2348,3,pan,RefSeq,UCLUST
2269,3,pan,RefSeq,UCLUST
2563,3,pan,RefSeq,UCLUST
2555,3,pan,RefSeq,UCLUST
2474,3,pan,RefSeq,UCLUST
2535,3,pan,RefSeq,UCLUST
2649,3,pan,RefSeq,UCLUST
2447,3,pan,RefSeq,UCLUST
2551,3,pan,RefSeq,UCLUST
2625,3,pan,RefSeq,UCLUST
2469,3,pan,RefSeq,UCLUST
2555,3,pan,RefSeq,UCLUST
2416,3,pan,RefSeq,UCLUST
2393,3,pan,RefSeq,UCLUST
2810,3,pan,RefSeq,UCLUST
2518,3,pan,RefSeq,UCLUST
2497,3,pan,RefSeq,UCLUST
2414,3,pan,RefSeq,UCLUST
2589,3,pan,RefSeq,UCLUST
2514,3,pan,RefSeq,UCLUST
2267,3,pan,RefSeq,UCLUST
2635,3,pan,RefSeq,UCLUST
2384,3,pan,RefSeq,UCLUST
2571,3,pan,RefSeq,UCLUST
2475,3,pan,RefSeq,UCLUST
2474,3,pan,RefSeq,UCLUST
2501,3,pan,RefSeq,UCLUST
2552,3,pan,RefSeq,UCLUST
2908,5,pan,RefSeq,UCLUST
2757,5,pan,RefSeq,UCLUST
2596,5,pan,RefSeq,UCLUST
2698,5,pan,RefSeq,UCLUST
2873,5,pan,RefSeq,UCLUST
2953,5,pan,RefSeq,UCLUST
2754,5,pan,RefSeq,UCLUST
2808,5,pan,RefSeq,UCLUST
2722,5,pan,RefSeq,UCLUST
2818,5,pan,RefSeq,UCLUST
2688,5,pan,RefSeq,UCLUST
2700,5,pan,RefSeq,UCLUST
2715,5,pan,RefSeq,UCLUST
2975,5,pan,RefSeq,UCLUST
2698,5,pan,RefSeq,UCLUST
2742,5,pan,RefSeq,UCLUST
2645,5,pan,RefSeq,UCLUST
2699,5,pan,RefSeq,UCLUST
2824,5,pan,RefSeq,UCLUST
2765,5,pan,RefSeq,UCLUST
2767,5,pan,RefSeq,UCLUST
2710,5,pan,RefSeq,UCLUST
2687,5,pan,RefSeq,UCLUST
2820,5,pan,RefSeq,UCLUST
3032,5,pan,RefSeq,UCLUST
2751,5,pan,RefSeq,UCLUST
2837,5,pan,RefSeq,UCLUST
2869,5,pan,RefSeq,UCLUST
2995,5,pan,RefSeq,UCLUST
2876,5,pan,RefSeq,UCLUST
2909,8,pan,RefSeq,UCLUST
2974,8,pan,RefSeq,UCLUST
3089,8,pan,RefSeq,UCLUST
3057,8,pan,RefSeq,UCLUST
2954,8,pan,RefSeq,UCLUST
3193,8,pan,RefSeq,UCLUST
3004,8,pan,RefSeq,UCLUST
3012,8,pan,RefSeq,UCLUST
3145,8,pan,RefSeq,UCLUST
2861,8,pan,RefSeq,UCLUST
2994,8,pan,RefSeq,UCLUST
3128,8,pan,RefSeq,UCLUST
2990,8,pan,RefSeq,UCLUST
3138,8,pan,RefSeq,UCLUST
2835,8,pan,RefSeq,UCLUST
3266,8,pan,RefSeq,UCLUST
3150,8,pan,RefSeq,UCLUST
