Strains,Type,Genes
1,core,1811
1,core,1795
1,core,1724
1,core,1717
1,core,1695
1,core,1791
1,core,1756
1,core,1731
1,core,1839
1,core,1786
1,core,1774
1,core,1799
1,core,1731
1,core,1818
1,core,1834
1,core,1789
1,core,1907
1,core,1786
1,core,1842
1,core,1804
1,core,1803
1,core,1731
1,core,1842
1,core,1818
1,core,1846
1,core,1794
1,core,1840
1,core,1854
1,core,1822
1,core,1869
39,core,1489
39,core,1478
39,core,1479
39,core,1484
39,core,1460
39,core,1474
39,core,1467
39,core,1463
39,core,1468
39,core,1493
39,core,1493
39,core,1458
39,core,1480
39,core,1475
39,core,1459
39,core,1477
39,core,1474
39,core,1473
39,core,1483
39,core,1473
39,core,1488
39,core,1479
39,core,1476
39,core,1484
39,core,1489
39,core,1466
39,core,1482
39,core,1489
39,core,1479
39,core,1485
77,core,1481
77,core,1493
77,core,1481
77,core,1480
77,core,1491
77,core,1482
77,core,1487
77,core,1489
77,core,1476
77,core,1494
77,core,1489
77,core,1499
77,core,1489
77,core,1481
77,core,1494
77,core,1485
77,core,1492
77,core,1490
77,core,1489
77,core,1473
77,core,1489
77,core,1487
77,core,1465
77,core,1490
77,core,1479
77,core,1493
77,core,1464
77,core,1479
77,core,1480
77,core,1471
116,core,1492
116,core,1491
116,core,1489
116,core,1493
116,core,1491
116,core,1491
116,core,1491
116,core,1492
116,core,1498
116,core,1469
116,core,1493
116,core,1490
116,core,1490
116,core,1495
116,core,1483
116,core,1490
116,core,1480
116,core,1484
116,core,1490
116,core,1495
116,core,1486
116,core,1487
116,core,1498
116,core,1495
116,core,1497
116,core,1492
116,core,1471
116,core,1490
116,core,1469
116,core,1488
154,core,1486
154,core,1479
154,core,1496
154,core,1492
154,core,1492
154,core,1485
154,core,1491
154,core,1492
154,core,1475
154,core,1489
154,core,1486
154,core,1493
154,core,1488
154,core,1493
154,core,1493
154,core,1492
154,core,1494
154,core,1494
154,core,1493
154,core,1495
154,core,1485
154,core,1494
154,core,1471
154,core,1490
154,core,1479
154,core,1486
154,core,1490
154,core,1484
154,core,1491
154,core,1489
193,core,1487
193,core,1497
193,core,1488
193,core,1489
193,core,1494
193,core,1493
193,core,1490
193,core,1497
193,core,1494
193,core,1494
193,core,1485
193,core,1495
193,core,1498
193,core,1493
193,core,1493
193,core,1495
193,core,1489
193,core,1492
193,core,1490
193,core,1490
193,core,1493
193,core,1494
193,core,1484
193,core,1497
193,core,1494
193,core,1490
193,core,1491
193,core,1487
193,core,1488
193,core,1492
231,core,1494
231,core,1489
231,core,1491
231,core,1494
231,core,1493
231,core,1491
231,core,1491
231,core,1496
231,core,1491
231,core,1496
231,core,1489
231,core,1496
231,core,1494
231,core,1490
231,core,1495
231,core,1495
231,core,1497
231,core,1490
231,core,1492
231,core,1494
231,core,1494
231,core,1487
231,core,1494
231,core,1488
231,core,1490
231,core,1496
231,core,1488
231,core,1497
231,core,1493
231,core,1487
270,core,1498
270,core,1494
270,core,1489
270,core,1489
270,core,1494
270,core,1497
270,core,1491
270,core,1493
270,core,1494
270,core,1495
270,core,1496
270,core,1489
270,core,1488
270,core,1492
270,core,1496
270,core,1495
270,core,1496
270,core,1498
270,core,1492
270,core,1493
270,core,1497
270,core,1493
270,core,1496
270,core,1491
270,core,1495
270,core,1493
270,core,1494
270,core,1494
270,core,1494
270,core,1493
308,core,1495
308,core,1495
308,core,1495
308,core,1496
308,core,1494
308,core,1497
308,core,1490
308,core,1495
308,core,1495
308,core,1495
308,core,1495
308,core,1496
308,core,1496
308,core,1495
308,core,1494
308,core,1495
308,core,1496
308,core,1495
308,core,1495
308,core,1494
308,core,1497
308,core,1495
308,core,1498
308,core,1493
308,core,1495
308,core,1494
308,core,1496
308,core,1491
308,core,1493
308,core,1496
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
347,core,1497
1,pan,1811
1,pan,1795
1,pan,1724
1,pan,1717
1,pan,1695
1,pan,1791
1,pan,1756
1,pan,1731
1,pan,1839
1,pan,1786
1,pan,1774
1,pan,1799
1,pan,1731
1,pan,1818
1,pan,1834
1,pan,1789
1,pan,1907
1,pan,1786
1,pan,1842
1,pan,1804
1,pan,1803
1,pan,1731
1,pan,1842
1,pan,1818
1,pan,1846
1,pan,1794
1,pan,1840
1,pan,1854
1,pan,1822
1,pan,1869
39,pan,2749
39,pan,2787
39,pan,2841
39,pan,2768
39,pan,2925
39,pan,2908
39,pan,3304
39,pan,2951
39,pan,3021
39,pan,2755
39,pan,2748
39,pan,3148
39,pan,2967
39,pan,3294
39,pan,2954
39,pan,2813
39,pan,2877
39,pan,2919
39,pan,2888
39,pan,3444
39,pan,2883
39,pan,2787
39,pan,3238
39,pan,3334
39,pan,2854
39,pan,2888
39,pan,2793
39,pan,2934
39,pan,3189
39,pan,2805
77,pan,3284
77,pan,3489
77,pan,3502
77,pan,3129
77,pan,2951
77,pan,3277
77,pan,3152
77,pan,3027
77,pan,3181
77,pan,2956
77,pan,3064
77,pan,2940
77,pan,2905
77,pan,3295
77,pan,3354
77,pan,3090
77,pan,2923
77,pan,3163
77,pan,3018
77,pan,3035
77,pan,3558
77,pan,2932
77,pan,3637
77,pan,3210
