Strains,Type,Genes
1,core,1858
1,core,1878
1,core,1960
1,core,1973
1,core,1971
1,core,1861
1,core,1930
1,core,1979
1,core,2021
1,core,1958
1,core,1861
1,core,1925
1,core,1955
1,core,2024
1,core,2015
1,core,1928
1,core,1948
1,core,1925
1,core,1881
1,core,1925
1,core,1858
1,core,1933
1,core,1858
1,core,1924
1,core,1982
1,core,1979
1,core,2023
1,core,1958
1,core,1861
1,core,1958
39,core,1584
39,core,1593
39,core,1594
39,core,1586
39,core,1606
39,core,1594
39,core,1588
39,core,1605
39,core,1598
39,core,1603
39,core,1599
39,core,1601
39,core,1590
39,core,1583
39,core,1603
39,core,1595
39,core,1584
39,core,1594
39,core,1602
39,core,1588
39,core,1604
39,core,1589
39,core,1584
39,core,1597
39,core,1597
39,core,1591
39,core,1592
39,core,1586
39,core,1587
39,core,1593
78,core,1590
78,core,1589
78,core,1600
78,core,1599
78,core,1609
78,core,1603
78,core,1586
78,core,1591
78,core,1603
78,core,1590
78,core,1593
78,core,1593
78,core,1605
78,core,1586
78,core,1594
78,core,1591
78,core,1596
78,core,1596
78,core,1595
78,core,1596
78,core,1600
78,core,1586
78,core,1600
78,core,1594
78,core,1599
78,core,1608
78,core,1598
78,core,1594
78,core,1590
78,core,1596
117,core,1600
117,core,1607
117,core,1589
117,core,1597
117,core,1594
117,core,1598
117,core,1594
117,core,1598
117,core,1592
117,core,1603
117,core,1600
117,core,1599
117,core,1596
117,core,1593
117,core,1593
117,core,1597
117,core,1602
117,core,1595
117,core,1604
117,core,1597
117,core,1591
117,core,1598
117,core,1589
117,core,1602
117,core,1602
117,core,1594
117,core,1597
117,core,1601
117,core,1601
117,core,1596
155,core,1597
155,core,1594
155,core,1602
155,core,1604
155,core,1597
155,core,1594
155,core,1591
155,core,1591
155,core,1597
155,core,1594
155,core,1600
155,core,1600
155,core,1591
155,core,1595
155,core,1600
155,core,1594
155,core,1600
155,core,1599
155,core,1598
155,core,1594
155,core,1593
155,core,1593
155,core,1603
155,core,1600
155,core,1596
155,core,1590
155,core,1592
155,core,1591
155,core,1604
155,core,1598
194,core,1601
194,core,1589
194,core,1599
194,core,1598
194,core,1594
194,core,1589
194,core,1591
194,core,1597
194,core,1594
194,core,1605
194,core,1597
194,core,1592
194,core,1596
194,core,1588
194,core,1601
194,core,1593
194,core,1596
194,core,1591
194,core,1593
194,core,1594
194,core,1599
194,core,1594
194,core,1592
194,core,1585
194,core,1594
194,core,1594
194,core,1594
194,core,1594
194,core,1598
194,core,1604
233,core,1597
233,core,1596
233,core,1595
233,core,1600
233,core,1593
233,core,1599
233,core,1589
233,core,1599
233,core,1599
233,core,1592
233,core,1595
233,core,1596
233,core,1596
233,core,1600
233,core,1592
233,core,1594
233,core,1598
233,core,1596
233,core,1595
233,core,1597
233,core,1599
233,core,1597
233,core,1595
233,core,1596
233,core,1594
233,core,1593
233,core,1592
233,core,1597
233,core,1600
233,core,1600
271,core,1594
271,core,1596
271,core,1599
271,core,1599
271,core,1600
271,core,1592
271,core,1596
271,core,1594
271,core,1593
271,core,1597
271,core,1592
271,core,1596
271,core,1597
271,core,1598
271,core,1595
271,core,1597
271,core,1598
271,core,1590
271,core,1595
271,core,1597
271,core,1595
271,core,1595
271,core,1594
271,core,1595
271,core,1593
271,core,1596
271,core,1593
271,core,1604
271,core,1592
271,core,1598
310,core,1597
310,core,1596
310,core,1591
310,core,1593
310,core,1597
310,core,1594
310,core,1596
310,core,1596
310,core,1595
310,core,1595
310,core,1595
310,core,1595
310,core,1594
310,core,1595
310,core,1597
310,core,1596
310,core,1595
310,core,1595
310,core,1594
310,core,1596
310,core,1594
310,core,1595
310,core,1594
310,core,1594
310,core,1594
310,core,1596
310,core,1593
310,core,1591
310,core,1594
310,core,1592
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
349,core,1595
1,pan,1858
1,pan,1878
1,pan,1960
1,pan,1973
1,pan,1971
1,pan,1861
1,pan,1930
1,pan,1979
1,pan,2021
1,pan,1958
1,pan,1861
1,pan,1925
1,pan,1955
1,pan,2024
1,pan,2015
1,pan,1928
1,pan,1948
1,pan,1925
1,pan,1881
1,pan,1925
1,pan,1858
1,pan,1933
1,pan,1858
1,pan,1924
1,pan,1982
1,pan,1979
1,pan,2023
1,pan,1958
1,pan,1861
1,pan,1958
39,pan,3339
39,pan,3167
39,pan,3061
39,pan,3231
39,pan,3193
39,pan,3221
39,pan,3155
39,pan,3061
39,pan,3242
39,pan,3197
39,pan,3084
39,pan,3185
39,pan,3253
39,pan,3279
39,pan,3079
39,pan,3232
39,pan,3144
39,pan,3187
39,pan,3110
39,pan,3322
39,pan,3202
39,pan,3191
39,pan,3249
39,pan,2970
39,pan,3260
39,pan,3226
39,pan,3321
39,pan,3223
39,pan,3230
39,pan,3290
78,pan,3449
78,pan,3692
78,pan,3611
78,pan,3431
78,pan,3453
78,pan,3492
78,pan,3454
78,pan,3500
78,pan,3353
78,pan,3495
78,pan,3416
78,pan,3463
78,pan,3391
78,pan,3592
78,pan,3476
78,pan,3586
78,pan,3510
78,pan,3381
78,pan,3425
78,pan,3401
78,pan,3404
78,pan,3536
78,pan,3537
78,pan,3517
78,pan,3424
78,pan,3417
78,pan,3403
78,pan,3335
78,pan,3568
78,pan,3542
117,pan,3601
117,pan,3561
117,pan,3604
117,pan,3566
117,pan,3706
117,pan,3637
117,pan,3724
117,pan,3624
117,pan,3586
117,pan,3720
117,pan,3618
117,pan,3684
117,pan,3661
117,pan,3584
117,pan,3741
117,pan,3618
117,pan,3652
117,pan,3636
117,pan,3549
117,pan,3582
117,pan,3588
117,pan,3687
117,pan,3558
117,pan,3757
117,pan,3582
117,pan,3622
117,pan,3659
117,pan,3702
117,pan,3608
117,pan,3635
155,pan,3683
155,pan,3670
155,pan,3781
155,pan,3772
155,pan,3857
155,pan,3794
155,pan,3751
155,pan,3808
155,pan,3808
155,pan,3711
155,pan,3701
155,pan,3797
155,pan,3836
155,pan,3811
155,pan,3722
155,pan,3817
155,pan,3755
155,pan,3753
155,pan,3767
155,pan,3821
155,pan,3777
155,pan,3803
155,pan,3826
155,pan,3683
155,pan,3818
155,pan,3764
155,pan,3797
155,pan,3870
155,pan,3906
155,pan,3721
194,pan,3826
194,pan,3921
194,pan,3806
194,pan,3818
194,pan,3884
194,pan,3818
194,pan,3767
194,pan,3930
194,pan,3792
194,pan,3766
194,pan,3879
194,pan,3809
194,pan,3796
194,pan,3798
194,pan,3730
194,pan,3883
194,pan,3852
194,pan,3892
194,pan,3875
194,pan,3784
194,pan,3883
194,pan,3896
194,pan,3887
194,pan,3930
194,pan,3945
194,pan,3892
194,pan,3777
194,pan,3915
194,pan,3814
194,pan,3794
233,pan,3918
233,pan,4014
233,pan,4014
233,pan,3880
233,pan,4049
233,pan,3836
233,pan,3866
233,pan,3829
233,pan,3997
233,pan,3991
233,pan,3967
233,pan,4023
233,pan,4024
233,pan,3833
233,pan,3896
233,pan,3846
233,pan,3951
233,pan,3913
233,pan,4001
233,pan,3926
233,pan,3871
233,pan,3912
233,pan,3913
233,pan,3946
233,pan,3798
233,pan,3920
233,pan,3979
233,pan,3895
233,pan,3966
233,pan,3910
271,pan,4061
271,pan,3997
271,pan,4079
271,pan,3995
271,pan,3970
271,pan,4046
271,pan,4091
271,pan,4015
271,pan,3988
271,pan,4048
271,pan,4056
271,pan,3918
271,pan,4049
271,pan,4092
271,pan,3993
271,pan,4077
271,pan,4043
271,pan,4029
271,pan,4072
271,pan,4037
271,pan,4039
271,pan,4001
271,pan,4002
271,pan,3951
271,pan,3966
271,pan,4029
271,pan,4053
271,pan,3966
271,pan,3964
271,pan,3957
310,pan,4103
310,pan,4049
310,pan,4042
310,pan,4104
310,pan,4102
310,pan,4091
310,pan,4034
310,pan,4106
310,pan,4082
310,pan,4111
310,pan,4111
310,pan,4115
310,pan,4106
310,pan,4039
310,pan,4109
310,pan,4118
310,pan,4090
310,pan,4099
310,pan,4094
310,pan,4108
310,pan,4121
310,pan,4101
310,pan,4035
310,pan,4086
310,pan,4086
310,pan,4118
310,pan,4083
310,pan,4129
310,pan,4109
310,pan,4108
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
349,pan,4147
