Strains,Type,Genes
1,core,2076
1,core,2059
1,core,1953
1,core,1941
1,core,2075
1,core,2099
1,core,2073
1,core,2116
1,core,1939
1,core,2055
1,core,1951
1,core,2051
1,core,1995
1,core,2043
1,core,2141
1,core,2005
1,core,2061
1,core,2069
1,core,1979
1,core,2062
1,core,2005
1,core,1941
1,core,1984
1,core,1946
1,core,2102
1,core,1947
1,core,1955
1,core,2018
1,core,2107
1,core,2060
39,core,1392
39,core,1386
39,core,1370
39,core,1380
39,core,1380
39,core,1368
39,core,1388
39,core,1371
39,core,1366
39,core,1386
39,core,1376
39,core,1378
39,core,1378
39,core,1373
39,core,1366
39,core,1375
39,core,1370
39,core,1376
39,core,1381
39,core,1368
39,core,1373
39,core,1374
39,core,1390
39,core,1375
39,core,1368
39,core,1382
39,core,1375
39,core,1385
39,core,1391
39,core,1373
78,core,1384
78,core,1389
78,core,1377
78,core,1387
78,core,1392
78,core,1380
78,core,1386
78,core,1381
78,core,1386
78,core,1381
78,core,1387
78,core,1386
78,core,1397
78,core,1396
78,core,1369
78,core,1388
78,core,1397
78,core,1380
78,core,1379
78,core,1389
78,core,1382
78,core,1392
78,core,1385
78,core,1387
78,core,1372
78,core,1386
78,core,1386
78,core,1383
78,core,1390
78,core,1399
117,core,1379
117,core,1383
117,core,1389
117,core,1379
117,core,1380
117,core,1384
117,core,1384
117,core,1385
117,core,1382
117,core,1392
117,core,1381
117,core,1386
117,core,1383
117,core,1387
117,core,1385
117,core,1385
117,core,1376
117,core,1378
117,core,1383
117,core,1390
117,core,1389
117,core,1387
117,core,1387
117,core,1390
117,core,1382
117,core,1394
117,core,1395
117,core,1382
117,core,1385
117,core,1383
155,core,1388
155,core,1385
155,core,1389
155,core,1392
155,core,1392
155,core,1392
155,core,1390
155,core,1387
155,core,1391
155,core,1384
155,core,1384
155,core,1388
155,core,1398
155,core,1390
155,core,1384
155,core,1385
155,core,1394
155,core,1392
155,core,1384
155,core,1391
155,core,1389
155,core,1389
155,core,1387
155,core,1387
155,core,1389
155,core,1390
155,core,1384
155,core,1383
155,core,1384
155,core,1388
194,core,1389
194,core,1392
194,core,1388
194,core,1388
194,core,1387
194,core,1389
194,core,1389
194,core,1389
194,core,1390
194,core,1387
194,core,1385
194,core,1386
194,core,1385
194,core,1389
194,core,1388
194,core,1393
194,core,1385
194,core,1387
194,core,1393
194,core,1382
194,core,1391
194,core,1389
194,core,1385
194,core,1389
194,core,1391
194,core,1388
194,core,1386
194,core,1386
194,core,1390
194,core,1385
233,core,1386
233,core,1392
233,core,1389
233,core,1383
233,core,1387
233,core,1390
233,core,1390
233,core,1383
233,core,1384
233,core,1388
233,core,1388
233,core,1386
233,core,1385
233,core,1388
233,core,1391
233,core,1392
233,core,1386
233,core,1387
233,core,1390
233,core,1386
233,core,1388
233,core,1394
233,core,1386
233,core,1388
233,core,1385
233,core,1390
233,core,1387
233,core,1390
233,core,1393
233,core,1384
271,core,1390
271,core,1388
271,core,1388
271,core,1384
271,core,1385
271,core,1386
271,core,1388
271,core,1389
271,core,1387
271,core,1389
271,core,1386
271,core,1390
271,core,1391
271,core,1392
271,core,1393
271,core,1386
271,core,1390
271,core,1393
271,core,1390
271,core,1389
271,core,1388
271,core,1389
271,core,1387
271,core,1389
271,core,1390
271,core,1390
271,core,1390
271,core,1391
271,core,1397
271,core,1390
310,core,1389
310,core,1387
310,core,1388
310,core,1386
310,core,1390
310,core,1388
310,core,1385
310,core,1391
310,core,1390
310,core,1388
310,core,1389
310,core,1390
310,core,1392
310,core,1385
310,core,1391
310,core,1388
310,core,1390
310,core,1390
310,core,1389
310,core,1386
310,core,1389
310,core,1389
310,core,1385
310,core,1390
310,core,1392
310,core,1389
310,core,1391
310,core,1393
310,core,1388
310,core,1391
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
349,core,1388
1,pan,2076
1,pan,2059
1,pan,1953
1,pan,1941
1,pan,2075
1,pan,2099
1,pan,2073
1,pan,2116
1,pan,1939
1,pan,2055
1,pan,1951
1,pan,2051
1,pan,1995
1,pan,2043
1,pan,2141
1,pan,2005
1,pan,2061
1,pan,2069
1,pan,1979
1,pan,2062
1,pan,2005
1,pan,1941
1,pan,1984
1,pan,1946
1,pan,2102
1,pan,1947
1,pan,1955
1,pan,2018
1,pan,2107
1,pan,2060
39,pan,4291
39,pan,4506
39,pan,4563
39,pan,4385
39,pan,4582
39,pan,4525
39,pan,4446
39,pan,4514
39,pan,4832
39,pan,4459
39,pan,4682
39,pan,4293
39,pan,4464
39,pan,4355
39,pan,4625
39,pan,4645
39,pan,4466
39,pan,4631
39,pan,4453
39,pan,4501
39,pan,4510
39,pan,4614
39,pan,4518
39,pan,4604
39,pan,4736
39,pan,4640
39,pan,4665
39,pan,4372
39,pan,4347
39,pan,4665
78,pan,4982
78,pan,5081
78,pan,5163
78,pan,5032
78,pan,5017
78,pan,5059
78,pan,5098
78,pan,5104
78,pan,4870
78,pan,5198
78,pan,4905
78,pan,5060
78,pan,4982
78,pan,4819
78,pan,5217
78,pan,4847
78,pan,4961
78,pan,4902
78,pan,5081
78,pan,4949
78,pan,5022
78,pan,5147
78,pan,5018
78,pan,5111
78,pan,4945
78,pan,5277
78,pan,4915
78,pan,5107
78,pan,5189
78,pan,5116
117,pan,5169
117,pan,5467
117,pan,5392
117,pan,5500
117,pan,5374
117,pan,5493
117,pan,5537
117,pan,5568
117,pan,5404
117,pan,5372
117,pan,5442
117,pan,5432
117,pan,5513
117,pan,5411
117,pan,5337
117,pan,5460
117,pan,5469
117,pan,5414
117,pan,5652
117,pan,5343
117,pan,5328
117,pan,5457
117,pan,5500
117,pan,5402
117,pan,5358
117,pan,5358
117,pan,5635
117,pan,5479
117,pan,5566
117,pan,5333
155,pan,5675
155,pan,5861
155,pan,5812
155,pan,5747
155,pan,5708
155,pan,5834
155,pan,5867
155,pan,5702
155,pan,5766
155,pan,5726
155,pan,5688
155,pan,5708
155,pan,5753
155,pan,5813
155,pan,5727
155,pan,5715
155,pan,5836
155,pan,5597
155,pan,5699
155,pan,5576
155,pan,5815
155,pan,5645
155,pan,5772
155,pan,5515
155,pan,5746
155,pan,5590
155,pan,5548
155,pan,5577
155,pan,5872
155,pan,5536
194,pan,6031
194,pan,5797
194,pan,6013
194,pan,5968
194,pan,5914
194,pan,6158
194,pan,5859
194,pan,6020
194,pan,5905
194,pan,6046
194,pan,5956
194,pan,6020
194,pan,5789
194,pan,5902
194,pan,5927
194,pan,5961
194,pan,5989
194,pan,6076
194,pan,5895
194,pan,5971
194,pan,6060
194,pan,6009
194,pan,5972
194,pan,5802
194,pan,5902
194,pan,5962
194,pan,5833
194,pan,5991
194,pan,5734
194,pan,5989
233,pan,6273
233,pan,6241
233,pan,6174
233,pan,6103
233,pan,6041
233,pan,6109
233,pan,6200
233,pan,6212
233,pan,6296
233,pan,6126
233,pan,6054
233,pan,6151
233,pan,6190
233,pan,6073
233,pan,6271
233,pan,6164
233,pan,5991
233,pan,6264
233,pan,6283
233,pan,6157
233,pan,6146
233,pan,6005
233,pan,6114
233,pan,6149
233,pan,6021
233,pan,6206
233,pan,6131
233,pan,6241
233,pan,6182
233,pan,6257
271,pan,6335
271,pan,6178
271,pan,6340
271,pan,6440
271,pan,6348
271,pan,6367
271,pan,6428
271,pan,6185
271,pan,6387
271,pan,6280
271,pan,6348
271,pan,6351
271,pan,6428
271,pan,6322
271,pan,6302
271,pan,6331
271,pan,6294
271,pan,6334
271,pan,6307
271,pan,6334
271,pan,6315
271,pan,6337
271,pan,6262
271,pan,6302
271,pan,6159
271,pan,6391
271,pan,6303
271,pan,6299
271,pan,6010
271,pan,6401
310,pan,6421
310,pan,6481
310,pan,6452
310,pan,6475
310,pan,6528
310,pan,6533
310,pan,6481
310,pan,6460
310,pan,6471
310,pan,6535
310,pan,6421
310,pan,6420
310,pan,6521
310,pan,6563
310,pan,6521
310,pan,6494
310,pan,6500
310,pan,6374
310,pan,6540
310,pan,6536
310,pan,6460
310,pan,6510
310,pan,6510
310,pan,6463
310,pan,6511
310,pan,6573
310,pan,6465
310,pan,6497
310,pan,6446
310,pan,6430
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
349,pan,6637
