Genes,Strains,Type,Dataset,Method
2030,1,core,Maela,CD-HIT
2008,1,core,Maela,CD-HIT
2108,1,core,Maela,CD-HIT
2513,1,core,Maela,CD-HIT
2110,1,core,Maela,CD-HIT
2070,1,core,Maela,CD-HIT
2045,1,core,Maela,CD-HIT
1945,1,core,Maela,CD-HIT
2015,1,core,Maela,CD-HIT
2027,1,core,Maela,CD-HIT
2057,1,core,Maela,CD-HIT
1996,1,core,Maela,CD-HIT
2085,1,core,Maela,CD-HIT
2009,1,core,Maela,CD-HIT
2022,1,core,Maela,CD-HIT
2053,1,core,Maela,CD-HIT
2156,1,core,Maela,CD-HIT
2106,1,core,Maela,CD-HIT
2087,1,core,Maela,CD-HIT
2187,1,core,Maela,CD-HIT
2107,1,core,Maela,CD-HIT
1959,1,core,Maela,CD-HIT
1875,1,core,Maela,CD-HIT
2034,1,core,Maela,CD-HIT
2029,1,core,Maela,CD-HIT
2068,1,core,Maela,CD-HIT
2113,1,core,Maela,CD-HIT
2010,1,core,Maela,CD-HIT
2188,1,core,Maela,CD-HIT
2009,1,core,Maela,CD-HIT
1460,39,core,Maela,CD-HIT
1454,39,core,Maela,CD-HIT
1445,39,core,Maela,CD-HIT
1450,39,core,Maela,CD-HIT
1444,39,core,Maela,CD-HIT
1449,39,core,Maela,CD-HIT
1409,39,core,Maela,CD-HIT
1464,39,core,Maela,CD-HIT
1473,39,core,Maela,CD-HIT
1386,39,core,Maela,CD-HIT
1424,39,core,Maela,CD-HIT
1464,39,core,Maela,CD-HIT
1453,39,core,Maela,CD-HIT
1413,39,core,Maela,CD-HIT
1451,39,core,Maela,CD-HIT
1444,39,core,Maela,CD-HIT
1467,39,core,Maela,CD-HIT
1434,39,core,Maela,CD-HIT
1445,39,core,Maela,CD-HIT
1437,39,core,Maela,CD-HIT
1384,39,core,Maela,CD-HIT
1455,39,core,Maela,CD-HIT
1428,39,core,Maela,CD-HIT
1460,39,core,Maela,CD-HIT
1456,39,core,Maela,CD-HIT
1466,39,core,Maela,CD-HIT
1437,39,core,Maela,CD-HIT
1449,39,core,Maela,CD-HIT
1402,39,core,Maela,CD-HIT
1443,39,core,Maela,CD-HIT
1466,77,core,Maela,CD-HIT
1465,77,core,Maela,CD-HIT
1454,77,core,Maela,CD-HIT
1461,77,core,Maela,CD-HIT
1461,77,core,Maela,CD-HIT
1453,77,core,Maela,CD-HIT
1456,77,core,Maela,CD-HIT
1463,77,core,Maela,CD-HIT
1435,77,core,Maela,CD-HIT
1460,77,core,Maela,CD-HIT
1459,77,core,Maela,CD-HIT
1432,77,core,Maela,CD-HIT
1454,77,core,Maela,CD-HIT
1450,77,core,Maela,CD-HIT
1464,77,core,Maela,CD-HIT
1470,77,core,Maela,CD-HIT
1467,77,core,Maela,CD-HIT
1473,77,core,Maela,CD-HIT
1467,77,core,Maela,CD-HIT
1463,77,core,Maela,CD-HIT
1424,77,core,Maela,CD-HIT
1438,77,core,Maela,CD-HIT
1454,77,core,Maela,CD-HIT
1476,77,core,Maela,CD-HIT
1450,77,core,Maela,CD-HIT
1440,77,core,Maela,CD-HIT
1456,77,core,Maela,CD-HIT
1473,77,core,Maela,CD-HIT
1473,77,core,Maela,CD-HIT
1468,77,core,Maela,CD-HIT
1464,116,core,Maela,CD-HIT
1471,116,core,Maela,CD-HIT
1467,116,core,Maela,CD-HIT
1450,116,core,Maela,CD-HIT
1466,116,core,Maela,CD-HIT
1471,116,core,Maela,CD-HIT
1460,116,core,Maela,CD-HIT
1454,116,core,Maela,CD-HIT
1458,116,core,Maela,CD-HIT
1461,116,core,Maela,CD-HIT
1468,116,core,Maela,CD-HIT
1458,116,core,Maela,CD-HIT
1455,116,core,Maela,CD-HIT
1456,116,core,Maela,CD-HIT
1469,116,core,Maela,CD-HIT
1468,116,core,Maela,CD-HIT
1464,116,core,Maela,CD-HIT
1461,116,core,Maela,CD-HIT
1475,116,core,Maela,CD-HIT
1456,116,core,Maela,CD-HIT
1456,116,core,Maela,CD-HIT
1469,116,core,Maela,CD-HIT
1465,116,core,Maela,CD-HIT
1458,116,core,Maela,CD-HIT
1458,116,core,Maela,CD-HIT
1458,116,core,Maela,CD-HIT
1465,116,core,Maela,CD-HIT
1466,116,core,Maela,CD-HIT
1464,116,core,Maela,CD-HIT
1463,116,core,Maela,CD-HIT
1465,154,core,Maela,CD-HIT
1471,154,core,Maela,CD-HIT
1448,154,core,Maela,CD-HIT
1466,154,core,Maela,CD-HIT
1468,154,core,Maela,CD-HIT
1460,154,core,Maela,CD-HIT
1468,154,core,Maela,CD-HIT
1468,154,core,Maela,CD-HIT
1450,154,core,Maela,CD-HIT
1466,154,core,Maela,CD-HIT
1478,154,core,Maela,CD-HIT
1459,154,core,Maela,CD-HIT
1461,154,core,Maela,CD-HIT
1467,154,core,Maela,CD-HIT
1470,154,core,Maela,CD-HIT
1463,154,core,Maela,CD-HIT
1472,154,core,Maela,CD-HIT
1471,154,core,Maela,CD-HIT
1477,154,core,Maela,CD-HIT
1462,154,core,Maela,CD-HIT
1469,154,core,Maela,CD-HIT
1452,154,core,Maela,CD-HIT
1459,154,core,Maela,CD-HIT
1463,154,core,Maela,CD-HIT
1463,154,core,Maela,CD-HIT
1464,154,core,Maela,CD-HIT
1478,154,core,Maela,CD-HIT
1461,154,core,Maela,CD-HIT
1461,154,core,Maela,CD-HIT
1468,154,core,Maela,CD-HIT
1472,193,core,Maela,CD-HIT
1460,193,core,Maela,CD-HIT
1467,193,core,Maela,CD-HIT
1462,193,core,Maela,CD-HIT
1463,193,core,Maela,CD-HIT
1464,193,core,Maela,CD-HIT
1469,193,core,Maela,CD-HIT
1465,193,core,Maela,CD-HIT
1468,193,core,Maela,CD-HIT
1460,193,core,Maela,CD-HIT
1447,193,core,Maela,CD-HIT
1461,193,core,Maela,CD-HIT
1472,193,core,Maela,CD-HIT
1475,193,core,Maela,CD-HIT
1462,193,core,Maela,CD-HIT
1467,193,core,Maela,CD-HIT
